Year,UNIT_MEASURE,Admin_Area,HH_size,Value
2023,NUMBER,novi_travnik,2,1518
2023,NUMBER,travnik,2,3618
2023,NUMBER,vitez,2,1771
2023,NUMBER,herzegovina-neretva_canton,2,14958
2023,NUMBER,capljina,2,1653
2023,NUMBER,citluk,2,846
2023,NUMBER,mostar,2,7817
2023,NUMBER,jablanica,2,718
2023,NUMBER,konjic,2,2047
2023,NUMBER,neum,2,312
2023,NUMBER,prozor,2,640
2023,NUMBER,ravno,2,197
2023,NUMBER,stolac,2,728
2023,NUMBER,west_herzegovina_canton,2,4584
2023,NUMBER,grude,2,843
2023,NUMBER,ljubuski,2,1323
2023,NUMBER,posusje,2,832
2023,NUMBER,siroki_brijeg,2,1586
2023,NUMBER,sarajevo_canton,2,38480
2023,NUMBER,centar_sarajevo,2,5977
2023,NUMBER,hadzici,2,1673
2023,NUMBER,ilidza,2,5455
2023,NUMBER,ilijas,2,1516
2023,NUMBER,novi_grad_sarajevo,2,10926
2023,NUMBER,novo_sarajevo,2,7065
2023,NUMBER,stari_grad_sarajevo,2,3523
2023,NUMBER,trnovo-fbih,2,246
2023,NUMBER,vogosca,2,2099
2023,NUMBER,canton_10,2,4933
2023,NUMBER,bosansko_grahovo,2,335
2023,NUMBER,drvar,2,940
2023,NUMBER,glamoc,2,439
2023,NUMBER,kupres,2,311
2023,NUMBER,livno,2,1728
2023,NUMBER,tomislavgrad,2,1180
2023,NUMBER,federation_of_bih,3,148905
2023,NUMBER,una-sana_canton,3,14714
2023,NUMBER,bihac,3,3833
2023,NUMBER,bosanska_krupa,3,1460
2023,NUMBER,bosanski_petrovac,3,485
2023,NUMBER,buzim,3,615
2023,NUMBER,cazin,3,3075
2023,NUMBER,kljuc,3,929
2023,NUMBER,sanski_most,3,2089
2023,NUMBER,velika_kladusa,3,2228
2023,NUMBER,posavina_canton,3,2366
2023,NUMBER,domaljevac-samac,3,202
2023,NUMBER,odzak,3,1016
2023,NUMBER,orasje,3,1148
2023,NUMBER,tuzla_canton,3,34556
2023,NUMBER,banovici,3,1978
2023,NUMBER,celic,3,573
2023,NUMBER,doboj-istok,3,750
2023,NUMBER,gracanica,3,3624
2023,NUMBER,gradacac,3,2382
2023,NUMBER,kalesija,3,2034
2023,NUMBER,kladanj,3,822
2023,NUMBER,lukavac,3,4194
2023,NUMBER,sapna,3,497
2023,NUMBER,srebrenik,3,2980
2023,NUMBER,teocak,3,348
2023,NUMBER,tuzla,3,9991
2023,NUMBER,zivinice,3,4383
2023,NUMBER,zenica-doboj_canton,3,27207
2023,NUMBER,breza,3,1221
2023,NUMBER,doboj-jug,3,322
2023,NUMBER,kakanj,3,2667
2023,NUMBER,maglaj,3,1671
2023,NUMBER,olovo,3,789
2023,NUMBER,tesanj,3,2991
2023,NUMBER,usora,3,318
2023,NUMBER,vares,3,739
2023,NUMBER,visoko,3,2933
2023,NUMBER,zavidovici,3,2792
2023,NUMBER,zenica,3,9052
2023,NUMBER,zepce,3,1712
2023,NUMBER,bosnian-podrinje_canton,3,1732
2023,NUMBER,foca-fbih,3,108
2023,NUMBER,gorazde,3,1590
2023,NUMBER,pale-fbih,3,34
2023,NUMBER,central_bosnia_canton,3,15345
2023,NUMBER,bugojno,3,1770
2023,NUMBER,busovaca,3,1209
2023,NUMBER,dobretici,3,73
2023,NUMBER,donji_vakuf,3,829
2023,NUMBER,fojnica,3,814
2023,NUMBER,gornji_vakuf-uskoplje,3,994
2023,NUMBER,jajce,3,1438
2023,NUMBER,kiseljak,3,1355
2023,NUMBER,kresevo,3,330
2023,NUMBER,novi_travnik,3,1526
2023,NUMBER,travnik,3,3355
2023,NUMBER,vitez,3,1652
2023,NUMBER,herzegovina-neretva_canton,3,13109
2023,NUMBER,capljina,3,1426
2023,NUMBER,citluk,3,760
2023,NUMBER,mostar,3,6904
2023,NUMBER,jablanica,3,679
2023,NUMBER,konjic,3,1676
2023,NUMBER,neum,3,230
2023,NUMBER,prozor,3,569
2023,NUMBER,ravno,3,165
2023,NUMBER,stolac,3,700
2023,NUMBER,west_herzegovina_canton,3,3831
2023,NUMBER,grude,3,630
2023,NUMBER,ljubuski,3,1126
2023,NUMBER,posusje,3,810
2023,NUMBER,siroki_brijeg,3,1265
2023,NUMBER,sarajevo_canton,3,32297
2023,NUMBER,centar_sarajevo,3,4414
2023,NUMBER,hadzici,3,1608
2023,NUMBER,ilidza,3,4784
2023,NUMBER,ilijas,3,1399
2023,NUMBER,novi_grad_sarajevo,3,9682
2023,NUMBER,novo_sarajevo,3,5402
2023,NUMBER,stari_grad_sarajevo,3,2857
2023,NUMBER,trnovo-fbih,3,90
2023,NUMBER,vogosca,3,2061
2023,NUMBER,canton_10,3,3748
2023,NUMBER,bosansko_grahovo,3,162
2023,NUMBER,drvar,3,470
2023,NUMBER,glamoc,3,198
2023,NUMBER,kupres,3,281
2023,NUMBER,livno,3,1463
