Year,UNIT_MEASURE,Administrativna jedinica,Пол,Value
2017,Број,Unsko-sanski kanton,M,1016
2018,Број,Unsko-sanski kanton,M,893
2009,Број,Unsko-sanski kanton,Ж,2989
2010,Број,Unsko-sanski kanton,Ж,2786
2011,Број,Unsko-sanski kanton,Ж,2669
2012,Број,Unsko-sanski kanton,Ж,2249
2013,Број,Unsko-sanski kanton,Ж,1933
2014,Број,Unsko-sanski kanton,Ж,1731
2015,Број,Unsko-sanski kanton,Ж,1743
2016,Број,Unsko-sanski kanton,Ж,1678
2017,Број,Unsko-sanski kanton,Ж,1531
2018,Број,Unsko-sanski kanton,Ж,1429
2009,Број,Tuzlanski kanton,Оба пола,13896
2010,Број,Tuzlanski kanton,Оба пола,14557
2011,Број,Tuzlanski kanton,Оба пола,13535
2012,Број,Tuzlanski kanton,Оба пола,12147
2013,Број,Tuzlanski kanton,Оба пола,11686
2014,Број,Tuzlanski kanton,Оба пола,11074
2015,Број,Tuzlanski kanton,Оба пола,11231
2016,Број,Tuzlanski kanton,Оба пола,11338
2017,Број,Tuzlanski kanton,Оба пола,10920
2018,Број,Tuzlanski kanton,Оба пола,9956
2009,Број,Tuzlanski kanton,M,6038
2010,Број,Tuzlanski kanton,M,6284
2011,Број,Tuzlanski kanton,M,5710
2012,Број,Tuzlanski kanton,M,5103
2013,Број,Tuzlanski kanton,M,4770
2014,Број,Tuzlanski kanton,M,4499
2015,Број,Tuzlanski kanton,M,4626
2016,Број,Tuzlanski kanton,M,4746
2017,Број,Tuzlanski kanton,M,4540
2018,Број,Tuzlanski kanton,M,4073
2009,Број,Tuzlanski kanton,Ж,7858
2010,Број,Tuzlanski kanton,Ж,8273
2011,Број,Tuzlanski kanton,Ж,7825
2012,Број,Tuzlanski kanton,Ж,7044
2013,Број,Tuzlanski kanton,Ж,6916
2014,Број,Tuzlanski kanton,Ж,6575
2015,Број,Tuzlanski kanton,Ж,6605
2016,Број,Tuzlanski kanton,Ж,6592
2017,Број,Tuzlanski kanton,Ж,6380
2018,Број,Tuzlanski kanton,Ж,5883
2009,Број,Zeničko-dobojski kanton,Оба пола,4463
2010,Број,Zeničko-dobojski kanton,Оба пола,4655
2011,Број,Zeničko-dobojski kanton,Оба пола,4278
2012,Број,Zeničko-dobojski kanton,Оба пола,4151
2013,Број,Zeničko-dobojski kanton,Оба пола,3917
2014,Број,Zeničko-dobojski kanton,Оба пола,3927
2015,Број,Zeničko-dobojski kanton,Оба пола,3687
2016,Број,Zeničko-dobojski kanton,Оба пола,3495
2017,Број,Zeničko-dobojski kanton,Оба пола,3124
2018,Број,Zeničko-dobojski kanton,Оба пола,3173
2009,Број,Zeničko-dobojski kanton,M,1748
2010,Број,Zeničko-dobojski kanton,M,1797
2011,Број,Zeničko-dobojski kanton,M,1668
2012,Број,Zeničko-dobojski kanton,M,1637
2013,Број,Zeničko-dobojski kanton,M,1524
2014,Број,Zeničko-dobojski kanton,M,1542
2015,Број,Zeničko-dobojski kanton,M,1434
2016,Број,Zeničko-dobojski kanton,M,1297
2017,Број,Zeničko-dobojski kanton,M,1115
2018,Број,Zeničko-dobojski kanton,M,1098
2009,Број,Zeničko-dobojski kanton,Ж,2715
2010,Број,Zeničko-dobojski kanton,Ж,2858
2011,Број,Zeničko-dobojski kanton,Ж,2610
2012,Број,Zeničko-dobojski kanton,Ж,2514
2013,Број,Zeničko-dobojski kanton,Ж,2393
2014,Број,Zeničko-dobojski kanton,Ж,2385
2015,Број,Zeničko-dobojski kanton,Ж,2253
2016,Број,Zeničko-dobojski kanton,Ж,2198
2017,Број,Zeničko-dobojski kanton,Ж,2009
2018,Број,Zeničko-dobojski kanton,Ж,2075
2009,Број,Bosansko-podrinjski kanton,Оба пола,0
2010,Број,Bosansko-podrinjski kanton,Оба пола,0
2011,Број,Bosansko-podrinjski kanton,Оба пола,0
2012,Број,Bosansko-podrinjski kanton,Оба пола,0
2013,Број,Bosansko-podrinjski kanton,Оба пола,0
2014,Број,Bosansko-podrinjski kanton,Оба пола,31
2015,Број,Bosansko-podrinjski kanton,Оба пола,112
2016,Број,Bosansko-podrinjski kanton,Оба пола,144
2017,Број,Bosansko-podrinjski kanton,Оба пола,126
2018,Број,Bosansko-podrinjski kanton,Оба пола,77
2009,Број,Bosansko-podrinjski kanton,M,0
2010,Број,Bosansko-podrinjski kanton,M,0
2011,Број,Bosansko-podrinjski kanton,M,0
2012,Број,Bosansko-podrinjski kanton,M,0
2013,Број,Bosansko-podrinjski kanton,M,0
2014,Број,Bosansko-podrinjski kanton,M,9
2015,Број,Bosansko-podrinjski kanton,M,42
2016,Број,Bosansko-podrinjski kanton,M,54
2017,Број,Bosansko-podrinjski kanton,M,50
2018,Број,Bosansko-podrinjski kanton,M,31
2009,Број,Bosansko-podrinjski kanton,Ж,0
2010,Број,Bosansko-podrinjski kanton,Ж,0
2011,Број,Bosansko-podrinjski kanton,Ж,0
2012,Број,Bosansko-podrinjski kanton,Ж,0
2013,Број,Bosansko-podrinjski kanton,Ж,0
2014,Број,Bosansko-podrinjski kanton,Ж,22
2015,Број,Bosansko-podrinjski kanton,Ж,70
2016,Број,Bosansko-podrinjski kanton,Ж,90
2017,Број,Bosansko-podrinjski kanton,Ж,76
2018,Број,Bosansko-podrinjski kanton,Ж,46
2009,Број,Srednjobosanski kanton,Оба пола,2991
2010,Број,Srednjobosanski kanton,Оба пола,3665
2011,Број,Srednjobosanski kanton,Оба пола,4188
2012,Број,Srednjobosanski kanton,Оба пола,4500
2013,Број,Srednjobosanski kanton,Оба пола,4544
2014,Број,Srednjobosanski kanton,Оба пола,4688
2015,Број,Srednjobosanski kanton,Оба пола,4913
2016,Број,Srednjobosanski kanton,Оба пола,5184
2017,Број,Srednjobosanski kanton,Оба пола,5487
2018,Број,Srednjobosanski kanton,Оба пола,4489
2009,Број,Srednjobosanski kanton,M,1791
2010,Број,Srednjobosanski kanton,M,2184
2011,Број,Srednjobosanski kanton,M,2545
2012,Број,Srednjobosanski kanton,M,2814
2013,Број,Srednjobosanski kanton,M,2825
2014,Број,Srednjobosanski kanton,M,2964
2015,Број,Srednjobosanski kanton,M,3068
2016,Број,Srednjobosanski kanton,M,3200
2017,Број,Srednjobosanski kanton,M,3354
2018,Број,Srednjobosanski kanton,M,2603
2009,Број,Srednjobosanski kanton,Ж,1200
2010,Број,Srednjobosanski kanton,Ж,1481
2011,Број,Srednjobosanski kanton,Ж,1643
2012,Број,Srednjobosanski kanton,Ж,1686
2013,Број,Srednjobosanski kanton,Ж,1719
2014,Број,Srednjobosanski kanton,Ж,1724
2015,Број,Srednjobosanski kanton,Ж,1845
2016,Број,Srednjobosanski kanton,Ж,1984
2017,Број,Srednjobosanski kanton,Ж,2133
2018,Број,Srednjobosanski kanton,Ж,1886
2009,Број,Hercegovačko-neretvanski kanton,Оба пола,12909
2010,Број,Hercegovačko-neretvanski kanton,Оба пола,14187
2011,Број,Hercegovačko-neretvanski kanton,Оба пола,14541
2012,Број,Hercegovačko-neretvanski kanton,Оба пола,13856
2013,Број,Hercegovačko-neretvanski kanton,Оба пола,15150
2014,Број,Hercegovačko-neretvanski kanton,Оба пола,15046
2015,Број,Hercegovačko-neretvanski kanton,Оба пола,14485
2016,Број,Hercegovačko-neretvanski kanton,Оба пола,14315
2017,Број,Hercegovačko-neretvanski kanton,Оба пола,14120
2018,Број,Hercegovačko-neretvanski kanton,Оба пола,13426
2009,Број,Hercegovačko-neretvanski kanton,M,5490
2010,Број,Hercegovačko-neretvanski kanton,M,5937
2011,Број,Hercegovačko-neretvanski kanton,M,6018
2012,Број,Hercegovačko-neretvanski kanton,M,5698
2013,Број,Hercegovačko-neretvanski kanton,M,6252
2014,Број,Hercegovačko-neretvanski kanton,M,6339
2015,Број,Hercegovačko-neretvanski kanton,M,6194
2016,Број,Hercegovačko-neretvanski kanton,M,6063
2017,Број,Hercegovačko-neretvanski kanton,M,5916
2018,Број,Hercegovačko-neretvanski kanton,M,5395
2009,Број,Hercegovačko-neretvanski kanton,Ж,7419
2010,Број,Hercegovačko-neretvanski kanton,Ж,8250
2011,Број,Hercegovačko-neretvanski kanton,Ж,8523
2012,Број,Hercegovačko-neretvanski kanton,Ж,8158
2013,Број,Hercegovačko-neretvanski kanton,Ж,8898
2014,Број,Hercegovačko-neretvanski kanton,Ж,8707
2015,Број,Hercegovačko-neretvanski kanton,Ж,8291
2016,Број,Hercegovačko-neretvanski kanton,Ж,8252
2017,Број,Hercegovačko-neretvanski kanton,Ж,8204
2018,Број,Hercegovačko-neretvanski kanton,Ж,8031
2009,Број,Kanton Sarajevo,Оба пола,32343
2010,Број,Kanton Sarajevo,Оба пола,32798
2011,Број,Kanton Sarajevo,Оба пола,33435
2012,Број,Kanton Sarajevo,Оба пола,33910
2013,Број,Kanton Sarajevo,Оба пола,33949
2014,Број,Kanton Sarajevo,Оба пола,34069
2015,Број,Kanton Sarajevo,Оба пола,34673
2016,Број,Kanton Sarajevo,Оба пола,32599
2017,Број,Kanton Sarajevo,Оба пола,29703
2018,Број,Kanton Sarajevo,Оба пола,28842
2009,Број,Kanton Sarajevo,M,13342
2010,Број,Kanton Sarajevo,M,14503
2011,Број,Kanton Sarajevo,M,14907
2012,Број,Kanton Sarajevo,M,15071
2013,Број,Kanton Sarajevo,M,14849
2014,Број,Kanton Sarajevo,M,14645
2015,Број,Kanton Sarajevo,M,14685
2016,Број,Kanton Sarajevo,M,13488
2017,Број,Kanton Sarajevo,M,12104
2018,Број,Kanton Sarajevo,M,11451
2009,Број,Kanton Sarajevo,Ж,19001
2010,Број,Kanton Sarajevo,Ж,18295
2011,Број,Kanton Sarajevo,Ж,18528
2012,Број,Kanton Sarajevo,Ж,18839
2013,Број,Kanton Sarajevo,Ж,19100
2014,Број,Kanton Sarajevo,Ж,19424
2015,Број,Kanton Sarajevo,Ж,19988
2016,Број,Kanton Sarajevo,Ж,19111
2017,Број,Kanton Sarajevo,Ж,17599
2018,Број,Kanton Sarajevo,Ж,17391
