Year,UNIT_MEASURE,Spol,Administrativna jedinica,Vitalna statistika,Value
2001,Broj,Ukupno,Bosansko-podrinjski kanton,Živorođeni,296
2001,Broj,Ukupno,Srednjobosanski kanton,Živorođeni,2979
2001,Broj,Ukupno,Hercegovačko-neretvanski kanton,Živorođeni,2043
2001,Broj,Ukupno,Zapadno-hercegovački kanton,Živorođeni,569
2001,Broj,Ukupno,Kanton Sarajevo,Živorođeni,3878
2001,Broj,Ukupno,Kanton 10,Živorođeni,638
2001,Broj,M,Federacija Bosne i Hercegovine,Živorođeni,12278
2001,Broj,M,Unsko-sanski kanton,Živorođeni,1802
2001,Broj,M,Posavski kanton,Živorođeni,181
2001,Broj,M,Tuzlanski kanton,Živorođeni,2678
2001,Broj,M,Zeničko-dobojski kanton,Živorođeni,2292
2001,Broj,M,Bosansko-podrinjski kanton,Živorođeni,140
2001,Broj,M,Srednjobosanski kanton,Živorođeni,1561
2001,Broj,M,Hercegovačko-neretvanski kanton,Živorođeni,1008
2001,Broj,M,Zapadno-hercegovački kanton,Živorođeni,300
2001,Broj,M,Kanton Sarajevo,Živorođeni,1999
2001,Broj,M,Kanton 10,Živorođeni,317
2001,Broj,Ž,Federacija Bosne i Hercegovine,Živorođeni,11603
2001,Broj,Ž,Unsko-sanski kanton,Živorođeni,1695
2001,Broj,Ž,Posavski kanton,Živorođeni,157
2001,Broj,Ž,Tuzlanski kanton,Živorođeni,2484
2001,Broj,Ž,Zeničko-dobojski kanton,Živorođeni,2189
2001,Broj,Ž,Bosansko-podrinjski kanton,Živorođeni,156
2001,Broj,Ž,Srednjobosanski kanton,Živorođeni,1418
2001,Broj,Ž,Hercegovačko-neretvanski kanton,Živorođeni,1035
2001,Broj,Ž,Zapadno-hercegovački kanton,Živorođeni,269
2001,Broj,Ž,Kanton Sarajevo,Živorođeni,1879
2001,Broj,Ž,Kanton 10,Živorođeni,321
2002,Broj,Ukupno,Federacija Bosne i Hercegovine,Živorođeni,23058
2002,Broj,Ukupno,Unsko-sanski kanton,Živorođeni,3208
2002,Broj,Ukupno,Posavski kanton,Živorođeni,363
2002,Broj,Ukupno,Tuzlanski kanton,Živorođeni,5079
2002,Broj,Ukupno,Zeničko-dobojski kanton,Živorođeni,4195
2002,Broj,Ukupno,Bosansko-podrinjski kanton,Živorođeni,230
2002,Broj,Ukupno,Srednjobosanski kanton,Živorođeni,2873
