Year,UNIT_MEASURE,Administrativna oblast,Literacy,Spol,Value
2013,Broj,Visoko,Nepoznato,M,100
2013,Broj,Vitez,Nepoznato,M,129
2013,Broj,vogosca,Nepoznato,M,31
2013,Broj,Zavidovići,Nepoznato,M,119
2013,Broj,Zenica,Nepoznato,M,190
2013,Broj,Žepče,Nepoznato,M,96
2013,Broj,Živinice,Nepoznato,M,125
2013,Broj,Banovići,Nepoznato,Ž,148
2013,Broj,Bihać,Nepoznato,Ž,317
2013,Broj,Bosanska Krupa,Nepoznato,Ž,178
2013,Broj,Bosanski Petrovac,Nepoznato,Ž,75
2013,Broj,Bosansko Grahovo,Nepoznato,Ž,19
2013,Broj,Breza,Nepoznato,Ž,34
2013,Broj,Bugojno,Nepoznato,Ž,298
2013,Broj,Busovača,Nepoznato,Ž,144
2013,Broj,Bužim,Nepoznato,Ž,103
2013,Broj,Cazin,Nepoznato,Ž,445
2013,Broj,centar_sarajevo,Nepoznato,Ž,158
2013,Broj,Čapljina,Nepoznato,Ž,248
2013,Broj,Čelić,Nepoznato,Ž,67
2013,Broj,Čitluk,Nepoznato,Ž,184
2013,Broj,doboj-istok,Nepoznato,Ž,48
2013,Broj,doboj-jug,Nepoznato,Ž,32
2013,Broj,Dobretići,Nepoznato,Ž,10
2013,Broj,domaljevac-samac,Nepoznato,Ž,32
2013,Broj,Donji Vakuf,Nepoznato,Ž,105
2013,Broj,Drvar,Nepoznato,Ž,35
2013,Broj,foca-fbih,Nepoznato,Ž,5
2013,Broj,Fojnica,Nepoznato,Ž,201
2013,Broj,Glamoč,Nepoznato,Ž,27
2013,Broj,Goražde,Nepoznato,Ž,105
2013,Broj,gornji_vakuf-uskoplje,Nepoznato,Ž,267
2013,Broj,Gračanica,Nepoznato,Ž,281
2013,Broj,Gradačac,Nepoznato,Ž,206
2013,Broj,Grude,Nepoznato,Ž,135
2013,Broj,hadzici,Nepoznato,Ž,130
2013,Broj,ilidza,Nepoznato,Ž,269
2013,Broj,ilijas,Nepoznato,Ž,77
2013,Broj,Jablanica,Nepoznato,Ž,37
2013,Broj,Jajce,Nepoznato,Ž,298
2013,Broj,Kakanj,Nepoznato,Ž,210
2013,Broj,Kalesija,Nepoznato,Ž,286
2013,Broj,Kiseljak,Nepoznato,Ž,135
2013,Broj,Kladanj,Nepoznato,Ž,66
2013,Broj,Ključ,Nepoznato,Ž,102
2013,Broj,Konjic,Nepoznato,Ž,222
2013,Broj,Kreševo,Nepoznato,Ž,35
2013,Broj,kupres-fbih,Nepoznato,Ž,34
2013,Broj,Livno,Nepoznato,Ž,215
2013,Broj,Lukavac,Nepoznato,Ž,225
2013,Broj,Ljubuški,Nepoznato,Ž,197
2013,Broj,Maglaj,Nepoznato,Ž,167
2013,Broj,Mostar,Nepoznato,Ž,594
2013,Broj,Neum,Nepoznato,Ž,27
