Year,UNIT_MEASURE,Administrativna oblast,Vrsta obrazovanja,Spol,Value
2019,Broj,una-sana_canton,masters_of_science,M,
2019,Broj,una-sana_canton,masters_of_science,Ž,
2020,Broj,una-sana_canton,masters_of_science,Oba spola,
2020,Broj,una-sana_canton,masters_of_science,M,
2020,Broj,una-sana_canton,masters_of_science,Ž,
2016,Broj,una-sana_canton,masters,Oba spola,
2016,Broj,una-sana_canton,masters,M,
2016,Broj,una-sana_canton,masters,Ž,
2017,Broj,una-sana_canton,masters,Oba spola,
2017,Broj,una-sana_canton,masters,M,
2017,Broj,una-sana_canton,masters,Ž,
2018,Broj,una-sana_canton,masters,Oba spola,
2018,Broj,una-sana_canton,masters,M,
2018,Broj,una-sana_canton,masters,Ž,
2019,Broj,una-sana_canton,masters,Oba spola,
2019,Broj,una-sana_canton,masters,M,
2019,Broj,una-sana_canton,masters,Ž,
2020,Broj,una-sana_canton,masters,Oba spola,
2020,Broj,una-sana_canton,masters,M,
2020,Broj,una-sana_canton,masters,Ž,
2016,Broj,una-sana_canton,specialists,Oba spola,
2016,Broj,una-sana_canton,specialists,M,
2016,Broj,una-sana_canton,specialists,Ž,
2017,Broj,una-sana_canton,specialists,Oba spola,
2017,Broj,una-sana_canton,specialists,M,
2017,Broj,una-sana_canton,specialists,Ž,
2018,Broj,una-sana_canton,specialists,Oba spola,
2018,Broj,una-sana_canton,specialists,M,
2018,Broj,una-sana_canton,specialists,Ž,
2019,Broj,una-sana_canton,specialists,Oba spola,
2019,Broj,una-sana_canton,specialists,M,
2019,Broj,una-sana_canton,specialists,Ž,
2020,Broj,una-sana_canton,specialists,Oba spola,
2020,Broj,una-sana_canton,specialists,M,
2020,Broj,una-sana_canton,specialists,Ž,
2016,Broj,zenica-doboj_canton,masters_of_science,Oba spola,
2016,Broj,zenica-doboj_canton,masters_of_science,M,
2016,Broj,zenica-doboj_canton,masters_of_science,Ž,
2017,Broj,zenica-doboj_canton,masters_of_science,Oba spola,
2017,Broj,zenica-doboj_canton,masters_of_science,M,
2017,Broj,zenica-doboj_canton,masters_of_science,Ž,
2018,Broj,zenica-doboj_canton,masters_of_science,Oba spola,
2018,Broj,zenica-doboj_canton,masters_of_science,M,
2018,Broj,zenica-doboj_canton,masters_of_science,Ž,
2019,Broj,zenica-doboj_canton,masters_of_science,Oba spola,
2019,Broj,zenica-doboj_canton,masters_of_science,M,
2019,Broj,zenica-doboj_canton,masters_of_science,Ž,
2020,Broj,zenica-doboj_canton,masters_of_science,Oba spola,
2020,Broj,zenica-doboj_canton,masters_of_science,M,
2020,Broj,zenica-doboj_canton,masters_of_science,Ž,
2016,Broj,zenica-doboj_canton,masters,Oba spola,
2016,Broj,zenica-doboj_canton,masters,M,
2016,Broj,zenica-doboj_canton,masters,Ž,
2017,Broj,zenica-doboj_canton,masters,Oba spola,
2017,Broj,zenica-doboj_canton,masters,M,
2017,Broj,zenica-doboj_canton,masters,Ž,
2018,Broj,zenica-doboj_canton,masters,Oba spola,
2018,Broj,zenica-doboj_canton,masters,M,
2018,Broj,zenica-doboj_canton,masters,Ž,
2019,Broj,zenica-doboj_canton,masters,Oba spola,
2019,Broj,zenica-doboj_canton,masters,M,
2019,Broj,zenica-doboj_canton,masters,Ž,
2020,Broj,zenica-doboj_canton,masters,Oba spola,
2020,Broj,zenica-doboj_canton,masters,M,
2020,Broj,zenica-doboj_canton,masters,Ž,
2016,Broj,zenica-doboj_canton,specialists,Oba spola,
2016,Broj,zenica-doboj_canton,specialists,M,
2016,Broj,zenica-doboj_canton,specialists,Ž,
2017,Broj,zenica-doboj_canton,specialists,Oba spola,
2017,Broj,zenica-doboj_canton,specialists,M,
2017,Broj,zenica-doboj_canton,specialists,Ž,
2018,Broj,zenica-doboj_canton,specialists,Oba spola,
2018,Broj,zenica-doboj_canton,specialists,M,
2018,Broj,zenica-doboj_canton,specialists,Ž,
2019,Broj,zenica-doboj_canton,specialists,Oba spola,
2019,Broj,zenica-doboj_canton,specialists,M,
2019,Broj,zenica-doboj_canton,specialists,Ž,
2020,Broj,zenica-doboj_canton,specialists,Oba spola,
2020,Broj,zenica-doboj_canton,specialists,M,
2020,Broj,zenica-doboj_canton,specialists,Ž,
2016,Broj,bosnian-podrinje_canton,masters_of_science,Oba spola,
2016,Broj,bosnian-podrinje_canton,masters_of_science,M,
2016,Broj,bosnian-podrinje_canton,masters_of_science,Ž,
2017,Broj,bosnian-podrinje_canton,masters_of_science,Oba spola,
2017,Broj,bosnian-podrinje_canton,masters_of_science,M,
2017,Broj,bosnian-podrinje_canton,masters_of_science,Ž,
2018,Broj,bosnian-podrinje_canton,masters_of_science,Oba spola,
2018,Broj,bosnian-podrinje_canton,masters_of_science,M,
2018,Broj,bosnian-podrinje_canton,masters_of_science,Ž,
2019,Broj,bosnian-podrinje_canton,masters_of_science,Oba spola,
2019,Broj,bosnian-podrinje_canton,masters_of_science,M,
2019,Broj,bosnian-podrinje_canton,masters_of_science,Ž,
2020,Broj,bosnian-podrinje_canton,masters_of_science,Oba spola,
2020,Broj,bosnian-podrinje_canton,masters_of_science,M,
2020,Broj,bosnian-podrinje_canton,masters_of_science,Ž,
2016,Broj,bosnian-podrinje_canton,masters,Oba spola,
2016,Broj,bosnian-podrinje_canton,masters,M,
2016,Broj,bosnian-podrinje_canton,masters,Ž,
2017,Broj,bosnian-podrinje_canton,masters,Oba spola,
2017,Broj,bosnian-podrinje_canton,masters,M,
2017,Broj,bosnian-podrinje_canton,masters,Ž,
2018,Broj,bosnian-podrinje_canton,masters,Oba spola,
2018,Broj,bosnian-podrinje_canton,masters,M,
2018,Broj,bosnian-podrinje_canton,masters,Ž,
2019,Broj,bosnian-podrinje_canton,masters,Oba spola,
2019,Broj,bosnian-podrinje_canton,masters,M,
2019,Broj,bosnian-podrinje_canton,masters,Ž,
2020,Broj,bosnian-podrinje_canton,masters,Oba spola,
2020,Broj,bosnian-podrinje_canton,masters,M,
2020,Broj,bosnian-podrinje_canton,masters,Ž,
2016,Broj,bosnian-podrinje_canton,specialists,Oba spola,
2016,Broj,bosnian-podrinje_canton,specialists,M,
2016,Broj,bosnian-podrinje_canton,specialists,Ž,
2017,Broj,bosnian-podrinje_canton,specialists,Oba spola,
2017,Broj,bosnian-podrinje_canton,specialists,M,
2017,Broj,bosnian-podrinje_canton,specialists,Ž,
2018,Broj,bosnian-podrinje_canton,specialists,Oba spola,
2018,Broj,bosnian-podrinje_canton,specialists,M,
2018,Broj,bosnian-podrinje_canton,specialists,Ž,
2019,Broj,bosnian-podrinje_canton,specialists,Oba spola,
2019,Broj,bosnian-podrinje_canton,specialists,M,
2019,Broj,bosnian-podrinje_canton,specialists,Ž,
2020,Broj,bosnian-podrinje_canton,specialists,Oba spola,
2020,Broj,bosnian-podrinje_canton,specialists,M,
2020,Broj,bosnian-podrinje_canton,specialists,Ž,
2016,Broj,central_bosnia_canton,masters_of_science,Oba spola,
2016,Broj,central_bosnia_canton,masters_of_science,M,
2016,Broj,central_bosnia_canton,masters_of_science,Ž,
2017,Broj,central_bosnia_canton,masters_of_science,Oba spola,
2017,Broj,central_bosnia_canton,masters_of_science,M,
2017,Broj,central_bosnia_canton,masters_of_science,Ž,
2018,Broj,central_bosnia_canton,masters_of_science,Oba spola,
2018,Broj,central_bosnia_canton,masters_of_science,M,
2018,Broj,central_bosnia_canton,masters_of_science,Ž,
2019,Broj,central_bosnia_canton,masters_of_science,Oba spola,
2019,Broj,central_bosnia_canton,masters_of_science,M,
2019,Broj,central_bosnia_canton,masters_of_science,Ž,
2020,Broj,central_bosnia_canton,masters_of_science,Oba spola,
2020,Broj,central_bosnia_canton,masters_of_science,M,
2020,Broj,central_bosnia_canton,masters_of_science,Ž,
2016,Broj,central_bosnia_canton,masters,Oba spola,
2016,Broj,central_bosnia_canton,masters,M,
2016,Broj,central_bosnia_canton,masters,Ž,
2017,Broj,central_bosnia_canton,masters,Oba spola,
2017,Broj,central_bosnia_canton,masters,M,
2017,Broj,central_bosnia_canton,masters,Ž,
2018,Broj,central_bosnia_canton,masters,Oba spola,
2018,Broj,central_bosnia_canton,masters,M,
2018,Broj,central_bosnia_canton,masters,Ž,
2019,Broj,central_bosnia_canton,masters,Oba spola,
2019,Broj,central_bosnia_canton,masters,M,
2019,Broj,central_bosnia_canton,masters,Ž,
2020,Broj,central_bosnia_canton,masters,Oba spola,
2020,Broj,central_bosnia_canton,masters,M,
2020,Broj,central_bosnia_canton,masters,Ž,
2016,Broj,central_bosnia_canton,specialists,Oba spola,
2016,Broj,central_bosnia_canton,specialists,M,
2016,Broj,central_bosnia_canton,specialists,Ž,
2017,Broj,central_bosnia_canton,specialists,Oba spola,
2017,Broj,central_bosnia_canton,specialists,M,
2017,Broj,central_bosnia_canton,specialists,Ž,
2018,Broj,central_bosnia_canton,specialists,Oba spola,
2018,Broj,central_bosnia_canton,specialists,M,
2018,Broj,central_bosnia_canton,specialists,Ž,
2019,Broj,central_bosnia_canton,specialists,Oba spola,
2019,Broj,central_bosnia_canton,specialists,M,
2019,Broj,central_bosnia_canton,specialists,Ž,
2020,Broj,central_bosnia_canton,specialists,Oba spola,
2020,Broj,central_bosnia_canton,specialists,M,
2020,Broj,central_bosnia_canton,specialists,Ž,
2016,Broj,herzegovina-neretva_canton,masters_of_science,Oba spola,
2016,Broj,herzegovina-neretva_canton,masters_of_science,M,
2016,Broj,herzegovina-neretva_canton,masters_of_science,Ž,
2017,Broj,herzegovina-neretva_canton,masters_of_science,Oba spola,
2017,Broj,herzegovina-neretva_canton,masters_of_science,M,
2017,Broj,herzegovina-neretva_canton,masters_of_science,Ž,
2018,Broj,herzegovina-neretva_canton,masters_of_science,Oba spola,
2018,Broj,herzegovina-neretva_canton,masters_of_science,M,
2018,Broj,herzegovina-neretva_canton,masters_of_science,Ž,
2019,Broj,herzegovina-neretva_canton,masters_of_science,Oba spola,
2019,Broj,herzegovina-neretva_canton,masters_of_science,M,
2019,Broj,herzegovina-neretva_canton,masters_of_science,Ž,
2020,Broj,herzegovina-neretva_canton,masters_of_science,Oba spola,
2020,Broj,herzegovina-neretva_canton,masters_of_science,M,
2020,Broj,herzegovina-neretva_canton,masters_of_science,Ž,
2016,Broj,herzegovina-neretva_canton,masters,Oba spola,
2016,Broj,herzegovina-neretva_canton,masters,M,
2016,Broj,herzegovina-neretva_canton,masters,Ž,
2017,Broj,herzegovina-neretva_canton,masters,Oba spola,
2017,Broj,herzegovina-neretva_canton,masters,M,
2017,Broj,herzegovina-neretva_canton,masters,Ž,
2018,Broj,herzegovina-neretva_canton,masters,Oba spola,
2018,Broj,herzegovina-neretva_canton,masters,M,
2018,Broj,herzegovina-neretva_canton,masters,Ž,
2019,Broj,herzegovina-neretva_canton,masters,Oba spola,
2019,Broj,herzegovina-neretva_canton,masters,M,
2019,Broj,herzegovina-neretva_canton,masters,Ž,
2020,Broj,herzegovina-neretva_canton,masters,Oba spola,
2020,Broj,herzegovina-neretva_canton,masters,M,
2020,Broj,herzegovina-neretva_canton,masters,Ž,
2016,Broj,herzegovina-neretva_canton,specialists,Oba spola,
2016,Broj,herzegovina-neretva_canton,specialists,M,
2016,Broj,herzegovina-neretva_canton,specialists,Ž,
2017,Broj,herzegovina-neretva_canton,specialists,Oba spola,
2017,Broj,herzegovina-neretva_canton,specialists,M,
2017,Broj,herzegovina-neretva_canton,specialists,Ž,
2018,Broj,herzegovina-neretva_canton,specialists,Oba spola,
2018,Broj,herzegovina-neretva_canton,specialists,M,
2018,Broj,herzegovina-neretva_canton,specialists,Ž,
2019,Broj,herzegovina-neretva_canton,specialists,Oba spola,
2019,Broj,herzegovina-neretva_canton,specialists,M,
2019,Broj,herzegovina-neretva_canton,specialists,Ž,
2020,Broj,herzegovina-neretva_canton,specialists,Oba spola,
2020,Broj,herzegovina-neretva_canton,specialists,M,
2020,Broj,herzegovina-neretva_canton,specialists,Ž,
2016,Broj,sarajevo_canton,masters_of_science,Oba spola,
2016,Broj,sarajevo_canton,masters_of_science,M,
