Year,UNIT_MEASURE,Starosna dob,Value
2016,Broj,78,
2016,Broj,79,
2016,Broj,80,
2016,Broj,81,
2016,Broj,82,
2016,Broj,83,
2016,Broj,84,
2016,Broj,85,
2016,Broj,86,
2016,Broj,87,
2016,Broj,88,
2016,Broj,89,
2016,Broj,90,
2016,Broj,91,
2016,Broj,92,
2016,Broj,93,
2016,Broj,94,
2016,Broj,95,
2016,Broj,96,
2016,Broj,97,
2016,Broj,98,
2016,Broj,99,
2016,Broj,100,
2017,Broj,1,
2017,Broj,2,
2017,Broj,3,
2017,Broj,4,
2017,Broj,5,
2017,Broj,6,
2017,Broj,7,
2017,Broj,8,
2017,Broj,9,
2017,Broj,10,
2017,Broj,11,
2017,Broj,12,
2017,Broj,13,
2017,Broj,14,
2017,Broj,15,
2017,Broj,16,
2017,Broj,17,
2017,Broj,18,
2017,Broj,19,
2017,Broj,20,
2017,Broj,21,
2017,Broj,22,
2017,Broj,23,
2017,Broj,24,
2017,Broj,25,
2017,Broj,26,
2017,Broj,27,
2017,Broj,28,
2017,Broj,29,
2017,Broj,30,
2017,Broj,31,
2017,Broj,32,
2017,Broj,33,
2017,Broj,34,
2017,Broj,35,
2017,Broj,36,
2017,Broj,37,
2017,Broj,38,
2017,Broj,39,
2017,Broj,40,
2017,Broj,41,
2017,Broj,42,
2017,Broj,43,
2017,Broj,44,
2017,Broj,45,
2017,Broj,46,
2017,Broj,47,
2017,Broj,48,
2017,Broj,49,
2017,Broj,50,
2017,Broj,51,
2017,Broj,52,
2017,Broj,53,
2017,Broj,54,
2017,Broj,55,
2017,Broj,56,
2017,Broj,57,
2017,Broj,58,
2017,Broj,59,
2017,Broj,60,
2017,Broj,61,
2017,Broj,62,
2017,Broj,63,
2017,Broj,64,
2017,Broj,65,
2017,Broj,66,
2017,Broj,67,
2017,Broj,68,
2017,Broj,69,
2017,Broj,70,
2017,Broj,71,
2017,Broj,72,
2017,Broj,73,
2017,Broj,74,
2017,Broj,75,
2017,Broj,76,
2017,Broj,77,
2017,Broj,78,
2017,Broj,79,
2017,Broj,80,
2017,Broj,81,
2017,Broj,82,
2017,Broj,83,
2017,Broj,84,
2017,Broj,85,
2017,Broj,86,
2017,Broj,87,
2017,Broj,88,
2017,Broj,89,
2017,Broj,90,
2017,Broj,91,
2017,Broj,92,
2017,Broj,93,
2017,Broj,94,
2017,Broj,95,
2017,Broj,96,
2017,Broj,97,
2017,Broj,98,
2017,Broj,99,
2017,Broj,100,
2018,Broj,1,
2018,Broj,2,
2018,Broj,3,
2018,Broj,4,
2018,Broj,5,
2018,Broj,6,
2018,Broj,7,
2018,Broj,8,
2018,Broj,9,
2018,Broj,10,
2018,Broj,11,
2018,Broj,12,
2018,Broj,13,
2018,Broj,14,
2018,Broj,15,
2018,Broj,16,
2018,Broj,17,
2018,Broj,18,
2018,Broj,19,
2018,Broj,20,
2018,Broj,21,
2018,Broj,22,
2018,Broj,23,
2018,Broj,24,
2018,Broj,25,
2018,Broj,26,
2018,Broj,27,
2018,Broj,28,
2018,Broj,29,
2018,Broj,30,
2018,Broj,31,
2018,Broj,32,
2018,Broj,33,
2018,Broj,34,
2018,Broj,35,
2018,Broj,36,
2018,Broj,37,
2018,Broj,38,
2018,Broj,39,
2018,Broj,40,
2018,Broj,41,
2018,Broj,42,
2018,Broj,43,
2018,Broj,44,
2018,Broj,45,
2018,Broj,46,
2018,Broj,47,
2018,Broj,48,
2018,Broj,49,
2018,Broj,50,
2018,Broj,51,
2018,Broj,52,
2018,Broj,53,
2018,Broj,54,
2018,Broj,55,
2018,Broj,56,
2018,Broj,57,
2018,Broj,58,
2018,Broj,59,
2018,Broj,60,
2018,Broj,61,
2018,Broj,62,
2018,Broj,63,
2018,Broj,64,
2018,Broj,65,
2018,Broj,66,
2018,Broj,67,
2018,Broj,68,
2018,Broj,69,
2018,Broj,70,
2018,Broj,71,
2018,Broj,72,
2018,Broj,73,
2018,Broj,74,
2018,Broj,75,
2018,Broj,76,
2018,Broj,77,
2018,Broj,78,
2018,Broj,79,
2018,Broj,80,
2018,Broj,81,
2018,Broj,82,
2018,Broj,83,
2018,Broj,84,
2018,Broj,85,
2018,Broj,86,
2018,Broj,87,
2018,Broj,88,
2018,Broj,89,
2018,Broj,90,
2018,Broj,91,
2018,Broj,92,
2018,Broj,93,
2018,Broj,94,
2018,Broj,95,
2018,Broj,96,
2018,Broj,97,
2018,Broj,98,
2018,Broj,99,
2018,Broj,100,
2019,Broj,1,
2019,Broj,2,
2019,Broj,3,
2019,Broj,4,
2019,Broj,5,
2019,Broj,6,
2019,Broj,7,
2019,Broj,8,
2019,Broj,9,
2019,Broj,10,
2019,Broj,11,
2019,Broj,12,
2019,Broj,13,
2019,Broj,14,
2019,Broj,15,
2019,Broj,16,
2019,Broj,17,
2019,Broj,18,
2019,Broj,19,
2019,Broj,20,
2019,Broj,21,
2019,Broj,22,
2019,Broj,23,
2019,Broj,24,
2019,Broj,25,
2019,Broj,26,
2019,Broj,27,
2019,Broj,28,
2019,Broj,29,
2019,Broj,30,
2019,Broj,31,
2019,Broj,32,
2019,Broj,33,
2019,Broj,34,
2019,Broj,35,
2019,Broj,36,
2019,Broj,37,
2019,Broj,38,
2019,Broj,39,
2019,Broj,40,
2019,Broj,41,
2019,Broj,42,
2019,Broj,43,
2019,Broj,44,
2019,Broj,45,
2019,Broj,46,
2019,Broj,47,
2019,Broj,48,
