Year,UNIT_MEASURE,Administrativna oblast,type_of_school,Spol,Value
2020,Broj,Hercegovačko-neretvanski kanton,high_schools_for_students_with_disabilities,Oba spola,
2016,Broj,Zapadno-hercegovački kanton,Gimnazija,Oba spola,
2016,Broj,Zapadno-hercegovački kanton,technical_high_schools,Oba spola,
2016,Broj,Zapadno-hercegovački kanton,vocational_high_schools,Oba spola,
2016,Broj,Zapadno-hercegovački kanton,Umjetničke škole,Oba spola,
2016,Broj,Zapadno-hercegovački kanton,religious_schools,Oba spola,
2016,Broj,Zapadno-hercegovački kanton,high_schools_for_students_with_disabilities,Oba spola,
2017,Broj,Zapadno-hercegovački kanton,Gimnazija,Oba spola,
2017,Broj,Zapadno-hercegovački kanton,technical_high_schools,Oba spola,
2017,Broj,Zapadno-hercegovački kanton,vocational_high_schools,Oba spola,
2017,Broj,Zapadno-hercegovački kanton,Umjetničke škole,Oba spola,
2017,Broj,Zapadno-hercegovački kanton,religious_schools,Oba spola,
2017,Broj,Zapadno-hercegovački kanton,high_schools_for_students_with_disabilities,Oba spola,
2018,Broj,Zapadno-hercegovački kanton,Gimnazija,Oba spola,
2018,Broj,Zapadno-hercegovački kanton,technical_high_schools,Oba spola,
2018,Broj,Zapadno-hercegovački kanton,vocational_high_schools,Oba spola,
2018,Broj,Zapadno-hercegovački kanton,Umjetničke škole,Oba spola,
2018,Broj,Zapadno-hercegovački kanton,religious_schools,Oba spola,
2018,Broj,Zapadno-hercegovački kanton,high_schools_for_students_with_disabilities,Oba spola,
2019,Broj,Zapadno-hercegovački kanton,Gimnazija,Oba spola,
2019,Broj,Zapadno-hercegovački kanton,technical_high_schools,Oba spola,
2019,Broj,Zapadno-hercegovački kanton,vocational_high_schools,Oba spola,
2019,Broj,Zapadno-hercegovački kanton,Umjetničke škole,Oba spola,
2019,Broj,Zapadno-hercegovački kanton,religious_schools,Oba spola,
2019,Broj,Zapadno-hercegovački kanton,high_schools_for_students_with_disabilities,Oba spola,
2020,Broj,Zapadno-hercegovački kanton,Gimnazija,Oba spola,
2020,Broj,Zapadno-hercegovački kanton,technical_high_schools,Oba spola,
2020,Broj,Zapadno-hercegovački kanton,vocational_high_schools,Oba spola,
2020,Broj,Zapadno-hercegovački kanton,Umjetničke škole,Oba spola,
2020,Broj,Zapadno-hercegovački kanton,religious_schools,Oba spola,
2020,Broj,Zapadno-hercegovački kanton,high_schools_for_students_with_disabilities,Oba spola,
2016,Broj,Kanton Sarajevo,Gimnazija,Oba spola,
2016,Broj,Kanton Sarajevo,technical_high_schools,Oba spola,
2016,Broj,Kanton Sarajevo,vocational_high_schools,Oba spola,
2016,Broj,Kanton Sarajevo,Umjetničke škole,Oba spola,
2016,Broj,Kanton Sarajevo,religious_schools,Oba spola,
2016,Broj,Kanton Sarajevo,high_schools_for_students_with_disabilities,Oba spola,
2017,Broj,Kanton Sarajevo,Gimnazija,Oba spola,
2017,Broj,Kanton Sarajevo,technical_high_schools,Oba spola,
2017,Broj,Kanton Sarajevo,vocational_high_schools,Oba spola,
2017,Broj,Kanton Sarajevo,Umjetničke škole,Oba spola,
2017,Broj,Kanton Sarajevo,religious_schools,Oba spola,
2017,Broj,Kanton Sarajevo,high_schools_for_students_with_disabilities,Oba spola,
2018,Broj,Kanton Sarajevo,Gimnazija,Oba spola,
2018,Broj,Kanton Sarajevo,technical_high_schools,Oba spola,
2018,Broj,Kanton Sarajevo,vocational_high_schools,Oba spola,
2018,Broj,Kanton Sarajevo,Umjetničke škole,Oba spola,
2018,Broj,Kanton Sarajevo,religious_schools,Oba spola,
2018,Broj,Kanton Sarajevo,high_schools_for_students_with_disabilities,Oba spola,
2019,Broj,Kanton Sarajevo,Gimnazija,Oba spola,
2019,Broj,Kanton Sarajevo,technical_high_schools,Oba spola,
2019,Broj,Kanton Sarajevo,vocational_high_schools,Oba spola,
2019,Broj,Kanton Sarajevo,Umjetničke škole,Oba spola,
2019,Broj,Kanton Sarajevo,religious_schools,Oba spola,
2019,Broj,Kanton Sarajevo,high_schools_for_students_with_disabilities,Oba spola,
2020,Broj,Kanton Sarajevo,Gimnazija,Oba spola,
2020,Broj,Kanton Sarajevo,technical_high_schools,Oba spola,
2020,Broj,Kanton Sarajevo,vocational_high_schools,Oba spola,
2020,Broj,Kanton Sarajevo,Umjetničke škole,Oba spola,
2020,Broj,Kanton Sarajevo,religious_schools,Oba spola,
2020,Broj,Kanton Sarajevo,high_schools_for_students_with_disabilities,Oba spola,
2016,Broj,Kanton 10,Gimnazija,Oba spola,
2016,Broj,Kanton 10,technical_high_schools,Oba spola,
2016,Broj,Kanton 10,vocational_high_schools,Oba spola,
2016,Broj,Kanton 10,Umjetničke škole,Oba spola,
2016,Broj,Kanton 10,religious_schools,Oba spola,
2016,Broj,Kanton 10,high_schools_for_students_with_disabilities,Oba spola,
