Year,UNIT_MEASURE,Administrativna jedinica,Vrsta škole,Value
2021,Broj,Zeničko-dobojski kanton,Stručne škole,2832
2021,Broj,Zeničko-dobojski kanton,Umjetničke škole,72
2021,Broj,Zeničko-dobojski kanton,Vjerske škole,254
2021,Broj,Zeničko-dobojski kanton,Srednje škole za djecu s poteškoćama u razvoju,27
2022,Broj,Zeničko-dobojski kanton,Gimnazija,2368
2022,Broj,Zeničko-dobojski kanton,Tehničke škole,6239
2022,Broj,Zeničko-dobojski kanton,Stručne škole,2930
2022,Broj,Zeničko-dobojski kanton,Umjetničke škole,63
2022,Broj,Zeničko-dobojski kanton,Vjerske škole,255
2022,Broj,Zeničko-dobojski kanton,Srednje škole za djecu s poteškoćama u razvoju,20
2023,Broj,Zeničko-dobojski kanton,Gimnazija,2352
2023,Broj,Zeničko-dobojski kanton,Tehničke škole,6788
2023,Broj,Zeničko-dobojski kanton,Stručne škole,2524
2023,Broj,Zeničko-dobojski kanton,Umjetničke škole,54
2023,Broj,Zeničko-dobojski kanton,Vjerske škole,261
2023,Broj,Zeničko-dobojski kanton,Srednje škole za djecu s poteškoćama u razvoju,19
2016,Broj,Bosansko-podrinjski kanton,Gimnazija,172
2016,Broj,Bosansko-podrinjski kanton,Tehničke škole,534
2016,Broj,Bosansko-podrinjski kanton,Stručne škole,242
2017,Broj,Bosansko-podrinjski kanton,Gimnazija,184
2017,Broj,Bosansko-podrinjski kanton,Tehničke škole,536
2017,Broj,Bosansko-podrinjski kanton,Stručne škole,244
2018,Broj,Bosansko-podrinjski kanton,Gimnazija,160
2018,Broj,Bosansko-podrinjski kanton,Tehničke škole,503
2018,Broj,Bosansko-podrinjski kanton,Stručne škole,223
2019,Broj,Bosansko-podrinjski kanton,Gimnazija,137
2019,Broj,Bosansko-podrinjski kanton,Tehničke škole,695
2020,Broj,Bosansko-podrinjski kanton,Gimnazija,139
2020,Broj,Bosansko-podrinjski kanton,Tehničke škole,512
2020,Broj,Bosansko-podrinjski kanton,Stručne škole,137
2021,Broj,Bosansko-podrinjski kanton,Gimnazija,130
2021,Broj,Bosansko-podrinjski kanton,Tehničke škole,513
2021,Broj,Bosansko-podrinjski kanton,Stručne škole,105
2022,Broj,Bosansko-podrinjski kanton,Gimnazija,108
2022,Broj,Bosansko-podrinjski kanton,Tehničke škole,495
