Year,UNIT_MEASURE,Administrativna oblast,type_of_school,Value
2017,Broj,Zeničko-dobojski kanton,technical_high_schools,
2017,Broj,Zeničko-dobojski kanton,vocational_high_schools,
2017,Broj,Zeničko-dobojski kanton,Umjetničke škole,
2017,Broj,Zeničko-dobojski kanton,religious_schools,
2017,Broj,Zeničko-dobojski kanton,high_schools_for_students_with_disabilities,
2018,Broj,Zeničko-dobojski kanton,Gimnazija,
2018,Broj,Zeničko-dobojski kanton,technical_high_schools,
2018,Broj,Zeničko-dobojski kanton,vocational_high_schools,
2018,Broj,Zeničko-dobojski kanton,Umjetničke škole,
2018,Broj,Zeničko-dobojski kanton,religious_schools,
2018,Broj,Zeničko-dobojski kanton,high_schools_for_students_with_disabilities,
2019,Broj,Zeničko-dobojski kanton,Gimnazija,
2019,Broj,Zeničko-dobojski kanton,technical_high_schools,
2019,Broj,Zeničko-dobojski kanton,vocational_high_schools,
2019,Broj,Zeničko-dobojski kanton,Umjetničke škole,
2019,Broj,Zeničko-dobojski kanton,religious_schools,
2019,Broj,Zeničko-dobojski kanton,high_schools_for_students_with_disabilities,
2020,Broj,Zeničko-dobojski kanton,Gimnazija,
2020,Broj,Zeničko-dobojski kanton,technical_high_schools,
2020,Broj,Zeničko-dobojski kanton,vocational_high_schools,
2020,Broj,Zeničko-dobojski kanton,Umjetničke škole,
2020,Broj,Zeničko-dobojski kanton,religious_schools,
2020,Broj,Zeničko-dobojski kanton,high_schools_for_students_with_disabilities,
2016,Broj,Bosansko-podrinjski kanton,Gimnazija,
2016,Broj,Bosansko-podrinjski kanton,technical_high_schools,
2016,Broj,Bosansko-podrinjski kanton,vocational_high_schools,
2016,Broj,Bosansko-podrinjski kanton,Umjetničke škole,
2016,Broj,Bosansko-podrinjski kanton,religious_schools,
2016,Broj,Bosansko-podrinjski kanton,high_schools_for_students_with_disabilities,
2017,Broj,Bosansko-podrinjski kanton,Gimnazija,
2017,Broj,Bosansko-podrinjski kanton,technical_high_schools,
2017,Broj,Bosansko-podrinjski kanton,vocational_high_schools,
2017,Broj,Bosansko-podrinjski kanton,Umjetničke škole,
2017,Broj,Bosansko-podrinjski kanton,religious_schools,
2017,Broj,Bosansko-podrinjski kanton,high_schools_for_students_with_disabilities,
2018,Broj,Bosansko-podrinjski kanton,Gimnazija,
2018,Broj,Bosansko-podrinjski kanton,technical_high_schools,
2018,Broj,Bosansko-podrinjski kanton,vocational_high_schools,
2018,Broj,Bosansko-podrinjski kanton,Umjetničke škole,
2018,Broj,Bosansko-podrinjski kanton,religious_schools,
2018,Broj,Bosansko-podrinjski kanton,high_schools_for_students_with_disabilities,
2019,Broj,Bosansko-podrinjski kanton,Gimnazija,
2019,Broj,Bosansko-podrinjski kanton,technical_high_schools,
2019,Broj,Bosansko-podrinjski kanton,vocational_high_schools,
2019,Broj,Bosansko-podrinjski kanton,Umjetničke škole,
2019,Broj,Bosansko-podrinjski kanton,religious_schools,
2019,Broj,Bosansko-podrinjski kanton,high_schools_for_students_with_disabilities,
2020,Broj,Bosansko-podrinjski kanton,Gimnazija,
2020,Broj,Bosansko-podrinjski kanton,technical_high_schools,
2020,Broj,Bosansko-podrinjski kanton,vocational_high_schools,
2020,Broj,Bosansko-podrinjski kanton,Umjetničke škole,
2020,Broj,Bosansko-podrinjski kanton,religious_schools,
2020,Broj,Bosansko-podrinjski kanton,high_schools_for_students_with_disabilities,
2016,Broj,Srednjobosanski kanton,Gimnazija,
2016,Broj,Srednjobosanski kanton,technical_high_schools,
2016,Broj,Srednjobosanski kanton,vocational_high_schools,
2016,Broj,Srednjobosanski kanton,Umjetničke škole,
2016,Broj,Srednjobosanski kanton,religious_schools,
