Year,UNIT_MEASURE,Age,Value
2016,Number,63,
2016,Number,64,
2016,Number,65,
2016,Number,66,
2016,Number,67,
2016,Number,68,
2016,Number,69,
2016,Number,70,
2016,Number,71,
2016,Number,72,
2016,Number,73,
2016,Number,74,
2016,Number,75,
2016,Number,76,
2016,Number,77,
2016,Number,78,
2016,Number,79,
2016,Number,80,
2016,Number,81,
2016,Number,82,
2016,Number,83,
2016,Number,84,
2016,Number,85,
2016,Number,86,
2016,Number,87,
2016,Number,88,
2016,Number,89,
2016,Number,90,
2016,Number,91,
2016,Number,92,
2016,Number,93,
2016,Number,94,
2016,Number,95,
2016,Number,96,
2016,Number,97,
2016,Number,98,
2016,Number,99,
2016,Number,100,
2017,Number,1,
2017,Number,2,
2017,Number,3,
2017,Number,4,
2017,Number,5,
2017,Number,6,
2017,Number,7,
2017,Number,8,
2017,Number,9,
2017,Number,10,
2017,Number,11,
2017,Number,12,
2017,Number,13,
2017,Number,14,
2017,Number,15,
2017,Number,16,
2017,Number,17,
2017,Number,18,
2017,Number,19,
2017,Number,20,
2017,Number,21,
2017,Number,22,
2017,Number,23,
2017,Number,24,
2017,Number,25,
2017,Number,26,
2017,Number,27,
2017,Number,28,
2017,Number,29,
2017,Number,30,
2017,Number,31,
2017,Number,32,
2017,Number,33,
2017,Number,34,
2017,Number,35,
2017,Number,36,
2017,Number,37,
2017,Number,38,
2017,Number,39,
2017,Number,40,
2017,Number,41,
2017,Number,42,
2017,Number,43,
2017,Number,44,
2017,Number,45,
2017,Number,46,
2017,Number,47,
2017,Number,48,
2017,Number,49,
2017,Number,50,
2017,Number,51,
2017,Number,52,
2017,Number,53,
2017,Number,54,
2017,Number,55,
2017,Number,56,
2017,Number,57,
2017,Number,58,
2017,Number,59,
2017,Number,60,
2017,Number,61,
2017,Number,62,
2017,Number,63,
2017,Number,64,
2017,Number,65,
2017,Number,66,
2017,Number,67,
2017,Number,68,
2017,Number,69,
2017,Number,70,
2017,Number,71,
2017,Number,72,
2017,Number,73,
2017,Number,74,
2017,Number,75,
2017,Number,76,
2017,Number,77,
2017,Number,78,
2017,Number,79,
2017,Number,80,
2017,Number,81,
2017,Number,82,
2017,Number,83,
2017,Number,84,
2017,Number,85,
2017,Number,86,
2017,Number,87,
2017,Number,88,
2017,Number,89,
2017,Number,90,
2017,Number,91,
2017,Number,92,
2017,Number,93,
2017,Number,94,
2017,Number,95,
2017,Number,96,
2017,Number,97,
2017,Number,98,
2017,Number,99,
2017,Number,100,
2018,Number,1,
2018,Number,2,
2018,Number,3,
2018,Number,4,
2018,Number,5,
2018,Number,6,
2018,Number,7,
2018,Number,8,
2018,Number,9,
2018,Number,10,
2018,Number,11,
2018,Number,12,
2018,Number,13,
2018,Number,14,
2018,Number,15,
2018,Number,16,
2018,Number,17,
2018,Number,18,
2018,Number,19,
2018,Number,20,
2018,Number,21,
2018,Number,22,
2018,Number,23,
2018,Number,24,
2018,Number,25,
2018,Number,26,
2018,Number,27,
2018,Number,28,
2018,Number,29,
2018,Number,30,
2018,Number,31,
2018,Number,32,
2018,Number,33,
2018,Number,34,
2018,Number,35,
2018,Number,36,
2018,Number,37,
2018,Number,38,
2018,Number,39,
2018,Number,40,
2018,Number,41,
2018,Number,42,
2018,Number,43,
2018,Number,44,
2018,Number,45,
2018,Number,46,
2018,Number,47,
2018,Number,48,
2018,Number,49,
2018,Number,50,
2018,Number,51,
2018,Number,52,
2018,Number,53,
2018,Number,54,
2018,Number,55,
2018,Number,56,
2018,Number,57,
2018,Number,58,
2018,Number,59,
2018,Number,60,
2018,Number,61,
2018,Number,62,
2018,Number,63,
2018,Number,64,
2018,Number,65,
2018,Number,66,
2018,Number,67,
2018,Number,68,
2018,Number,69,
2018,Number,70,
2018,Number,71,
2018,Number,72,
2018,Number,73,
2018,Number,74,
2018,Number,75,
2018,Number,76,
2018,Number,77,
2018,Number,78,
2018,Number,79,
2018,Number,80,
2018,Number,81,
2018,Number,82,
2018,Number,83,
2018,Number,84,
2018,Number,85,
2018,Number,86,
2018,Number,87,
2018,Number,88,
2018,Number,89,
2018,Number,90,
2018,Number,91,
2018,Number,92,
2018,Number,93,
2018,Number,94,
2018,Number,95,
2018,Number,96,
2018,Number,97,
2018,Number,98,
2018,Number,99,
2018,Number,100,
2019,Number,1,
2019,Number,2,
2019,Number,3,
2019,Number,4,
2019,Number,5,
2019,Number,6,
2019,Number,7,
2019,Number,8,
2019,Number,9,
2019,Number,10,
2019,Number,11,
2019,Number,12,
2019,Number,13,
2019,Number,14,
2019,Number,15,
2019,Number,16,
2019,Number,17,
2019,Number,18,
2019,Number,19,
2019,Number,20,
2019,Number,21,
2019,Number,22,
2019,Number,23,
2019,Number,24,
2019,Number,25,
2019,Number,26,
2019,Number,27,
2019,Number,28,
2019,Number,29,
2019,Number,30,
2019,Number,31,
2019,Number,32,
2019,Number,33,
2019,Number,34,
2019,Number,35,
2019,Number,36,
2019,Number,37,
2019,Number,38,
2019,Number,39,
2019,Number,40,
2019,Number,41,
2019,Number,42,
2019,Number,43,
2019,Number,44,
2019,Number,45,
2019,Number,46,
2019,Number,47,
2019,Number,48,
2019,Number,49,
2019,Number,50,
2019,Number,51,
2019,Number,52,
2019,Number,53,
2019,Number,54,
2019,Number,55,
2019,Number,56,
2019,Number,57,
2019,Number,58,
2019,Number,59,
2019,Number,60,
2019,Number,61,
2019,Number,62,
2019,Number,63,
2019,Number,64,
2019,Number,65,
2019,Number,66,
2019,Number,67,
2019,Number,68,
2019,Number,69,
2019,Number,70,
2019,Number,71,
2019,Number,72,
2019,Number,73,
2019,Number,74,
2019,Number,75,
2019,Number,76,
2019,Number,77,
2019,Number,78,
2019,Number,79,
2019,Number,80,
2019,Number,81,
2019,Number,82,
2019,Number,83,
2019,Number,84,
2019,Number,85,
2019,Number,86,
2019,Number,87,
2019,Number,88,
2019,Number,89,
2019,Number,90,
2019,Number,91,
2019,Number,92,
2019,Number,93,
2019,Number,94,
2019,Number,95,
2019,Number,96,
2019,Number,97,
2019,Number,98,
2019,Number,99,
2019,Number,100,
2020,Number,1,
2020,Number,2,
2020,Number,3,
2020,Number,4,
2020,Number,5,
2020,Number,6,
2020,Number,7,
2020,Number,8,
2020,Number,9,
2020,Number,10,
2020,Number,11,
2020,Number,12,
2020,Number,13,
2020,Number,14,
2020,Number,15,
2020,Number,16,
2020,Number,17,
2020,Number,18,
2020,Number,19,
2020,Number,20,
2020,Number,21,
2020,Number,22,
2020,Number,23,
2020,Number,24,
2020,Number,25,
2020,Number,26,
2020,Number,27,
2020,Number,28,
2020,Number,29,
2020,Number,30,
2020,Number,31,
2020,Number,32,
2020,Number,33,
2020,Number,34,
2020,Number,35,
2020,Number,36,
2020,Number,37,
2020,Number,38,
2020,Number,39,
2020,Number,40,
2020,Number,41,
2020,Number,42,
2020,Number,43,
2020,Number,44,
2020,Number,45,
2020,Number,46,
2020,Number,47,
2020,Number,48,
2020,Number,49,
2020,Number,50,
2020,Number,51,
2020,Number,52,
2020,Number,53,
2020,Number,54,
2020,Number,55,
2020,Number,56,
2020,Number,57,
2020,Number,58,
2020,Number,59,
2020,Number,60,
2020,Number,61,
2020,Number,62,
2020,Number,63,
2020,Number,64,
2020,Number,65,
2020,Number,66,
2020,Number,67,
2020,Number,68,
2020,Number,69,
2020,Number,70,
2020,Number,71,
2020,Number,72,
2020,Number,73,
2020,Number,74,
2020,Number,75,
2020,Number,76,
2020,Number,77,
2020,Number,78,
2020,Number,79,
2020,Number,80,
2020,Number,81,
2020,Number,82,
2020,Number,83,
2020,Number,84,
2020,Number,85,
2020,Number,86,
2020,Number,87,
2020,Number,88,
2020,Number,89,
2020,Number,90,
2020,Number,91,
2020,Number,92,
2020,Number,93,
2020,Number,94,
2020,Number,95,
2020,Number,96,
2020,Number,97,
2020,Number,98,
2020,Number,99,
2020,Number,100,
