Year,UNIT_MEASURE,Административна јединица,Бројност домаћинства,Value
2023,Број,Босанска Крупа,4,1672
2023,Број,Босански Петровац,4,453
2023,Број,Бужим,4,1044
2023,Број,Цазин,4,4036
2023,Број,Кључ,4,1144
2023,Број,Сански Мост,4,2706
2023,Број,Велика Кладуша,4,2522
2023,Број,Посавски кантон,4,2606
2023,Број,Домаљевац-Шамац,4,253
2023,Број,Оџак,4,1134
2023,Број,Орашје,4,1219
2023,Број,Тузлански кантон,4,33863
2023,Број,Бановићи,4,1948
2023,Број,Челић,4,719
2023,Број,Добој-Исток,4,807
2023,Број,Грачаница,4,3457
2023,Број,Градачац,4,2695
2023,Број,Калесија,4,2687
2023,Број,Кладањ,4,1023
2023,Број,Лукавац,4,3309
2023,Број,Сапна,4,839
2023,Број,Сребреник,4,3052
2023,Број,Теочак,4,485
2023,Број,Тузла,4,7999
2023,Број,Живинице,4,4843
2023,Број,Зеничко-добојски кантон,4,28049
2023,Број,Бреза,4,1102
2023,Број,Добој-Југ,4,337
2023,Број,Какањ,4,3099
2023,Број,Маглај,4,1746
2023,Број,Олово,4,787
2023,Број,Тешањ,4,3473
2023,Број,Усора,4,461
2023,Број,Вареш,4,588
2023,Број,Високо,4,3164
2023,Број,Завидовићи,4,2920
2023,Број,Зеница,4,8336
2023,Број,Жепче,4,2036
2023,Број,Босанско-подрињски кантон,4,1719
2023,Број,Фоча-ФБиХ,4,132
2023,Број,Горажде,4,1529
2023,Број,Пале-ФБиХ,4,58
2023,Број,Средњобосански кантон,4,17704
2023,Број,Бугојно,4,2159
2023,Број,Бусовача,4,1372
2023,Број,Добретићи,4,93
2023,Број,Доњи Вакуф,4,1043
2023,Број,Фојница,4,867
2023,Број,Горњи Вакуф-Ускопље,4,1283
2023,Број,Јајце,4,1738
2023,Број,Кисељак,4,1547
2023,Број,Крешево,4,382
2023,Број,Нови Травник,4,1661
2023,Број,Травник,4,3594
2023,Број,Витез,4,1965
