Year,UNIT_MEASURE,Sex,Administrative Area,Births,Value
2003,Number,Total,Una-Sana Canton,Live births,3156
2003,Number,Total,Posavina Canton,Live births,313
2003,Number,Total,Tuzla Canton,Live births,4931
2003,Number,Total,Zenica-Doboj Canton,Live births,4106
2003,Number,Total,Bosnian-Podrinje Canton,Live births,206
2003,Number,Total,Central Bosnia Canton,Live births,2871
2003,Number,Total,Herzegovina-Neretva Canton,Live births,2131
2003,Number,Total,West Herzegovina Canton,Live births,795
2003,Number,Total,Sarajevo Canton,Live births,3881
2003,Number,Total,Canton 10,Live births,563
2003,Number,M,Federation of Bosnia and Herzegovina,Live births,11961
2003,Number,M,Una-Sana Canton,Live births,1631
2003,Number,M,Posavina Canton,Live births,157
2003,Number,M,Tuzla Canton,Live births,2527
2003,Number,M,Zenica-Doboj Canton,Live births,2124
2003,Number,M,Bosnian-Podrinje Canton,Live births,106
2003,Number,M,Central Bosnia Canton,Live births,1505
2003,Number,M,Herzegovina-Neretva Canton,Live births,1122
2003,Number,M,West Herzegovina Canton,Live births,427
2003,Number,M,Sarajevo Canton,Live births,2083
2003,Number,M,Canton 10,Live births,279
2003,Number,F,Federation of Bosnia and Herzegovina,Live births,10992
2003,Number,F,Una-Sana Canton,Live births,1525
2003,Number,F,Posavina Canton,Live births,156
2003,Number,F,Tuzla Canton,Live births,2404
2003,Number,F,Zenica-Doboj Canton,Live births,1982
2003,Number,F,Bosnian-Podrinje Canton,Live births,100
2003,Number,F,Central Bosnia Canton,Live births,1366
2003,Number,F,Herzegovina-Neretva Canton,Live births,1009
2003,Number,F,West Herzegovina Canton,Live births,368
2003,Number,F,Sarajevo Canton,Live births,1798
2003,Number,F,Canton 10,Live births,284
2004,Number,Total,Federation of Bosnia and Herzegovina,Live births,22098
2004,Number,Total,Una-Sana Canton,Live births,2954
2004,Number,Total,Posavina Canton,Live births,308
2004,Number,Total,Tuzla Canton,Live births,4683
2004,Number,Total,Zenica-Doboj Canton,Live births,3984
2004,Number,Total,Bosnian-Podrinje Canton,Live births,204
2004,Number,Total,Central Bosnia Canton,Live births,2750
2004,Number,Total,Herzegovina-Neretva Canton,Live births,1983
2004,Number,Total,West Herzegovina Canton,Live births,772
2004,Number,Total,Sarajevo Canton,Live births,3863
2004,Number,Total,Canton 10,Live births,597
2004,Number,M,Federation of Bosnia and Herzegovina,Live births,11476
2004,Number,M,Una-Sana Canton,Live births,1550
2004,Number,M,Posavina Canton,Live births,142
2004,Number,M,Tuzla Canton,Live births,2371
2004,Number,M,Zenica-Doboj Canton,Live births,2030
2004,Number,M,Bosnian-Podrinje Canton,Live births,109
2004,Number,M,Central Bosnia Canton,Live births,1452
2004,Number,M,Herzegovina-Neretva Canton,Live births,969
2004,Number,M,West Herzegovina Canton,Live births,416
2004,Number,M,Sarajevo Canton,Live births,2035
2004,Number,M,Canton 10,Live births,318
2004,Number,F,Federation of Bosnia and Herzegovina,Live births,10774
2004,Number,F,Una-Sana Canton,Live births,1404
2004,Number,F,Posavina Canton,Live births,166
2004,Number,F,Tuzla Canton,Live births,2312
2004,Number,F,Zenica-Doboj Canton,Live births,1954
2004,Number,F,Bosnian-Podrinje Canton,Live births,95
2004,Number,F,Central Bosnia Canton,Live births,1298
2004,Number,F,Herzegovina-Neretva Canton,Live births,1014
2004,Number,F,West Herzegovina Canton,Live births,356
2004,Number,F,Sarajevo Canton,Live births,1828
2004,Number,F,Canton 10,Live births,279
2005,Number,Total,Federation of Bosnia and Herzegovina,Live births,21795
2005,Number,Total,Una-Sana Canton,Live births,2891
2005,Number,Total,Posavina Canton,Live births,284
2005,Number,Total,Tuzla Canton,Live births,4674
2005,Number,Total,Zenica-Doboj Canton,Live births,3912
2005,Number,Total,Bosnian-Podrinje Canton,Live births,205
2005,Number,Total,Central Bosnia Canton,Live births,2668
2005,Number,Total,Herzegovina-Neretva Canton,Live births,1929
2005,Number,Total,West Herzegovina Canton,Live births,667
2005,Number,Total,Sarajevo Canton,Live births,4004
2005,Number,Total,Canton 10,Live births,561
2005,Number,M,Federation of Bosnia and Herzegovina,Live births,11213
2005,Number,M,Una-Sana Canton,Live births,1447
2005,Number,M,Posavina Canton,Live births,142
2005,Number,M,Tuzla Canton,Live births,2462
2005,Number,M,Zenica-Doboj Canton,Live births,1984
2005,Number,M,Bosnian-Podrinje Canton,Live births,105
2005,Number,M,Central Bosnia Canton,Live births,1357
2005,Number,M,Herzegovina-Neretva Canton,Live births,993
2005,Number,M,West Herzegovina Canton,Live births,360
2005,Number,M,Sarajevo Canton,Live births,2066
2005,Number,M,Canton 10,Live births,297
2005,Number,F,Federation of Bosnia and Herzegovina,Live births,10582
2005,Number,F,Una-Sana Canton,Live births,1444
2005,Number,F,Posavina Canton,Live births,142
2005,Number,F,Tuzla Canton,Live births,2212
2005,Number,F,Zenica-Doboj Canton,Live births,1928
2005,Number,F,Bosnian-Podrinje Canton,Live births,100
2005,Number,F,Central Bosnia Canton,Live births,1311
2005,Number,F,Herzegovina-Neretva Canton,Live births,936
2005,Number,F,West Herzegovina Canton,Live births,307
2005,Number,F,Sarajevo Canton,Live births,1938
2005,Number,F,Canton 10,Live births,264
2006,Number,Total,Federation of Bosnia and Herzegovina,Live births,21503
2006,Number,Total,Una-Sana Canton,Live births,2790
2006,Number,Total,Posavina Canton,Live births,265
2006,Number,Total,Tuzla Canton,Live births,4652
2006,Number,Total,Zenica-Doboj Canton,Live births,3842
2006,Number,Total,Bosnian-Podrinje Canton,Live births,175
2006,Number,Total,Central Bosnia Canton,Live births,2616
2006,Number,Total,Herzegovina-Neretva Canton,Live births,1826
2006,Number,Total,West Herzegovina Canton,Live births,656
2006,Number,Total,Sarajevo Canton,Live births,4131
2006,Number,Total,Canton 10,Live births,550
2006,Number,M,Federation of Bosnia and Herzegovina,Live births,11150
2006,Number,M,Una-Sana Canton,Live births,1469
2006,Number,M,Posavina Canton,Live births,140
2006,Number,M,Tuzla Canton,Live births,2414
2006,Number,M,Zenica-Doboj Canton,Live births,1976
2006,Number,M,Bosnian-Podrinje Canton,Live births,97
2006,Number,M,Central Bosnia Canton,Live births,1351
2006,Number,M,Herzegovina-Neretva Canton,Live births,951
2006,Number,M,West Herzegovina Canton,Live births,327
2006,Number,M,Sarajevo Canton,Live births,2130
2006,Number,M,Canton 10,Live births,295
2006,Number,F,Federation of Bosnia and Herzegovina,Live births,10353
2006,Number,F,Una-Sana Canton,Live births,1321
2006,Number,F,Posavina Canton,Live births,125
2006,Number,F,Tuzla Canton,Live births,2238
2006,Number,F,Zenica-Doboj Canton,Live births,1866
2006,Number,F,Bosnian-Podrinje Canton,Live births,78
2006,Number,F,Central Bosnia Canton,Live births,1265
2006,Number,F,Herzegovina-Neretva Canton,Live births,875
2006,Number,F,West Herzegovina Canton,Live births,329
2006,Number,F,Sarajevo Canton,Live births,2001
2006,Number,F,Canton 10,Live births,255
2007,Number,Total,Federation of Bosnia and Herzegovina,Live births,21628
2007,Number,Total,Una-Sana Canton,Live births,2841
2007,Number,Total,Posavina Canton,Live births,278
2007,Number,Total,Tuzla Canton,Live births,4616
2007,Number,Total,Zenica-Doboj Canton,Live births,3881
2007,Number,Total,Bosnian-Podrinje Canton,Live births,173
2007,Number,Total,Central Bosnia Canton,Live births,2605
2007,Number,Total,Herzegovina-Neretva Canton,Live births,1767
2007,Number,Total,West Herzegovina Canton,Live births,691
2007,Number,Total,Sarajevo Canton,Live births,4283
2007,Number,Total,Canton 10,Live births,493
2007,Number,M,Federation of Bosnia and Herzegovina,Live births,11249
2007,Number,M,Una-Sana Canton,Live births,1519
2007,Number,M,Posavina Canton,Live births,154
2007,Number,M,Tuzla Canton,Live births,2360
2007,Number,M,Zenica-Doboj Canton,Live births,2023
2007,Number,M,Bosnian-Podrinje Canton,Live births,77
2007,Number,M,Central Bosnia Canton,Live births,1369
2007,Number,M,Herzegovina-Neretva Canton,Live births,925
2007,Number,M,West Herzegovina Canton,Live births,355
2007,Number,M,Sarajevo Canton,Live births,2200
2007,Number,M,Canton 10,Live births,267
2007,Number,F,Federation of Bosnia and Herzegovina,Live births,10379
2007,Number,F,Una-Sana Canton,Live births,1322
2007,Number,F,Posavina Canton,Live births,124
2007,Number,F,Tuzla Canton,Live births,2256
2007,Number,F,Zenica-Doboj Canton,Live births,1858
2007,Number,F,Bosnian-Podrinje Canton,Live births,96
2007,Number,F,Central Bosnia Canton,Live births,1236
2007,Number,F,Herzegovina-Neretva Canton,Live births,842
2007,Number,F,West Herzegovina Canton,Live births,336
2007,Number,F,Sarajevo Canton,Live births,2083
2007,Number,F,Canton 10,Live births,226
2008,Number,Total,Federation of Bosnia and Herzegovina,Live births,22819
2008,Number,Total,Una-Sana Canton,Live births,2990
2008,Number,Total,Posavina Canton,Live births,251
2008,Number,Total,Tuzla Canton,Live births,4801
2008,Number,Total,Zenica-Doboj Canton,Live births,4253
2008,Number,Total,Bosnian-Podrinje Canton,Live births,210
2008,Number,Total,Central Bosnia Canton,Live births,2564
2008,Number,Total,Herzegovina-Neretva Canton,Live births,1916
2008,Number,Total,West Herzegovina Canton,Live births,751
2008,Number,Total,Sarajevo Canton,Live births,4621
2008,Number,Total,Canton 10,Live births,462
2008,Number,M,Federation of Bosnia and Herzegovina,Live births,11682
2008,Number,M,Una-Sana Canton,Live births,1481
2008,Number,M,Posavina Canton,Live births,127
2008,Number,M,Tuzla Canton,Live births,2440
2008,Number,M,Zenica-Doboj Canton,Live births,2187
2008,Number,M,Bosnian-Podrinje Canton,Live births,119
