Year,UNIT_MEASURE,Sex,Administrative Area,Births,Value
2000,Number,F,Herzegovina-Neretva Canton,Deaths,797
2000,Number,F,West Herzegovina Canton,Deaths,273
2000,Number,F,Sarajevo Canton,Deaths,1659
2000,Number,F,Canton 10,Deaths,316
2001,Number,Total,Federation of Bosnia and Herzegovina,Deaths,16756
2001,Number,Total,Una-Sana Canton,Deaths,1941
2001,Number,Total,Posavina Canton,Deaths,362
2001,Number,Total,Tuzla Canton,Deaths,2850
2001,Number,Total,Zenica-Doboj Canton,Deaths,3076
2001,Number,Total,Bosnian-Podrinje Canton,Deaths,232
2001,Number,Total,Central Bosnia Canton,Deaths,1900
2001,Number,Total,Herzegovina-Neretva Canton,Deaths,1700
2001,Number,Total,West Herzegovina Canton,Deaths,593
2001,Number,Total,Sarajevo Canton,Deaths,3440
2001,Number,Total,Canton 10,Deaths,662
2001,Number,M,Federation of Bosnia and Herzegovina,Deaths,8830
2001,Number,M,Una-Sana Canton,Deaths,1029
2001,Number,M,Posavina Canton,Deaths,204
2001,Number,M,Tuzla Canton,Deaths,1506
2001,Number,M,Zenica-Doboj Canton,Deaths,1629
2001,Number,M,Bosnian-Podrinje Canton,Deaths,112
2001,Number,M,Central Bosnia Canton,Deaths,975
2001,Number,M,Herzegovina-Neretva Canton,Deaths,900
2001,Number,M,West Herzegovina Canton,Deaths,291
2001,Number,M,Sarajevo Canton,Deaths,1843
2001,Number,M,Canton 10,Deaths,341
2001,Number,F,Federation of Bosnia and Herzegovina,Deaths,7926
2001,Number,F,Una-Sana Canton,Deaths,912
2001,Number,F,Posavina Canton,Deaths,158
2001,Number,F,Tuzla Canton,Deaths,1344
2001,Number,F,Zenica-Doboj Canton,Deaths,1447
2001,Number,F,Bosnian-Podrinje Canton,Deaths,120
2001,Number,F,Central Bosnia Canton,Deaths,925
2001,Number,F,Herzegovina-Neretva Canton,Deaths,800
2001,Number,F,West Herzegovina Canton,Deaths,302
2001,Number,F,Sarajevo Canton,Deaths,1597
2001,Number,F,Canton 10,Deaths,321
2002,Number,Total,Federation of Bosnia and Herzegovina,Deaths,16988
2002,Number,Total,Una-Sana Canton,Deaths,2009
2002,Number,Total,Posavina Canton,Deaths,416
2002,Number,Total,Tuzla Canton,Deaths,3062
2002,Number,Total,Zenica-Doboj Canton,Deaths,3005
2002,Number,Total,Bosnian-Podrinje Canton,Deaths,236
2002,Number,Total,Central Bosnia Canton,Deaths,1967
2002,Number,Total,Herzegovina-Neretva Canton,Deaths,1653
2002,Number,Total,West Herzegovina Canton,Deaths,553
2002,Number,Total,Sarajevo Canton,Deaths,3391
2002,Number,Total,Canton 10,Deaths,696
2002,Number,M,Federation of Bosnia and Herzegovina,Deaths,8757
2002,Number,M,Una-Sana Canton,Deaths,1016
2002,Number,M,Posavina Canton,Deaths,221
2002,Number,M,Tuzla Canton,Deaths,1566
2002,Number,M,Zenica-Doboj Canton,Deaths,1577
2002,Number,M,Bosnian-Podrinje Canton,Deaths,136
2002,Number,M,Central Bosnia Canton,Deaths,1027
2002,Number,M,West Herzegovina Canton,Deaths,273
2002,Number,M,Herzegovina-Neretva Canton,Deaths,849
2002,Number,M,Sarajevo Canton,Deaths,1731
2002,Number,M,Canton 10,Deaths,361
2002,Number,F,Federation of Bosnia and Herzegovina,Deaths,8231
2002,Number,F,Una-Sana Canton,Deaths,993
2002,Number,F,Posavina Canton,Deaths,195
2002,Number,F,Tuzla Canton,Deaths,1496
2002,Number,F,Zenica-Doboj Canton,Deaths,1428
2002,Number,F,Bosnian-Podrinje Canton,Deaths,100
2002,Number,F,Central Bosnia Canton,Deaths,940
2002,Number,F,Herzegovina-Neretva Canton,Deaths,804
2002,Number,F,West Herzegovina Canton,Deaths,280
2002,Number,F,Sarajevo Canton,Deaths,1660
2002,Number,F,Canton 10,Deaths,335
2003,Number,Total,Federation of Bosnia and Herzegovina,Deaths,18049
2003,Number,Total,Una-Sana Canton,Deaths,2092
2003,Number,Total,Posavina Canton,Deaths,405
2003,Number,Total,Tuzla Canton,Deaths,3320
2003,Number,Total,Zenica-Doboj Canton,Deaths,3046
2003,Number,Total,Bosnian-Podrinje Canton,Deaths,254
2003,Number,Total,Central Bosnia Canton,Deaths,2092
2003,Number,Total,Herzegovina-Neretva Canton,Deaths,1844
2003,Number,Total,West Herzegovina Canton,Deaths,722
2003,Number,Total,Sarajevo Canton,Deaths,3528
2003,Number,Total,Canton 10,Deaths,746
2003,Number,M,Federation of Bosnia and Herzegovina,Deaths,9344
2003,Number,M,Una-Sana Canton,Deaths,1089
2003,Number,M,Posavina Canton,Deaths,232
2003,Number,M,Tuzla Canton,Deaths,1714
2003,Number,M,Zenica-Doboj Canton,Deaths,1582
2003,Number,M,Bosnian-Podrinje Canton,Deaths,127
2003,Number,M,Central Bosnia Canton,Deaths,1087
2003,Number,M,Herzegovina-Neretva Canton,Deaths,968
2003,Number,M,West Herzegovina Canton,Deaths,354
2003,Number,M,Sarajevo Canton,Deaths,1820
2003,Number,M,Canton 10,Deaths,371
2003,Number,F,Federation of Bosnia and Herzegovina,Deaths,8705
2003,Number,F,Una-Sana Canton,Deaths,1003
2003,Number,F,Posavina Canton,Deaths,173
2003,Number,F,Tuzla Canton,Deaths,1606
2003,Number,F,Zenica-Doboj Canton,Deaths,1464
2003,Number,F,Bosnian-Podrinje Canton,Deaths,127
2003,Number,F,Central Bosnia Canton,Deaths,1005
2003,Number,F,Herzegovina-Neretva Canton,Deaths,876
2003,Number,F,West Herzegovina Canton,Deaths,368
2003,Number,F,Sarajevo Canton,Deaths,1708
2003,Number,F,Canton 10,Deaths,375
2004,Number,Total,Federation of Bosnia and Herzegovina,Deaths,18122
2004,Number,Total,Una-Sana Canton,Deaths,2160
2004,Number,Total,Posavina Canton,Deaths,403
2004,Number,Total,Tuzla Canton,Deaths,3374
2004,Number,Total,Zenica-Doboj Canton,Deaths,3068
2004,Number,Total,Bosnian-Podrinje Canton,Deaths,259
2004,Number,Total,Central Bosnia Canton,Deaths,2141
2004,Number,Total,Herzegovina-Neretva Canton,Deaths,1740
2004,Number,Total,West Herzegovina Canton,Deaths,703
2004,Number,Total,Sarajevo Canton,Deaths,3563
2004,Number,Total,Canton 10,Deaths,711
2004,Number,M,Federation of Bosnia and Herzegovina,Deaths,9258
2004,Number,M,Una-Sana Canton,Deaths,1077
2004,Number,M,Posavina Canton,Deaths,207
2004,Number,M,Tuzla Canton,Deaths,1790
2004,Number,M,Zenica-Doboj Canton,Deaths,1575
2004,Number,M,Bosnian-Podrinje Canton,Deaths,127
2004,Number,M,Central Bosnia Canton,Deaths,1080
2004,Number,M,Herzegovina-Neretva Canton,Deaths,873
2004,Number,M,West Herzegovina Canton,Deaths,336
2004,Number,M,Sarajevo Canton,Deaths,1827
2004,Number,M,Canton 10,Deaths,366
2004,Number,F,Federation of Bosnia and Herzegovina,Deaths,8864
2004,Number,F,Una-Sana Canton,Deaths,1083
2004,Number,F,Posavina Canton,Deaths,196
2004,Number,F,Tuzla Canton,Deaths,1584
2004,Number,F,Zenica-Doboj Canton,Deaths,1493
2004,Number,F,Bosnian-Podrinje Canton,Deaths,132
2004,Number,F,Central Bosnia Canton,Deaths,1061
2004,Number,F,Herzegovina-Neretva Canton,Deaths,867
2004,Number,F,West Herzegovina Canton,Deaths,367
2004,Number,F,Sarajevo Canton,Deaths,1736
2004,Number,F,Canton 10,Deaths,345
2005,Number,Total,Federation of Bosnia and Herzegovina,Deaths,19099
2005,Number,Total,Una-Sana Canton,Deaths,2222
2005,Number,Total,Posavina Canton,Deaths,462
2005,Number,Total,Tuzla Canton,Deaths,3519
2005,Number,Total,Zenica-Doboj Canton,Deaths,3204
2005,Number,Total,Bosnian-Podrinje Canton,Deaths,240
2005,Number,Total,Central Bosnia Canton,Deaths,2197
2005,Number,Total,Herzegovina-Neretva Canton,Deaths,2030
2005,Number,Total,West Herzegovina Canton,Deaths,732
2005,Number,Total,Sarajevo Canton,Deaths,3751
2005,Number,Total,Canton 10,Deaths,742
2005,Number,M,Federation of Bosnia and Herzegovina,Deaths,9934
2005,Number,M,Una-Sana Canton,Deaths,1123
2005,Number,M,Posavina Canton,Deaths,268
2005,Number,M,Tuzla Canton,Deaths,1886
2005,Number,M,Zenica-Doboj Canton,Deaths,1673
2005,Number,M,Bosnian-Podrinje Canton,Deaths,127
2005,Number,M,Central Bosnia Canton,Deaths,1130
2005,Number,M,Herzegovina-Neretva Canton,Deaths,1110
2005,Number,M,West Herzegovina Canton,Deaths,342
2005,Number,M,Sarajevo Canton,Deaths,1912
2005,Number,M,Canton 10,Deaths,363
2005,Number,F,Federation of Bosnia and Herzegovina,Deaths,9165
2005,Number,F,Una-Sana Canton,Deaths,1099
2005,Number,F,Posavina Canton,Deaths,194
2005,Number,F,Tuzla Canton,Deaths,1633
2005,Number,F,Zenica-Doboj Canton,Deaths,1531
2005,Number,F,Bosnian-Podrinje Canton,Deaths,113
2005,Number,F,Central Bosnia Canton,Deaths,1067
2005,Number,F,Herzegovina-Neretva Canton,Deaths,920
2005,Number,F,West Herzegovina Canton,Deaths,390
2005,Number,F,Sarajevo Canton,Deaths,1839
2005,Number,F,Canton 10,Deaths,379
2006,Number,Total,Federation of Bosnia and Herzegovina,Deaths,18497
2006,Number,Total,Una-Sana Canton,Deaths,2099
2006,Number,Total,Posavina Canton,Deaths,410
2006,Number,Total,Tuzla Canton,Deaths,3341
2006,Number,Total,Zenica-Doboj Canton,Deaths,3173
2006,Number,Total,Bosnian-Podrinje Canton,Deaths,274
2006,Number,Total,Central Bosnia Canton,Deaths,2140
2006,Number,Total,Herzegovina-Neretva Canton,Deaths,1889
2006,Number,Total,West Herzegovina Canton,Deaths,698
2006,Number,Total,Sarajevo Canton,Deaths,3705
2006,Number,Total,Canton 10,Deaths,768
2006,Number,M,Federation of Bosnia and Herzegovina,Deaths,9538
2006,Number,M,Una-Sana Canton,Deaths,1050
2006,Number,M,Posavina Canton,Deaths,214
2006,Number,M,Tuzla Canton,Deaths,1823
2006,Number,M,Zenica-Doboj Canton,Deaths,1649
2006,Number,M,Bosnian-Podrinje Canton,Deaths,131
2006,Number,M,Central Bosnia Canton,Deaths,1133
2006,Number,M,Herzegovina-Neretva Canton,Deaths,964
2006,Number,M,West Herzegovina Canton,Deaths,321
2006,Number,M,Sarajevo Canton,Deaths,1873
2006,Number,M,Canton 10,Deaths,380
2006,Number,F,Federation of Bosnia and Herzegovina,Deaths,8959
2006,Number,F,Una-Sana Canton,Deaths,1049
2006,Number,F,Posavina Canton,Deaths,196
2006,Number,F,Tuzla Canton,Deaths,1518
2006,Number,F,Zenica-Doboj Canton,Deaths,1524
2006,Number,F,Bosnian-Podrinje Canton,Deaths,143
2006,Number,F,Central Bosnia Canton,Deaths,1007
2006,Number,F,Herzegovina-Neretva Canton,Deaths,925
2006,Number,F,West Herzegovina Canton,Deaths,377
2006,Number,F,Sarajevo Canton,Deaths,1832
2006,Number,F,Canton 10,Deaths,388
2007,Number,Total,Federation of Bosnia and Herzegovina,Deaths,19280
2007,Number,Total,Una-Sana Canton,Deaths,2156
2007,Number,Total,Posavina Canton,Deaths,496
2007,Number,Total,Tuzla Canton,Deaths,3584
2007,Number,Total,Zenica-Doboj Canton,Deaths,3289
2007,Number,Total,Bosnian-Podrinje Canton,Deaths,285
2007,Number,Total,Central Bosnia Canton,Deaths,2166
2007,Number,Total,Herzegovina-Neretva Canton,Deaths,2036
2007,Number,Total,West Herzegovina Canton,Deaths,706
2007,Number,Total,Sarajevo Canton,Deaths,3825
2007,Number,Total,Canton 10,Deaths,737
2007,Number,M,Federation of Bosnia and Herzegovina,Deaths,9921
2007,Number,M,Una-Sana Canton,Deaths,1112
2007,Number,M,Posavina Canton,Deaths,246
2007,Number,M,Tuzla Canton,Deaths,1849
2007,Number,M,Zenica-Doboj Canton,Deaths,1767
2007,Number,M,Bosnian-Podrinje Canton,Deaths,154
2007,Number,M,Central Bosnia Canton,Deaths,1112
2007,Number,M,Herzegovina-Neretva Canton,Deaths,1058
2007,Number,M,West Herzegovina Canton,Deaths,336
2007,Number,M,Sarajevo Canton,Deaths,1922
2007,Number,M,Canton 10,Deaths,365
2007,Number,F,Federation of Bosnia and Herzegovina,Deaths,9359
2007,Number,F,Una-Sana Canton,Deaths,1044
2007,Number,F,Posavina Canton,Deaths,250
2007,Number,F,Tuzla Canton,Deaths,1735
2007,Number,F,Zenica-Doboj Canton,Deaths,1522
2007,Number,F,Bosnian-Podrinje Canton,Deaths,131
2007,Number,F,Central Bosnia Canton,Deaths,1054
2007,Number,F,Herzegovina-Neretva Canton,Deaths,978
2007,Number,F,West Herzegovina Canton,Deaths,370
2007,Number,F,Sarajevo Canton,Deaths,1903
2007,Number,F,Canton 10,Deaths,372
2008,Number,Total,Federation of Bosnia and Herzegovina,Deaths,19306
2008,Number,Total,Una-Sana Canton,Deaths,2105
2008,Number,Total,Posavina Canton,Deaths,447
2008,Number,Total,Tuzla Canton,Deaths,3693
2008,Number,Total,Zenica-Doboj Canton,Deaths,3194
2008,Number,Total,Bosnian-Podrinje Canton,Deaths,248
2008,Number,Total,Central Bosnia Canton,Deaths,2199
2008,Number,Total,Herzegovina-Neretva Canton,Deaths,2100
2008,Number,Total,West Herzegovina Canton,Deaths,733
2008,Number,Total,Sarajevo Canton,Deaths,3839
2008,Number,Total,Canton 10,Deaths,748
2008,Number,M,Federation of Bosnia and Herzegovina,Deaths,9982
2008,Number,M,Una-Sana Canton,Deaths,1079
2008,Number,M,Posavina Canton,Deaths,248
2008,Number,M,Tuzla Canton,Deaths,1887
2008,Number,M,Zenica-Doboj Canton,Deaths,1673
2008,Number,M,Bosnian-Podrinje Canton,Deaths,128
2008,Number,M,Central Bosnia Canton,Deaths,1140
2008,Number,M,Herzegovina-Neretva Canton,Deaths,1097
2008,Number,M,West Herzegovina Canton,Deaths,386
2008,Number,M,Sarajevo Canton,Deaths,1964
2008,Number,M,Canton 10,Deaths,380
2008,Number,F,Federation of Bosnia and Herzegovina,Deaths,9324
2008,Number,F,Una-Sana Canton,Deaths,1026
2008,Number,F,Posavina Canton,Deaths,199
2008,Number,F,Tuzla Canton,Deaths,1806
2008,Number,F,Zenica-Doboj Canton,Deaths,1521
2008,Number,F,Bosnian-Podrinje Canton,Deaths,120
2008,Number,F,Central Bosnia Canton,Deaths,1059
2008,Number,F,Herzegovina-Neretva Canton,Deaths,1003
2008,Number,F,West Herzegovina Canton,Deaths,347
2008,Number,F,Sarajevo Canton,Deaths,1875
2008,Number,F,Canton 10,Deaths,368
2009,Number,Total,Federation of Bosnia and Herzegovina,Deaths,19829
2009,Number,Total,Una-Sana Canton,Deaths,2157
2009,Number,Total,Posavina Canton,Deaths,491
2009,Number,Total,Tuzla Canton,Deaths,3885
2009,Number,Total,Zenica-Doboj Canton,Deaths,3189
2009,Number,Total,Bosnian-Podrinje Canton,Deaths,290
2009,Number,Total,Central Bosnia Canton,Deaths,2162
2009,Number,Total,Herzegovina-Neretva Canton,Deaths,2111
2009,Number,Total,West Herzegovina Canton,Deaths,772
2009,Number,Total,Sarajevo Canton,Deaths,4013
2009,Number,Total,Canton 10,Deaths,759
2009,Number,M,Federation of Bosnia and Herzegovina,Deaths,10077
2009,Number,M,Una-Sana Canton,Deaths,1042
2009,Number,M,Posavina Canton,Deaths,241
2009,Number,M,Tuzla Canton,Deaths,2012
2009,Number,M,Zenica-Doboj Canton,Deaths,1673
2009,Number,M,Bosnian-Podrinje Canton,Deaths,152
2009,Number,M,Central Bosnia Canton,Deaths,1142
2009,Number,M,Herzegovina-Neretva Canton,Deaths,1119
2009,Number,M,West Herzegovina Canton,Deaths,357
2009,Number,M,Sarajevo Canton,Deaths,1964
2009,Number,M,Canton 10,Deaths,375
2009,Number,F,Federation of Bosnia and Herzegovina,Deaths,9752
2009,Number,F,Una-Sana Canton,Deaths,1115
2009,Number,F,Posavina Canton,Deaths,250
2009,Number,F,Tuzla Canton,Deaths,1873
2009,Number,F,Zenica-Doboj Canton,Deaths,1516
2009,Number,F,Bosnian-Podrinje Canton,Deaths,138
2009,Number,F,Central Bosnia Canton,Deaths,1020
2009,Number,F,Herzegovina-Neretva Canton,Deaths,992
2009,Number,F,West Herzegovina Canton,Deaths,415
2009,Number,F,Sarajevo Canton,Deaths,2049
2009,Number,F,Canton 10,Deaths,384
2010,Number,Total,Federation of Bosnia and Herzegovina,Deaths,20256
2010,Number,Total,Una-Sana Canton,Deaths,2129
2010,Number,Total,Posavina Canton,Deaths,482
2010,Number,Total,Tuzla Canton,Deaths,3930
2010,Number,Total,Zenica-Doboj Canton,Deaths,3334
2010,Number,Total,Bosnian-Podrinje Canton,Deaths,265
2010,Number,Total,Central Bosnia Canton,Deaths,2273
2010,Number,Total,Herzegovina-Neretva Canton,Deaths,2190
2010,Number,Total,West Herzegovina Canton,Deaths,770
2010,Number,Total,Sarajevo Canton,Deaths,4137
2010,Number,Total,Canton 10,Deaths,746
2010,Number,M,Federation of Bosnia and Herzegovina,Deaths,10220
2010,Number,M,Una-Sana Canton,Deaths,1043
2010,Number,M,Posavina Canton,Deaths,245
2010,Number,M,Tuzla Canton,Deaths,2012
2010,Number,M,Zenica-Doboj Canton,Deaths,1692
2010,Number,M,Bosnian-Podrinje Canton,Deaths,134
2010,Number,M,Central Bosnia Canton,Deaths,1150
2010,Number,M,Herzegovina-Neretva Canton,Deaths,1135
2010,Number,M,West Herzegovina Canton,Deaths,367
2010,Number,M,Sarajevo Canton,Deaths,2073
2010,Number,M,Canton 10,Deaths,369
2010,Number,F,Federation of Bosnia and Herzegovina,Deaths,10036
2010,Number,F,Una-Sana Canton,Deaths,1086
2010,Number,F,Posavina Canton,Deaths,237
2010,Number,F,Tuzla Canton,Deaths,1918
2010,Number,F,Zenica-Doboj Canton,Deaths,1642
2010,Number,F,Bosnian-Podrinje Canton,Deaths,131
2010,Number,F,Central Bosnia Canton,Deaths,1123
2010,Number,F,Herzegovina-Neretva Canton,Deaths,1055
2010,Number,F,West Herzegovina Canton,Deaths,403
2010,Number,F,Sarajevo Canton,Deaths,2064
2010,Number,F,Canton 10,Deaths,377
2011,Number,Total,Federation of Bosnia and Herzegovina,Deaths,19979
2011,Number,Total,Una-Sana Canton,Deaths,2140
2011,Number,Total,Posavina Canton,Deaths,479
2011,Number,Total,Tuzla Canton,Deaths,3813
2011,Number,Total,Zenica-Doboj Canton,Deaths,3280
2011,Number,Total,Bosnian-Podrinje Canton,Deaths,269
2011,Number,Total,Central Bosnia Canton,Deaths,2232
2011,Number,Total,Herzegovina-Neretva Canton,Deaths,2075
2011,Number,Total,West Herzegovina Canton,Deaths,765
2011,Number,Total,Sarajevo Canton,Deaths,4119
2011,Number,Total,Canton 10,Deaths,807
2011,Number,M,Federation of Bosnia and Herzegovina,Deaths,10234
2011,Number,M,Una-Sana Canton,Deaths,1066
2011,Number,M,Posavina Canton,Deaths,243
2011,Number,M,Tuzla Canton,Deaths,2013
2011,Number,M,Zenica-Doboj Canton,Deaths,1713
2011,Number,M,Bosnian-Podrinje Canton,Deaths,134
2011,Number,M,Central Bosnia Canton,Deaths,1162
2011,Number,M,Herzegovina-Neretva Canton,Deaths,1060
2011,Number,M,West Herzegovina Canton,Deaths,351
2011,Number,M,Sarajevo Canton,Deaths,2086
2011,Number,M,Canton 10,Deaths,406
2011,Number,F,Federation of Bosnia and Herzegovina,Deaths,9745
2011,Number,F,Una-Sana Canton,Deaths,1074
2011,Number,F,Posavina Canton,Deaths,236
2011,Number,F,Tuzla Canton,Deaths,1800
2011,Number,F,Zenica-Doboj Canton,Deaths,1567
2011,Number,F,Bosnian-Podrinje Canton,Deaths,135
2011,Number,F,Central Bosnia Canton,Deaths,1070
2011,Number,F,Herzegovina-Neretva Canton,Deaths,1015
2011,Number,F,West Herzegovina Canton,Deaths,414
2011,Number,F,Sarajevo Canton,Deaths,2033
2011,Number,F,Canton 10,Deaths,401
2012,Number,Total,Federation of Bosnia and Herzegovina,Deaths,20621
2012,Number,Total,Una-Sana Canton,Deaths,2209
2012,Number,Total,Posavina Canton,Deaths,477
2012,Number,Total,Tuzla Canton,Deaths,3906
2012,Number,Total,Zenica-Doboj Canton,Deaths,3373
2012,Number,Total,Bosnian-Podrinje Canton,Deaths,262
2012,Number,Total,Central Bosnia Canton,Deaths,2296
2012,Number,Total,Herzegovina-Neretva Canton,Deaths,2189
2012,Number,Total,West Herzegovina Canton,Deaths,845
2012,Number,Total,Sarajevo Canton,Deaths,4267
2012,Number,Total,Canton 10,Deaths,797
2012,Number,M,Federation of Bosnia and Herzegovina,Deaths,10599
2012,Number,M,Una-Sana Canton,Deaths,1104
2012,Number,M,Posavina Canton,Deaths,240
2012,Number,M,Tuzla Canton,Deaths,2068
2012,Number,M,Zenica-Doboj Canton,Deaths,1738
2012,Number,M,Bosnian-Podrinje Canton,Deaths,127
2012,Number,M,Central Bosnia Canton,Deaths,1273
2012,Number,M,Herzegovina-Neretva Canton,Deaths,1126
2012,Number,M,West Herzegovina Canton,Deaths,424
2012,Number,M,Sarajevo Canton,Deaths,2101
2012,Number,M,Canton 10,Deaths,398
2012,Number,F,Federation of Bosnia and Herzegovina,Deaths,10022
2012,Number,F,Una-Sana Canton,Deaths,1105
2012,Number,F,Posavina Canton,Deaths,237
2012,Number,F,Tuzla Canton,Deaths,1838
2012,Number,F,Zenica-Doboj Canton,Deaths,1635
2012,Number,F,Bosnian-Podrinje Canton,Deaths,135
2012,Number,F,Central Bosnia Canton,Deaths,1023
2012,Number,F,Herzegovina-Neretva Canton,Deaths,1063
2012,Number,F,West Herzegovina Canton,Deaths,421
2012,Number,F,Sarajevo Canton,Deaths,2166
2012,Number,F,Canton 10,Deaths,399
2013,Number,Total,Federation of Bosnia and Herzegovina,Deaths,20269
2013,Number,Total,Una-Sana Canton,Deaths,2265
2013,Number,Total,Posavina Canton,Deaths,469
2013,Number,Total,Tuzla Canton,Deaths,3761
2013,Number,Total,Zenica-Doboj Canton,Deaths,3348
2013,Number,Total,Bosnian-Podrinje Canton,Deaths,282
2013,Number,Total,Central Bosnia Canton,Deaths,2213
2013,Number,Total,Herzegovina-Neretva Canton,Deaths,2166
2013,Number,Total,West Herzegovina Canton,Deaths,883
2013,Number,Total,Sarajevo Canton,Deaths,4031
2013,Number,Total,Canton 10,Deaths,851
2013,Number,M,Federation of Bosnia and Herzegovina,Deaths,10250
2013,Number,M,Una-Sana Canton,Deaths,1143
2013,Number,M,Posavina Canton,Deaths,254
2013,Number,M,Tuzla Canton,Deaths,1920
2013,Number,M,Zenica-Doboj Canton,Deaths,1758
2013,Number,M,Bosnian-Podrinje Canton,Deaths,124
2013,Number,M,Central Bosnia Canton,Deaths,1134
2013,Number,M,Herzegovina-Neretva Canton,Deaths,1075
2013,Number,M,West Herzegovina Canton,Deaths,459
2013,Number,M,Sarajevo Canton,Deaths,1976
2013,Number,M,Canton 10,Deaths,407
2013,Number,F,Federation of Bosnia and Herzegovina,Deaths,10019
2013,Number,F,Una-Sana Canton,Deaths,1122
2013,Number,F,Posavina Canton,Deaths,215
2013,Number,F,Tuzla Canton,Deaths,1841
2013,Number,F,Zenica-Doboj Canton,Deaths,1590
2013,Number,F,Bosnian-Podrinje Canton,Deaths,158
2013,Number,F,Central Bosnia Canton,Deaths,1079
2013,Number,F,Herzegovina-Neretva Canton,Deaths,1091
2013,Number,F,West Herzegovina Canton,Deaths,424
2013,Number,F,Sarajevo Canton,Deaths,2055
2013,Number,F,Canton 10,Deaths,444
2014,Number,Total,Federation of Bosnia and Herzegovina,Deaths,20030
2014,Number,Total,Una-Sana Canton,Deaths,2103
2014,Number,Total,Posavina Canton,Deaths,505
2014,Number,Total,Tuzla Canton,Deaths,3503
2014,Number,Total,Zenica-Doboj Canton,Deaths,3356
2014,Number,Total,Bosnian-Podrinje Canton,Deaths,322
2014,Number,Total,Central Bosnia Canton,Deaths,2198
2014,Number,Total,Herzegovina-Neretva Canton,Deaths,2164
2014,Number,Total,West Herzegovina Canton,Deaths,863
2014,Number,Total,Sarajevo Canton,Deaths,4215
2014,Number,Total,Canton 10,Deaths,801
2014,Number,M,Federation of Bosnia and Herzegovina,Deaths,10184
2014,Number,M,Una-Sana Canton,Deaths,1040
2014,Number,M,Posavina Canton,Deaths,245
2014,Number,M,Tuzla Canton,Deaths,1834
2014,Number,M,Zenica-Doboj Canton,Deaths,1727
2014,Number,M,Bosnian-Podrinje Canton,Deaths,164
2014,Number,M,Central Bosnia Canton,Deaths,1138
2014,Number,M,Herzegovina-Neretva Canton,Deaths,1108
2014,Number,M,West Herzegovina Canton,Deaths,404
2014,Number,M,Sarajevo Canton,Deaths,2110
2014,Number,M,Canton 10,Deaths,414
2014,Number,F,Federation of Bosnia and Herzegovina,Deaths,9846
2014,Number,F,Una-Sana Canton,Deaths,1063
2014,Number,F,Posavina Canton,Deaths,260
2014,Number,F,Tuzla Canton,Deaths,1669
2014,Number,F,Zenica-Doboj Canton,Deaths,1629
2014,Number,F,Bosnian-Podrinje Canton,Deaths,158
2014,Number,F,Central Bosnia Canton,Deaths,1060
2014,Number,F,Herzegovina-Neretva Canton,Deaths,1056
2014,Number,F,West Herzegovina Canton,Deaths,459
2014,Number,F,Sarajevo Canton,Deaths,2105
2014,Number,F,Canton 10,Deaths,387
2015,Number,Total,Federation of Bosnia and Herzegovina,Deaths,21474
2015,Number,Total,Una-Sana Canton,Deaths,2197
2015,Number,Total,Posavina Canton,Deaths,465
2015,Number,Total,Tuzla Canton,Deaths,4093
2015,Number,Total,Zenica-Doboj Canton,Deaths,3525
2015,Number,Total,Bosnian-Podrinje Canton,Deaths,313
2015,Number,Total,Central Bosnia Canton,Deaths,2280
2015,Number,Total,Herzegovina-Neretva Canton,Deaths,2368
2015,Number,Total,West Herzegovina Canton,Deaths,895
2015,Number,Total,Sarajevo Canton,Deaths,4469
2015,Number,Total,Canton 10,Deaths,869
2015,Number,M,Federation of Bosnia and Herzegovina,Deaths,10722
2015,Number,M,Una-Sana Canton,Deaths,1075
2015,Number,M,Posavina Canton,Deaths,230
2015,Number,M,Tuzla Canton,Deaths,2044
2015,Number,M,Zenica-Doboj Canton,Deaths,1815
2015,Number,M,Bosnian-Podrinje Canton,Deaths,150
2015,Number,M,Central Bosnia Canton,Deaths,1173
2015,Number,M,Herzegovina-Neretva Canton,Deaths,1194
2015,Number,M,West Herzegovina Canton,Deaths,448
2015,Number,M,Sarajevo Canton,Deaths,2197
2015,Number,M,Canton 10,Deaths,396
2015,Number,F,Federation of Bosnia and Herzegovina,Deaths,10752
2015,Number,F,Una-Sana Canton,Deaths,1122
2015,Number,F,Posavina Canton,Deaths,235
2015,Number,F,Tuzla Canton,Deaths,2049
2015,Number,F,Zenica-Doboj Canton,Deaths,1710
2015,Number,F,Bosnian-Podrinje Canton,Deaths,163
2015,Number,F,Central Bosnia Canton,Deaths,1107
2015,Number,F,Herzegovina-Neretva Canton,Deaths,1174
2015,Number,F,West Herzegovina Canton,Deaths,447
2015,Number,F,Sarajevo Canton,Deaths,2272
2015,Number,F,Canton 10,Deaths,473
2016,Number,Total,Federation of Bosnia and Herzegovina,Deaths,21105
2016,Number,Total,Una-Sana Canton,Deaths,2190
2016,Number,Total,Posavina Canton,Deaths,502
2016,Number,Total,Tuzla Canton,Deaths,4053
2016,Number,Total,Zenica-Doboj Canton,Deaths,3444
2016,Number,Total,Bosnian-Podrinje Canton,Deaths,318
2016,Number,Total,Central Bosnia Canton,Deaths,2342
2016,Number,Total,Herzegovina-Neretva Canton,Deaths,2222
2016,Number,Total,West Herzegovina Canton,Deaths,887
2016,Number,Total,Sarajevo Canton,Deaths,4295
2016,Number,Total,Canton 10,Deaths,852
2016,Number,M,Federation of Bosnia and Herzegovina,Deaths,10538
