Year,UNIT_MEASURE,Administrative Area,Type of school,Sex,Value
2017,Number,Zenica-Doboj Canton,Gymnasium,M,
2017,Number,Zenica-Doboj Canton,Technical high schools,M,
2017,Number,Zenica-Doboj Canton,Vocational high schools,M,
2017,Number,Zenica-Doboj Canton,Art schools,M,
2017,Number,Zenica-Doboj Canton,Religious schools,M,
2017,Number,Zenica-Doboj Canton,High schools for students with disabilities,M,
2018,Number,Zenica-Doboj Canton,Gymnasium,M,
2018,Number,Zenica-Doboj Canton,Technical high schools,M,
2018,Number,Zenica-Doboj Canton,Vocational high schools,M,
2018,Number,Zenica-Doboj Canton,Art schools,M,
2018,Number,Zenica-Doboj Canton,Religious schools,M,
2018,Number,Zenica-Doboj Canton,High schools for students with disabilities,M,
2019,Number,Zenica-Doboj Canton,Gymnasium,M,
2019,Number,Zenica-Doboj Canton,Technical high schools,M,
2019,Number,Zenica-Doboj Canton,Vocational high schools,M,
2019,Number,Zenica-Doboj Canton,Art schools,M,
2019,Number,Zenica-Doboj Canton,Religious schools,M,
2019,Number,Zenica-Doboj Canton,High schools for students with disabilities,M,
2020,Number,Zenica-Doboj Canton,Gymnasium,M,
2020,Number,Zenica-Doboj Canton,Technical high schools,M,
2020,Number,Zenica-Doboj Canton,Vocational high schools,M,
2020,Number,Zenica-Doboj Canton,Art schools,M,
2020,Number,Zenica-Doboj Canton,Religious schools,M,
2020,Number,Zenica-Doboj Canton,High schools for students with disabilities,M,
2016,Number,Bosnian-Podrinje Canton,Gymnasium,M,
2016,Number,Bosnian-Podrinje Canton,Technical high schools,M,
2016,Number,Bosnian-Podrinje Canton,Vocational high schools,M,
2016,Number,Bosnian-Podrinje Canton,Art schools,M,
2016,Number,Bosnian-Podrinje Canton,Religious schools,M,
2016,Number,Bosnian-Podrinje Canton,High schools for students with disabilities,M,
2017,Number,Bosnian-Podrinje Canton,Gymnasium,M,
2017,Number,Bosnian-Podrinje Canton,Technical high schools,M,
2017,Number,Bosnian-Podrinje Canton,Vocational high schools,M,
2017,Number,Bosnian-Podrinje Canton,Art schools,M,
2017,Number,Bosnian-Podrinje Canton,Religious schools,M,
2017,Number,Bosnian-Podrinje Canton,High schools for students with disabilities,M,
2018,Number,Bosnian-Podrinje Canton,Gymnasium,M,
2018,Number,Bosnian-Podrinje Canton,Technical high schools,M,
2018,Number,Bosnian-Podrinje Canton,Vocational high schools,M,
2018,Number,Bosnian-Podrinje Canton,Art schools,M,
2018,Number,Bosnian-Podrinje Canton,Religious schools,M,
2018,Number,Bosnian-Podrinje Canton,High schools for students with disabilities,M,
2019,Number,Bosnian-Podrinje Canton,Gymnasium,M,
2019,Number,Bosnian-Podrinje Canton,Technical high schools,M,
2019,Number,Bosnian-Podrinje Canton,Vocational high schools,M,
2019,Number,Bosnian-Podrinje Canton,Art schools,M,
2019,Number,Bosnian-Podrinje Canton,Religious schools,M,
2019,Number,Bosnian-Podrinje Canton,High schools for students with disabilities,M,
2020,Number,Bosnian-Podrinje Canton,Gymnasium,M,
2020,Number,Bosnian-Podrinje Canton,Technical high schools,M,
2020,Number,Bosnian-Podrinje Canton,Vocational high schools,M,
2020,Number,Bosnian-Podrinje Canton,Art schools,M,
2020,Number,Bosnian-Podrinje Canton,Religious schools,M,
2020,Number,Bosnian-Podrinje Canton,High schools for students with disabilities,M,
2016,Number,Central Bosnia Canton,Gymnasium,M,
2016,Number,Central Bosnia Canton,Technical high schools,M,
2016,Number,Central Bosnia Canton,Vocational high schools,M,
2016,Number,Central Bosnia Canton,Art schools,M,
2016,Number,Central Bosnia Canton,Religious schools,M,
2016,Number,Central Bosnia Canton,High schools for students with disabilities,M,
2017,Number,Central Bosnia Canton,Gymnasium,M,
2017,Number,Central Bosnia Canton,Technical high schools,M,
2017,Number,Central Bosnia Canton,Vocational high schools,M,
2017,Number,Central Bosnia Canton,Art schools,M,
2017,Number,Central Bosnia Canton,Religious schools,M,
2017,Number,Central Bosnia Canton,High schools for students with disabilities,M,
2018,Number,Central Bosnia Canton,Gymnasium,M,
2018,Number,Central Bosnia Canton,Technical high schools,M,
2018,Number,Central Bosnia Canton,Vocational high schools,M,
2018,Number,Central Bosnia Canton,Art schools,M,
2018,Number,Central Bosnia Canton,Religious schools,M,
2018,Number,Central Bosnia Canton,High schools for students with disabilities,M,
2019,Number,Central Bosnia Canton,Gymnasium,M,
2019,Number,Central Bosnia Canton,Technical high schools,M,
2019,Number,Central Bosnia Canton,Vocational high schools,M,
2019,Number,Central Bosnia Canton,Art schools,M,
2019,Number,Central Bosnia Canton,Religious schools,M,
2019,Number,Central Bosnia Canton,High schools for students with disabilities,M,
2020,Number,Central Bosnia Canton,Gymnasium,M,
2020,Number,Central Bosnia Canton,Technical high schools,M,
2020,Number,Central Bosnia Canton,Vocational high schools,M,
2020,Number,Central Bosnia Canton,Art schools,M,
2020,Number,Central Bosnia Canton,Religious schools,M,
2020,Number,Central Bosnia Canton,High schools for students with disabilities,M,
2016,Number,Herzegovina-Neretva Canton,Gymnasium,M,
2016,Number,Herzegovina-Neretva Canton,Technical high schools,M,
2016,Number,Herzegovina-Neretva Canton,Vocational high schools,M,
2016,Number,Herzegovina-Neretva Canton,Art schools,M,
2016,Number,Herzegovina-Neretva Canton,Religious schools,M,
2016,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,M,
2017,Number,Herzegovina-Neretva Canton,Gymnasium,M,
2017,Number,Herzegovina-Neretva Canton,Technical high schools,M,
2017,Number,Herzegovina-Neretva Canton,Vocational high schools,M,
2017,Number,Herzegovina-Neretva Canton,Art schools,M,
2017,Number,Herzegovina-Neretva Canton,Religious schools,M,
2017,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,M,
2018,Number,Herzegovina-Neretva Canton,Gymnasium,M,
2018,Number,Herzegovina-Neretva Canton,Technical high schools,M,
2018,Number,Herzegovina-Neretva Canton,Vocational high schools,M,
2018,Number,Herzegovina-Neretva Canton,Art schools,M,
2018,Number,Herzegovina-Neretva Canton,Religious schools,M,
2018,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,M,
2019,Number,Herzegovina-Neretva Canton,Gymnasium,M,
2019,Number,Herzegovina-Neretva Canton,Technical high schools,M,
2019,Number,Herzegovina-Neretva Canton,Vocational high schools,M,
2019,Number,Herzegovina-Neretva Canton,Art schools,M,
2019,Number,Herzegovina-Neretva Canton,Religious schools,M,
2019,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,M,
2020,Number,Herzegovina-Neretva Canton,Gymnasium,M,
2020,Number,Herzegovina-Neretva Canton,Technical high schools,M,
2020,Number,Herzegovina-Neretva Canton,Vocational high schools,M,
2020,Number,Herzegovina-Neretva Canton,Art schools,M,
2020,Number,Herzegovina-Neretva Canton,Religious schools,M,
2020,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,M,
2016,Number,West Herzegovina Canton,Gymnasium,M,
2016,Number,West Herzegovina Canton,Technical high schools,M,
2016,Number,West Herzegovina Canton,Vocational high schools,M,
2016,Number,West Herzegovina Canton,Art schools,M,
2016,Number,West Herzegovina Canton,Religious schools,M,
2016,Number,West Herzegovina Canton,High schools for students with disabilities,M,
2017,Number,West Herzegovina Canton,Gymnasium,M,
2017,Number,West Herzegovina Canton,Technical high schools,M,
2017,Number,West Herzegovina Canton,Vocational high schools,M,
2017,Number,West Herzegovina Canton,Art schools,M,
2017,Number,West Herzegovina Canton,Religious schools,M,
2017,Number,West Herzegovina Canton,High schools for students with disabilities,M,
2018,Number,West Herzegovina Canton,Gymnasium,M,
2018,Number,West Herzegovina Canton,Technical high schools,M,
2018,Number,West Herzegovina Canton,Vocational high schools,M,
2018,Number,West Herzegovina Canton,Art schools,M,
2018,Number,West Herzegovina Canton,Religious schools,M,
2018,Number,West Herzegovina Canton,High schools for students with disabilities,M,
2019,Number,West Herzegovina Canton,Gymnasium,M,
2019,Number,West Herzegovina Canton,Technical high schools,M,
2019,Number,West Herzegovina Canton,Vocational high schools,M,
2019,Number,West Herzegovina Canton,Art schools,M,
2019,Number,West Herzegovina Canton,Religious schools,M,
2019,Number,West Herzegovina Canton,High schools for students with disabilities,M,
2020,Number,West Herzegovina Canton,Gymnasium,M,
2020,Number,West Herzegovina Canton,Technical high schools,M,
2020,Number,West Herzegovina Canton,Vocational high schools,M,
2020,Number,West Herzegovina Canton,Art schools,M,
2020,Number,West Herzegovina Canton,Religious schools,M,
2020,Number,West Herzegovina Canton,High schools for students with disabilities,M,
2016,Number,Sarajevo Canton,Gymnasium,M,
2016,Number,Sarajevo Canton,Technical high schools,M,
2016,Number,Sarajevo Canton,Vocational high schools,M,
2016,Number,Sarajevo Canton,Art schools,M,
2016,Number,Sarajevo Canton,Religious schools,M,
2016,Number,Sarajevo Canton,High schools for students with disabilities,M,
2017,Number,Sarajevo Canton,Gymnasium,M,
2017,Number,Sarajevo Canton,Technical high schools,M,
2017,Number,Sarajevo Canton,Vocational high schools,M,
2017,Number,Sarajevo Canton,Art schools,M,
2017,Number,Sarajevo Canton,Religious schools,M,
2017,Number,Sarajevo Canton,High schools for students with disabilities,M,
2018,Number,Sarajevo Canton,Gymnasium,M,
2018,Number,Sarajevo Canton,Technical high schools,M,
2018,Number,Sarajevo Canton,Vocational high schools,M,
2018,Number,Sarajevo Canton,Art schools,M,
2018,Number,Sarajevo Canton,Religious schools,M,
2018,Number,Sarajevo Canton,High schools for students with disabilities,M,
2019,Number,Sarajevo Canton,Gymnasium,M,
2019,Number,Sarajevo Canton,Technical high schools,M,
2019,Number,Sarajevo Canton,Vocational high schools,M,
2019,Number,Sarajevo Canton,Art schools,M,
2019,Number,Sarajevo Canton,Religious schools,M,
2019,Number,Sarajevo Canton,High schools for students with disabilities,M,
2020,Number,Sarajevo Canton,Gymnasium,M,
2020,Number,Sarajevo Canton,Technical high schools,M,
2020,Number,Sarajevo Canton,Vocational high schools,M,
2020,Number,Sarajevo Canton,Art schools,M,
2020,Number,Sarajevo Canton,Religious schools,M,
2020,Number,Sarajevo Canton,High schools for students with disabilities,M,
2016,Number,Canton 10,Gymnasium,M,
2016,Number,Canton 10,Technical high schools,M,
2016,Number,Canton 10,Vocational high schools,M,
2016,Number,Canton 10,Art schools,M,
2016,Number,Canton 10,Religious schools,M,
2016,Number,Canton 10,High schools for students with disabilities,M,
2017,Number,Canton 10,Gymnasium,M,
2017,Number,Canton 10,Technical high schools,M,
2017,Number,Canton 10,Vocational high schools,M,
2017,Number,Canton 10,Art schools,M,
2017,Number,Canton 10,Religious schools,M,
2017,Number,Canton 10,High schools for students with disabilities,M,
2018,Number,Canton 10,Gymnasium,M,
2018,Number,Canton 10,Technical high schools,M,
2018,Number,Canton 10,Vocational high schools,M,
2018,Number,Canton 10,Art schools,M,
2018,Number,Canton 10,Religious schools,M,
2018,Number,Canton 10,High schools for students with disabilities,M,
2019,Number,Canton 10,Gymnasium,M,
2019,Number,Canton 10,Technical high schools,M,
2019,Number,Canton 10,Vocational high schools,M,
2019,Number,Canton 10,Art schools,M,
2019,Number,Canton 10,Religious schools,M,
2019,Number,Canton 10,High schools for students with disabilities,M,
2020,Number,Canton 10,Gymnasium,M,
2020,Number,Canton 10,Technical high schools,M,
2020,Number,Canton 10,Vocational high schools,M,
2020,Number,Canton 10,Art schools,M,
2020,Number,Canton 10,Religious schools,M,
2020,Number,Canton 10,High schools for students with disabilities,M,
2016,Number,Federation of Bosnia and Herzegovina,Gymnasium,F,
2016,Number,Federation of Bosnia and Herzegovina,Technical high schools,F,
2016,Number,Federation of Bosnia and Herzegovina,Vocational high schools,F,
2016,Number,Federation of Bosnia and Herzegovina,Art schools,F,
2016,Number,Federation of Bosnia and Herzegovina,Religious schools,F,
2016,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,F,
2017,Number,Federation of Bosnia and Herzegovina,Gymnasium,F,
2017,Number,Federation of Bosnia and Herzegovina,Technical high schools,F,
2017,Number,Federation of Bosnia and Herzegovina,Vocational high schools,F,
2017,Number,Federation of Bosnia and Herzegovina,Art schools,F,
2017,Number,Federation of Bosnia and Herzegovina,Religious schools,F,
2017,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,F,
2018,Number,Federation of Bosnia and Herzegovina,Gymnasium,F,
2018,Number,Federation of Bosnia and Herzegovina,Technical high schools,F,
2018,Number,Federation of Bosnia and Herzegovina,Vocational high schools,F,
2018,Number,Federation of Bosnia and Herzegovina,Art schools,F,
2018,Number,Federation of Bosnia and Herzegovina,Religious schools,F,
2018,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,F,
2019,Number,Federation of Bosnia and Herzegovina,Gymnasium,F,
2019,Number,Federation of Bosnia and Herzegovina,Technical high schools,F,
2019,Number,Federation of Bosnia and Herzegovina,Vocational high schools,F,
2019,Number,Federation of Bosnia and Herzegovina,Art schools,F,
2019,Number,Federation of Bosnia and Herzegovina,Religious schools,F,
2019,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,F,
2020,Number,Federation of Bosnia and Herzegovina,Gymnasium,F,
2020,Number,Federation of Bosnia and Herzegovina,Technical high schools,F,
2020,Number,Federation of Bosnia and Herzegovina,Vocational high schools,F,
2020,Number,Federation of Bosnia and Herzegovina,Art schools,F,
2020,Number,Federation of Bosnia and Herzegovina,Religious schools,F,
2020,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,F,
2016,Number,Una-Sana Canton,Gymnasium,F,
2016,Number,Una-Sana Canton,Technical high schools,F,
2016,Number,Una-Sana Canton,Vocational high schools,F,
2016,Number,Una-Sana Canton,Art schools,F,
2016,Number,Una-Sana Canton,Religious schools,F,
2016,Number,Una-Sana Canton,High schools for students with disabilities,F,
2017,Number,Una-Sana Canton,Gymnasium,F,
2017,Number,Una-Sana Canton,Technical high schools,F,
2017,Number,Una-Sana Canton,Vocational high schools,F,
2017,Number,Una-Sana Canton,Art schools,F,
2017,Number,Una-Sana Canton,Religious schools,F,
2017,Number,Una-Sana Canton,High schools for students with disabilities,F,
2018,Number,Una-Sana Canton,Gymnasium,F,
2018,Number,Una-Sana Canton,Technical high schools,F,
2018,Number,Una-Sana Canton,Vocational high schools,F,
2018,Number,Una-Sana Canton,Art schools,F,
2018,Number,Una-Sana Canton,Religious schools,F,
2018,Number,Una-Sana Canton,High schools for students with disabilities,F,
2019,Number,Una-Sana Canton,Gymnasium,F,
2019,Number,Una-Sana Canton,Technical high schools,F,
2019,Number,Una-Sana Canton,Vocational high schools,F,
2019,Number,Una-Sana Canton,Art schools,F,
2019,Number,Una-Sana Canton,Religious schools,F,
2019,Number,Una-Sana Canton,High schools for students with disabilities,F,
2020,Number,Una-Sana Canton,Gymnasium,F,
2020,Number,Una-Sana Canton,Technical high schools,F,
2020,Number,Una-Sana Canton,Vocational high schools,F,
2020,Number,Una-Sana Canton,Art schools,F,
2020,Number,Una-Sana Canton,Religious schools,F,
2020,Number,Una-Sana Canton,High schools for students with disabilities,F,
2016,Number,Posavina Canton,Gymnasium,F,
2016,Number,Posavina Canton,Technical high schools,F,
2016,Number,Posavina Canton,Vocational high schools,F,
2016,Number,Posavina Canton,Art schools,F,
2016,Number,Posavina Canton,Religious schools,F,
2016,Number,Posavina Canton,High schools for students with disabilities,F,
2017,Number,Posavina Canton,Gymnasium,F,
2017,Number,Posavina Canton,Technical high schools,F,
2017,Number,Posavina Canton,Vocational high schools,F,
2017,Number,Posavina Canton,Art schools,F,
2017,Number,Posavina Canton,Religious schools,F,
2017,Number,Posavina Canton,High schools for students with disabilities,F,
2018,Number,Posavina Canton,Gymnasium,F,
2018,Number,Posavina Canton,Technical high schools,F,
2018,Number,Posavina Canton,Vocational high schools,F,
2018,Number,Posavina Canton,Art schools,F,
2018,Number,Posavina Canton,Religious schools,F,
2018,Number,Posavina Canton,High schools for students with disabilities,F,
2019,Number,Posavina Canton,Gymnasium,F,
2019,Number,Posavina Canton,Technical high schools,F,
2019,Number,Posavina Canton,Vocational high schools,F,
2019,Number,Posavina Canton,Art schools,F,
2019,Number,Posavina Canton,Religious schools,F,
2019,Number,Posavina Canton,High schools for students with disabilities,F,
2020,Number,Posavina Canton,Gymnasium,F,
2020,Number,Posavina Canton,Technical high schools,F,
2020,Number,Posavina Canton,Vocational high schools,F,
2020,Number,Posavina Canton,Art schools,F,
2020,Number,Posavina Canton,Religious schools,F,
2020,Number,Posavina Canton,High schools for students with disabilities,F,
2016,Number,Tuzla Canton,Gymnasium,F,
2016,Number,Tuzla Canton,Technical high schools,F,
2016,Number,Tuzla Canton,Vocational high schools,F,
2016,Number,Tuzla Canton,Art schools,F,
2016,Number,Tuzla Canton,Religious schools,F,
2016,Number,Tuzla Canton,High schools for students with disabilities,F,
2017,Number,Tuzla Canton,Gymnasium,F,
2017,Number,Tuzla Canton,Technical high schools,F,
2017,Number,Tuzla Canton,Vocational high schools,F,
2017,Number,Tuzla Canton,Art schools,F,
2017,Number,Tuzla Canton,Religious schools,F,
2017,Number,Tuzla Canton,High schools for students with disabilities,F,
2018,Number,Tuzla Canton,Gymnasium,F,
2018,Number,Tuzla Canton,Technical high schools,F,
2018,Number,Tuzla Canton,Vocational high schools,F,
2018,Number,Tuzla Canton,Art schools,F,
2018,Number,Tuzla Canton,Religious schools,F,
2018,Number,Tuzla Canton,High schools for students with disabilities,F,
2019,Number,Tuzla Canton,Gymnasium,F,
2019,Number,Tuzla Canton,Technical high schools,F,
2019,Number,Tuzla Canton,Vocational high schools,F,
2019,Number,Tuzla Canton,Art schools,F,
2019,Number,Tuzla Canton,Religious schools,F,
2019,Number,Tuzla Canton,High schools for students with disabilities,F,
2020,Number,Tuzla Canton,Gymnasium,F,
2020,Number,Tuzla Canton,Technical high schools,F,
2020,Number,Tuzla Canton,Vocational high schools,F,
2020,Number,Tuzla Canton,Art schools,F,
2020,Number,Tuzla Canton,Religious schools,F,
2020,Number,Tuzla Canton,High schools for students with disabilities,F,
2016,Number,Zenica-Doboj Canton,Gymnasium,F,
2016,Number,Zenica-Doboj Canton,Technical high schools,F,
2016,Number,Zenica-Doboj Canton,Vocational high schools,F,
2016,Number,Zenica-Doboj Canton,Art schools,F,
2016,Number,Zenica-Doboj Canton,Religious schools,F,
2016,Number,Zenica-Doboj Canton,High schools for students with disabilities,F,
2017,Number,Zenica-Doboj Canton,Gymnasium,F,
2017,Number,Zenica-Doboj Canton,Technical high schools,F,
2017,Number,Zenica-Doboj Canton,Vocational high schools,F,
2017,Number,Zenica-Doboj Canton,Art schools,F,
2017,Number,Zenica-Doboj Canton,Religious schools,F,
2017,Number,Zenica-Doboj Canton,High schools for students with disabilities,F,
2018,Number,Zenica-Doboj Canton,Gymnasium,F,
2018,Number,Zenica-Doboj Canton,Technical high schools,F,
2018,Number,Zenica-Doboj Canton,Vocational high schools,F,
2018,Number,Zenica-Doboj Canton,Art schools,F,
2018,Number,Zenica-Doboj Canton,Religious schools,F,
2018,Number,Zenica-Doboj Canton,High schools for students with disabilities,F,
2019,Number,Zenica-Doboj Canton,Gymnasium,F,
2019,Number,Zenica-Doboj Canton,Technical high schools,F,
2019,Number,Zenica-Doboj Canton,Vocational high schools,F,
2019,Number,Zenica-Doboj Canton,Art schools,F,
2019,Number,Zenica-Doboj Canton,Religious schools,F,
2019,Number,Zenica-Doboj Canton,High schools for students with disabilities,F,
2020,Number,Zenica-Doboj Canton,Gymnasium,F,
2020,Number,Zenica-Doboj Canton,Technical high schools,F,
2020,Number,Zenica-Doboj Canton,Vocational high schools,F,
2020,Number,Zenica-Doboj Canton,Art schools,F,
2020,Number,Zenica-Doboj Canton,Religious schools,F,
2020,Number,Zenica-Doboj Canton,High schools for students with disabilities,F,
2016,Number,Bosnian-Podrinje Canton,Gymnasium,F,
2016,Number,Bosnian-Podrinje Canton,Technical high schools,F,
2016,Number,Bosnian-Podrinje Canton,Vocational high schools,F,
2016,Number,Bosnian-Podrinje Canton,Art schools,F,
2016,Number,Bosnian-Podrinje Canton,Religious schools,F,
2016,Number,Bosnian-Podrinje Canton,High schools for students with disabilities,F,
2017,Number,Bosnian-Podrinje Canton,Gymnasium,F,
2017,Number,Bosnian-Podrinje Canton,Technical high schools,F,
2017,Number,Bosnian-Podrinje Canton,Vocational high schools,F,
2017,Number,Bosnian-Podrinje Canton,Art schools,F,
2017,Number,Bosnian-Podrinje Canton,Religious schools,F,
2017,Number,Bosnian-Podrinje Canton,High schools for students with disabilities,F,
2018,Number,Bosnian-Podrinje Canton,Gymnasium,F,
2018,Number,Bosnian-Podrinje Canton,Technical high schools,F,
2018,Number,Bosnian-Podrinje Canton,Vocational high schools,F,
2018,Number,Bosnian-Podrinje Canton,Art schools,F,
2018,Number,Bosnian-Podrinje Canton,Religious schools,F,
2018,Number,Bosnian-Podrinje Canton,High schools for students with disabilities,F,
2019,Number,Bosnian-Podrinje Canton,Gymnasium,F,
2019,Number,Bosnian-Podrinje Canton,Technical high schools,F,
2019,Number,Bosnian-Podrinje Canton,Vocational high schools,F,
2019,Number,Bosnian-Podrinje Canton,Art schools,F,
2019,Number,Bosnian-Podrinje Canton,Religious schools,F,
2019,Number,Bosnian-Podrinje Canton,High schools for students with disabilities,F,
2020,Number,Bosnian-Podrinje Canton,Gymnasium,F,
2020,Number,Bosnian-Podrinje Canton,Technical high schools,F,
2020,Number,Bosnian-Podrinje Canton,Vocational high schools,F,
2020,Number,Bosnian-Podrinje Canton,Art schools,F,
2020,Number,Bosnian-Podrinje Canton,Religious schools,F,
2020,Number,Bosnian-Podrinje Canton,High schools for students with disabilities,F,
2016,Number,Central Bosnia Canton,Gymnasium,F,
2016,Number,Central Bosnia Canton,Technical high schools,F,
2016,Number,Central Bosnia Canton,Vocational high schools,F,
2016,Number,Central Bosnia Canton,Art schools,F,
2016,Number,Central Bosnia Canton,Religious schools,F,
2016,Number,Central Bosnia Canton,High schools for students with disabilities,F,
2017,Number,Central Bosnia Canton,Gymnasium,F,
2017,Number,Central Bosnia Canton,Technical high schools,F,
2017,Number,Central Bosnia Canton,Vocational high schools,F,
2017,Number,Central Bosnia Canton,Art schools,F,
2017,Number,Central Bosnia Canton,Religious schools,F,
2017,Number,Central Bosnia Canton,High schools for students with disabilities,F,
2018,Number,Central Bosnia Canton,Gymnasium,F,
2018,Number,Central Bosnia Canton,Technical high schools,F,
2018,Number,Central Bosnia Canton,Vocational high schools,F,
2018,Number,Central Bosnia Canton,Art schools,F,
2018,Number,Central Bosnia Canton,Religious schools,F,
2018,Number,Central Bosnia Canton,High schools for students with disabilities,F,
2019,Number,Central Bosnia Canton,Gymnasium,F,
2019,Number,Central Bosnia Canton,Technical high schools,F,
2019,Number,Central Bosnia Canton,Vocational high schools,F,
2019,Number,Central Bosnia Canton,Art schools,F,
2019,Number,Central Bosnia Canton,Religious schools,F,
2019,Number,Central Bosnia Canton,High schools for students with disabilities,F,
2020,Number,Central Bosnia Canton,Gymnasium,F,
2020,Number,Central Bosnia Canton,Technical high schools,F,
2020,Number,Central Bosnia Canton,Vocational high schools,F,
2020,Number,Central Bosnia Canton,Art schools,F,
2020,Number,Central Bosnia Canton,Religious schools,F,
2020,Number,Central Bosnia Canton,High schools for students with disabilities,F,
2016,Number,Herzegovina-Neretva Canton,Gymnasium,F,
2016,Number,Herzegovina-Neretva Canton,Technical high schools,F,
2016,Number,Herzegovina-Neretva Canton,Vocational high schools,F,
2016,Number,Herzegovina-Neretva Canton,Art schools,F,
2016,Number,Herzegovina-Neretva Canton,Religious schools,F,
2016,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,F,
2017,Number,Herzegovina-Neretva Canton,Gymnasium,F,
2017,Number,Herzegovina-Neretva Canton,Technical high schools,F,
2017,Number,Herzegovina-Neretva Canton,Vocational high schools,F,
2017,Number,Herzegovina-Neretva Canton,Art schools,F,
2017,Number,Herzegovina-Neretva Canton,Religious schools,F,
2017,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,F,
2018,Number,Herzegovina-Neretva Canton,Gymnasium,F,
2018,Number,Herzegovina-Neretva Canton,Technical high schools,F,
2018,Number,Herzegovina-Neretva Canton,Vocational high schools,F,
2018,Number,Herzegovina-Neretva Canton,Art schools,F,
2018,Number,Herzegovina-Neretva Canton,Religious schools,F,
2018,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,F,
2019,Number,Herzegovina-Neretva Canton,Gymnasium,F,
2019,Number,Herzegovina-Neretva Canton,Technical high schools,F,
2019,Number,Herzegovina-Neretva Canton,Vocational high schools,F,
2019,Number,Herzegovina-Neretva Canton,Art schools,F,
2019,Number,Herzegovina-Neretva Canton,Religious schools,F,
2019,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,F,
2020,Number,Herzegovina-Neretva Canton,Gymnasium,F,
2020,Number,Herzegovina-Neretva Canton,Technical high schools,F,
2020,Number,Herzegovina-Neretva Canton,Vocational high schools,F,
2020,Number,Herzegovina-Neretva Canton,Art schools,F,
2020,Number,Herzegovina-Neretva Canton,Religious schools,F,
2020,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,F,
2016,Number,West Herzegovina Canton,Gymnasium,F,
2016,Number,West Herzegovina Canton,Technical high schools,F,
2016,Number,West Herzegovina Canton,Vocational high schools,F,
2016,Number,West Herzegovina Canton,Art schools,F,
2016,Number,West Herzegovina Canton,Religious schools,F,
2016,Number,West Herzegovina Canton,High schools for students with disabilities,F,
2017,Number,West Herzegovina Canton,Gymnasium,F,
2017,Number,West Herzegovina Canton,Technical high schools,F,
2017,Number,West Herzegovina Canton,Vocational high schools,F,
2017,Number,West Herzegovina Canton,Art schools,F,
2017,Number,West Herzegovina Canton,Religious schools,F,
2017,Number,West Herzegovina Canton,High schools for students with disabilities,F,
2018,Number,West Herzegovina Canton,Gymnasium,F,
2018,Number,West Herzegovina Canton,Technical high schools,F,
2018,Number,West Herzegovina Canton,Vocational high schools,F,
2018,Number,West Herzegovina Canton,Art schools,F,
2018,Number,West Herzegovina Canton,Religious schools,F,
2018,Number,West Herzegovina Canton,High schools for students with disabilities,F,
2019,Number,West Herzegovina Canton,Gymnasium,F,
2019,Number,West Herzegovina Canton,Technical high schools,F,
2019,Number,West Herzegovina Canton,Vocational high schools,F,
2019,Number,West Herzegovina Canton,Art schools,F,
2019,Number,West Herzegovina Canton,Religious schools,F,
2019,Number,West Herzegovina Canton,High schools for students with disabilities,F,
2020,Number,West Herzegovina Canton,Gymnasium,F,
2020,Number,West Herzegovina Canton,Technical high schools,F,
2020,Number,West Herzegovina Canton,Vocational high schools,F,
2020,Number,West Herzegovina Canton,Art schools,F,
2020,Number,West Herzegovina Canton,Religious schools,F,
2020,Number,West Herzegovina Canton,High schools for students with disabilities,F,
2016,Number,Sarajevo Canton,Gymnasium,F,
2016,Number,Sarajevo Canton,Technical high schools,F,
2016,Number,Sarajevo Canton,Vocational high schools,F,
2016,Number,Sarajevo Canton,Art schools,F,
2016,Number,Sarajevo Canton,Religious schools,F,
2016,Number,Sarajevo Canton,High schools for students with disabilities,F,
2017,Number,Sarajevo Canton,Gymnasium,F,
2017,Number,Sarajevo Canton,Technical high schools,F,
2017,Number,Sarajevo Canton,Vocational high schools,F,
2017,Number,Sarajevo Canton,Art schools,F,
2017,Number,Sarajevo Canton,Religious schools,F,
2017,Number,Sarajevo Canton,High schools for students with disabilities,F,
2018,Number,Sarajevo Canton,Gymnasium,F,
2018,Number,Sarajevo Canton,Technical high schools,F,
2018,Number,Sarajevo Canton,Vocational high schools,F,
2018,Number,Sarajevo Canton,Art schools,F,
2018,Number,Sarajevo Canton,Religious schools,F,
2018,Number,Sarajevo Canton,High schools for students with disabilities,F,
2019,Number,Sarajevo Canton,Gymnasium,F,
2019,Number,Sarajevo Canton,Technical high schools,F,
2019,Number,Sarajevo Canton,Vocational high schools,F,
2019,Number,Sarajevo Canton,Art schools,F,
2019,Number,Sarajevo Canton,Religious schools,F,
