Year,UNIT_MEASURE,Administrative Area,Type of school,Value
2018,Number,Tuzla Canton,High schools for students with disabilities,
2019,Number,Tuzla Canton,Gymnasium,
2019,Number,Tuzla Canton,Technical high schools,
2019,Number,Tuzla Canton,Vocational high schools,
2019,Number,Tuzla Canton,Art schools,
2019,Number,Tuzla Canton,Religious schools,
2019,Number,Tuzla Canton,High schools for students with disabilities,
2020,Number,Tuzla Canton,Gymnasium,
2020,Number,Tuzla Canton,Technical high schools,
2020,Number,Tuzla Canton,Vocational high schools,
2020,Number,Tuzla Canton,Art schools,
2020,Number,Tuzla Canton,Religious schools,
2020,Number,Tuzla Canton,High schools for students with disabilities,
2016,Number,Zenica-Doboj Canton,Gymnasium,
2016,Number,Zenica-Doboj Canton,Technical high schools,
2016,Number,Zenica-Doboj Canton,Vocational high schools,
2016,Number,Zenica-Doboj Canton,Art schools,
2016,Number,Zenica-Doboj Canton,Religious schools,
2016,Number,Zenica-Doboj Canton,High schools for students with disabilities,
2017,Number,Zenica-Doboj Canton,Gymnasium,
2017,Number,Zenica-Doboj Canton,Technical high schools,
2017,Number,Zenica-Doboj Canton,Vocational high schools,
2017,Number,Zenica-Doboj Canton,Art schools,
2017,Number,Zenica-Doboj Canton,Religious schools,
2017,Number,Zenica-Doboj Canton,High schools for students with disabilities,
2018,Number,Zenica-Doboj Canton,Gymnasium,
2018,Number,Zenica-Doboj Canton,Technical high schools,
2018,Number,Zenica-Doboj Canton,Vocational high schools,
2018,Number,Zenica-Doboj Canton,Art schools,
2018,Number,Zenica-Doboj Canton,Religious schools,
2018,Number,Zenica-Doboj Canton,High schools for students with disabilities,
2019,Number,Zenica-Doboj Canton,Gymnasium,
2019,Number,Zenica-Doboj Canton,Technical high schools,
2019,Number,Zenica-Doboj Canton,Vocational high schools,
2019,Number,Zenica-Doboj Canton,Art schools,
2019,Number,Zenica-Doboj Canton,Religious schools,
2019,Number,Zenica-Doboj Canton,High schools for students with disabilities,
2020,Number,Zenica-Doboj Canton,Gymnasium,
2020,Number,Zenica-Doboj Canton,Technical high schools,
2020,Number,Zenica-Doboj Canton,Vocational high schools,
2020,Number,Zenica-Doboj Canton,Art schools,
2020,Number,Zenica-Doboj Canton,Religious schools,
2020,Number,Zenica-Doboj Canton,High schools for students with disabilities,
2016,Number,Bosnian-Podrinje Canton,Gymnasium,
2016,Number,Bosnian-Podrinje Canton,Technical high schools,
2016,Number,Bosnian-Podrinje Canton,Vocational high schools,
2016,Number,Bosnian-Podrinje Canton,Art schools,
2016,Number,Bosnian-Podrinje Canton,Religious schools,
2016,Number,Bosnian-Podrinje Canton,High schools for students with disabilities,
2017,Number,Bosnian-Podrinje Canton,Gymnasium,
2017,Number,Bosnian-Podrinje Canton,Technical high schools,
2017,Number,Bosnian-Podrinje Canton,Vocational high schools,
2017,Number,Bosnian-Podrinje Canton,Art schools,
2017,Number,Bosnian-Podrinje Canton,Religious schools,
2017,Number,Bosnian-Podrinje Canton,High schools for students with disabilities,
2018,Number,Bosnian-Podrinje Canton,Gymnasium,
2018,Number,Bosnian-Podrinje Canton,Technical high schools,
