Year,UNIT_MEASURE,Municipality,Vital statistics,Value
2013,Number,Ravno,Two children,380
2013,Number,Sanski Most,Two children,5604
2013,Number,Sapna,Two children,1252
2013,Number,Srebrenik,Two children,6408
2013,Number,Sarajevo-Stari Grad,Two children,6147
2013,Number,Stolac,Two children,1441
2013,Number,Siroki Brijeg,Two children,2439
2013,Number,Teocak,Two children,962
2013,Number,Tesanj,Two children,5994
2013,Number,Tomislavgrad,Two children,2226
2013,Number,Travnik,Two children,6351
2013,Number,Trnovo-FBiH,Two children,272
2013,Number,Tuzla,Two children,20193
2013,Number,Usora,Two children,802
2013,Number,Vares,Two children,1407
2013,Number,Velika Kladusa,Two children,4053
2013,Number,Visoko,Two children,6277
2013,Number,Vitez,Two children,2923
2013,Number,Sarajevo-Vogosca,Two children,4293
2013,Number,Zavidovici,Two children,5195
2013,Number,Zenica,Two children,16230
2013,Number,Zepce,Two children,3010
2013,Number,Zivinice,Two children,8890
2013,Number,Banovici,Three children,1175
2013,Number,Bihac,Three children,3481
2013,Number,Bosanska Krupa,Three children,1698
2013,Number,Bosanski Petrovac,Three children,506
2013,Number,Bosansko Grahovo,Three children,200
2013,Number,Breza,Three children,674
2013,Number,Bugojno,Three children,2269
2013,Number,Busovaca,Three children,1281
2013,Number,Buzim,Three children,1132
2013,Number,Cazin,Three children,3984
2013,Number,Sarajevo-Centar,Three children,2228
2013,Number,Capljina,Three children,2266
2013,Number,Celic,Three children,776
2013,Number,Citluk,Three children,1462
2013,Number,Doboj-Istok,Three children,673
2013,Number,Doboj-Jug,Three children,285
2013,Number,Dobretici,Three children,86
2013,Number,Domaljevac-Samac,Three children,350
2013,Number,Donji Vakuf,Three children,1024
2013,Number,Drvar,Three children,465
2013,Number,Foca-FBiH,Three children,158
2013,Number,Fojnica,Three children,848
2013,Number,Glamoc,Three children,363
2013,Number,Gorazde,Three children,1424
2013,Number,Gornji Vakuf-Uskoplje,Three children,1504
2013,Number,Gracanica,Three children,2763
2013,Number,Gradacac,Three children,2626
2013,Number,Grude,Three children,1375
2013,Number,Sarajevo-Hadzici,Three children,1445
2013,Number,Sarajevo-Ilidza,Three children,3666
2013,Number,Sarajevo-Ilijas,Three children,1253
2013,Number,Jablanica,Three children,659
2013,Number,Jajce,Three children,1923
2013,Number,Kakanj,Three children,2545
2013,Number,Kalesija,Three children,2177
2013,Number,Kiseljak,Three children,1594
2013,Number,Kladanj,Three children,829
2013,Number,Kljuc,Three children,1164
2013,Number,Konjic,Three children,1794
2013,Number,Kresevo,Three children,408
2013,Number,Kupres-FBiH,Three children,365
2013,Number,Livno,Three children,2986
2013,Number,Lukavac,Three children,2140
2013,Number,Ljubuski,Three children,2364
2013,Number,Maglaj,Three children,1449
2013,Number,Mostar,Three children,7025
2013,Number,Neum,Three children,391
2013,Number,Sarajevo-Novi Grad,Three children,5446
2013,Number,Novi Travnik,Three children,1666
2013,Number,Sarajevo-Novo Sarajevo,Three children,2461
2013,Number,Odzak,Three children,1278
2013,Number,Olovo,Three children,701
2013,Number,Orasje,Three children,1289
2013,Number,Pale-FBiH,Three children,81
2013,Number,Posusje,Three children,1381
2013,Number,Prozor,Three children,980
2013,Number,Ravno,Three children,250
2013,Number,Sanski Most,Three children,2676
2013,Number,Sapna,Three children,861
2013,Number,Srebrenik,Three children,2583
2013,Number,Sarajevo-Stari Grad,Three children,1872
2013,Number,Stolac,Three children,1128
2013,Number,Siroki Brijeg,Three children,2251
2013,Number,Teocak,Three children,570
2013,Number,Tesanj,Three children,3056
2013,Number,Tomislavgrad,Three children,2425
2013,Number,Travnik,Three children,3736
2013,Number,Trnovo-FBiH,Three children,127
2013,Number,Tuzla,Three children,4790
2013,Number,Usora,Three children,496
2013,Number,Vares,Three children,667
2013,Number,Velika Kladusa,Three children,2370
2013,Number,Visoko,Three children,2483
2013,Number,Vitez,Three children,2000
2013,Number,Sarajevo-Vogosca,Three children,1423
2013,Number,Zavidovici,Three children,2375
2013,Number,Zenica,Three children,6404
2013,Number,Zepce,Three children,2067
2013,Number,Zivinice,Three children,3494
2013,Number,Banovici,Four children,393
2013,Number,Bihac,Four children,1419
2013,Number,Bosanska Krupa,Four children,797
2013,Number,Bosanski Petrovac,Four children,162
2013,Number,Bosansko Grahovo,Four children,70
2013,Number,Breza,Four children,189
2013,Number,Bugojno,Four children,952
2013,Number,Busovaca,Four children,598
2013,Number,Buzim,Four children,619
2013,Number,Cazin,Four children,1811
2013,Number,Sarajevo-Centar,Four children,549
2013,Number,Capljina,Four children,864
2013,Number,Celic,Four children,305
2013,Number,Citluk,Four children,792
2013,Number,Doboj-Istok,Four children,239
2013,Number,Doboj-Jug,Four children,83
2013,Number,Dobretici,Four children,53
2013,Number,Domaljevac-Samac,Four children,130
2013,Number,Donji Vakuf,Four children,466
2013,Number,Drvar,Four children,102
2013,Number,Foca-FBiH,Four children,81
2013,Number,Fojnica,Four children,377
2013,Number,Glamoc,Four children,148
2013,Number,Gorazde,Four children,484
2013,Number,Gornji Vakuf-Uskoplje,Four children,770
2013,Number,Gracanica,Four children,953
2013,Number,Gradacac,Four children,805
2013,Number,Grude,Four children,735
2013,Number,Sarajevo-Hadzici,Four children,475
2013,Number,Sarajevo-Ilidza,Four children,1168
2013,Number,Sarajevo-Ilijas,Four children,494
2013,Number,Jablanica,Four children,273
2013,Number,Jajce,Four children,902
2013,Number,Kakanj,Four children,1001
2013,Number,Kalesija,Four children,757
2013,Number,Kiseljak,Four children,548
2013,Number,Kladanj,Four children,302
2013,Number,Kljuc,Four children,536
2013,Number,Konjic,Four children,696
2013,Number,Kresevo,Four children,174
2013,Number,Kupres-FBiH,Four children,192
2013,Number,Livno,Four children,1309
2013,Number,Lukavac,Four children,717
2013,Number,Ljubuski,Four children,1105
2013,Number,Maglaj,Four children,540
2013,Number,Mostar,Four children,2270
2013,Number,Neum,Four children,185
2013,Number,Sarajevo-Novi Grad,Four children,1594
2013,Number,Novi Travnik,Four children,729
2013,Number,Sarajevo-Novo Sarajevo,Four children,590
2013,Number,Odzak,Four children,416
2013,Number,Olovo,Four children,289
2013,Number,Orasje,Four children,590
2013,Number,Pale-FBiH,Four children,29
2013,Number,Posusje,Four children,888
2013,Number,Prozor,Four children,607
2013,Number,Ravno,Four children,71
2013,Number,Sanski Most,Four children,978
2013,Number,Sapna,Four children,369
2013,Number,Srebrenik,Four children,914
2013,Number,Sarajevo-Stari Grad,Four children,540
2013,Number,Stolac,Four children,526
2013,Number,Siroki Brijeg,Four children,1198
2013,Number,Teocak,Four children,214
2013,Number,Tesanj,Four children,1038
2013,Number,Tomislavgrad,Four children,1266
2013,Number,Travnik,Four children,1619
2013,Number,Trnovo-FBiH,Four children,50
2013,Number,Tuzla,Four children,1591
2013,Number,Usora,Four children,217
2013,Number,Vares,Four children,200
2013,Number,Velika Kladusa,Four children,1264
2013,Number,Visoko,Four children,729
2013,Number,Vitez,Four children,832
2013,Number,Sarajevo-Vogosca,Four children,421
2013,Number,Zavidovici,Four children,915
2013,Number,Zenica,Four children,2415
2013,Number,Zepce,Four children,1064
2013,Number,Zivinice,Four children,1303
2013,Number,Banovici,5+ children,485
2013,Number,Bihac,5+ children,1523
2013,Number,Bosanska Krupa,5+ children,961
2013,Number,Bosanski Petrovac,5+ children,91
2013,Number,Bosansko Grahovo,5+ children,31
2013,Number,Breza,5+ children,144
2013,Number,Bugojno,5+ children,908
2013,Number,Busovaca,5+ children,570
2013,Number,Buzim,5+ children,945
2013,Number,Cazin,5+ children,2484
2013,Number,Sarajevo-Centar,5+ children,335
2013,Number,Capljina,5+ children,452
2013,Number,Celic,5+ children,336
2013,Number,Citluk,5+ children,405
2013,Number,Doboj-Istok,5+ children,232
2013,Number,Doboj-Jug,5+ children,88
2013,Number,Dobretici,5+ children,127
2013,Number,Domaljevac-Samac,5+ children,110
2013,Number,Donji Vakuf,5+ children,392
2013,Number,Drvar,5+ children,43
2013,Number,Foca-FBiH,5+ children,61
2013,Number,Fojnica,5+ children,313
2013,Number,Glamoc,5+ children,77
2013,Number,Gorazde,5+ children,371
2013,Number,Gornji Vakuf-Uskoplje,5+ children,803
2013,Number,Gracanica,5+ children,804
2013,Number,Gradacac,5+ children,636
2013,Number,Grude,5+ children,467
2013,Number,Sarajevo-Hadzici,5+ children,388
2013,Number,Sarajevo-Ilidza,5+ children,888
2013,Number,Sarajevo-Ilijas,5+ children,466
