Year,UNIT_MEASURE,Administrative area,Sex,Value
2009,Number,federation_of_bih,Both sexes,403628.0
2009,Number,una-sana_canton,Both sexes,20080.0
2009,Number,posavina_canton,Both sexes,538.0
2009,Number,tuzla_canton,Both sexes,68873.0
2009,Number,zenica-doboj_canton,Both sexes,83298.0
2009,Number,bosnian-podrinje_canton,Both sexes,
2009,Number,central_bosnia_canton,Both sexes,22343.0
2009,Number,herzegovina-neretva_canton,Both sexes,14039.0
2009,Number,west_herzegovina_canton,Both sexes,2897.0
2009,Number,sarajevo_canton,Both sexes,188504.0
2009,Number,canton_10,Both sexes,3056.0
2009,Number,federation_of_bih,M,198035.0
2009,Number,una-sana_canton,M,7518.0
2009,Number,posavina_canton,M,210.0
2009,Number,tuzla_canton,M,32281.0
2009,Number,zenica-doboj_canton,M,41961.0
2009,Number,bosnian-podrinje_canton,M,
2009,Number,central_bosnia_canton,M,9826.0
2009,Number,herzegovina-neretva_canton,M,5819.0
2009,Number,west_herzegovina_canton,M,1511.0
2009,Number,sarajevo_canton,M,97779.0
2009,Number,canton_10,M,1130.0
2009,Number,federation_of_bih,F,205593.0
2009,Number,una-sana_canton,F,12562.0
2009,Number,posavina_canton,F,328.0
2009,Number,tuzla_canton,F,36592.0
2009,Number,zenica-doboj_canton,F,41337.0
2009,Number,bosnian-podrinje_canton,F,
2009,Number,central_bosnia_canton,F,12517.0
2009,Number,herzegovina-neretva_canton,F,8220.0
2009,Number,west_herzegovina_canton,F,1386.0
2009,Number,sarajevo_canton,F,90725.0
2009,Number,canton_10,F,1926.0
2010,Number,federation_of_bih,Both sexes,368808.0
2010,Number,una-sana_canton,Both sexes,19595.0
2010,Number,posavina_canton,Both sexes,830.0
2010,Number,tuzla_canton,Both sexes,68396.0
2010,Number,zenica-doboj_canton,Both sexes,76610.0
2010,Number,bosnian-podrinje_canton,Both sexes,
2010,Number,central_bosnia_canton,Both sexes,17177.0
2010,Number,herzegovina-neretva_canton,Both sexes,14923.0
2010,Number,west_herzegovina_canton,Both sexes,3684.0
2010,Number,sarajevo_canton,Both sexes,164918.0
2010,Number,canton_10,Both sexes,2675.0
2010,Number,federation_of_bih,M,174999.0
2010,Number,una-sana_canton,M,7579.0
2010,Number,posavina_canton,M,295.0
2010,Number,tuzla_canton,M,29285.0
2010,Number,zenica-doboj_canton,M,35188.0
2010,Number,bosnian-podrinje_canton,M,
