Year,UNIT_MEASURE,Administrative Area,Sex,Highest educational attainment,Value
2013,Number,West Herzegovina Canton,M,Secondary education,23646
2013,Number,West Herzegovina Canton,M,Secondary specialisation,257
2013,Number,West Herzegovina Canton,M,Higher school and first degree of faculty,1629
2013,Number,West Herzegovina Canton,M,Faculty / academy / university,4566
2013,Number,Sarajevo Canton,M,Total,162698
2013,Number,Sarajevo Canton,M,No education,1417
2013,Number,Sarajevo Canton,M,Incomplete elementary education,2568
2013,Number,Sarajevo Canton,M,Elementary education,19427
2013,Number,Sarajevo Canton,M,Secondary education,99295
2013,Number,Sarajevo Canton,M,Secondary specialisation,1938
2013,Number,Sarajevo Canton,M,Higher school and first degree of faculty,7875
2013,Number,Sarajevo Canton,M,Faculty / academy / university,30178
2013,Number,Canton 10,M,Total,36209
2013,Number,Canton 10,M,No education,580
2013,Number,Canton 10,M,Incomplete elementary education,2571
2013,Number,Canton 10,M,Elementary education,6634
2013,Number,Canton 10,M,Secondary education,20611
2013,Number,Canton 10,M,Secondary specialisation,198
2013,Number,Canton 10,M,Higher school and first degree of faculty,1702
2013,Number,Canton 10,M,Faculty / academy / university,3913
2013,Number,Federation of Bosnia and Herzegovina,F,Total,957422
2013,Number,Federation of Bosnia and Herzegovina,F,No education,69089
2013,Number,Federation of Bosnia and Herzegovina,F,Incomplete elementary education,121486
2013,Number,Federation of Bosnia and Herzegovina,F,Elementary education,235110
2013,Number,Federation of Bosnia and Herzegovina,F,Secondary education,405039
2013,Number,Federation of Bosnia and Herzegovina,F,Secondary specialisation,2249
2013,Number,Federation of Bosnia and Herzegovina,F,Higher school and first degree of faculty,26200
2013,Number,Federation of Bosnia and Herzegovina,F,Faculty / academy / university,98249
2013,Number,Una-Sana Canton,F,Total,114518
2013,Number,Una-Sana Canton,F,No education,10671
2013,Number,Una-Sana Canton,F,Incomplete elementary education,15187
2013,Number,Una-Sana Canton,F,Elementary education,35894
2013,Number,Una-Sana Canton,F,Secondary education,42150
2013,Number,Una-Sana Canton,F,Secondary specialisation,244
2013,Number,Una-Sana Canton,F,Higher school and first degree of faculty,3201
2013,Number,Una-Sana Canton,F,Faculty / academy / university,7171
2013,Number,Posavina Canton,F,Total,18762
2013,Number,Posavina Canton,F,No education,1510
2013,Number,Posavina Canton,F,Incomplete elementary education,3286
