Year,UNIT_MEASURE,Administrativna oblast,Spol,Value
2003,Broj,canton_10,Oba spola,2301.0
2003,Broj,federation_of_bih,M,156012.0
2003,Broj,una-sana_canton,M,21833.0
2003,Broj,posavina_canton,M,26.0
2003,Broj,tuzla_canton,M,11375.0
2003,Broj,zenica-doboj_canton,M,49827.0
2003,Broj,bosnian-podrinje_canton,M,
2003,Broj,central_bosnia_canton,M,8597.0
2003,Broj,herzegovina-neretva_canton,M,14707.0
2003,Broj,west_herzegovina_canton,M,1020.0
2003,Broj,sarajevo_canton,M,47683.0
2003,Broj,canton_10,M,944.0
2003,Broj,federation_of_bih,Ž,133155.0
2003,Broj,una-sana_canton,Ž,9541.0
2003,Broj,posavina_canton,Ž,37.0
2003,Broj,tuzla_canton,Ž,17036.0
2003,Broj,zenica-doboj_canton,Ž,44712.0
2003,Broj,bosnian-podrinje_canton,Ž,
2003,Broj,central_bosnia_canton,Ž,8723.0
2003,Broj,herzegovina-neretva_canton,Ž,17271.0
2003,Broj,west_herzegovina_canton,Ž,713.0
2003,Broj,sarajevo_canton,Ž,33765.0
2003,Broj,canton_10,Ž,1357.0
2004,Broj,federation_of_bih,Oba spola,270507.0
2004,Broj,una-sana_canton,Oba spola,15996.0
2004,Broj,posavina_canton,Oba spola,94.0
2004,Broj,tuzla_canton,Oba spola,29152.0
2004,Broj,zenica-doboj_canton,Oba spola,86461.0
2004,Broj,bosnian-podrinje_canton,Oba spola,
2004,Broj,central_bosnia_canton,Oba spola,15487.0
2004,Broj,herzegovina-neretva_canton,Oba spola,26784.0
2004,Broj,west_herzegovina_canton,Oba spola,1826.0
2004,Broj,sarajevo_canton,Oba spola,92390.0
2004,Broj,canton_10,Oba spola,2317.0
2004,Broj,federation_of_bih,M,140214.0
2004,Broj,una-sana_canton,M,4970.0
2004,Broj,posavina_canton,M,35.0
2004,Broj,tuzla_canton,M,13090.0
2004,Broj,zenica-doboj_canton,M,43327.0
2004,Broj,bosnian-podrinje_canton,M,
2004,Broj,central_bosnia_canton,M,7645.0
2004,Broj,herzegovina-neretva_canton,M,13121.0
2004,Broj,west_herzegovina_canton,M,1053.0
2004,Broj,sarajevo_canton,M,56016.0
2004,Broj,canton_10,M,957.0
2004,Broj,federation_of_bih,Ž,130293.0
2004,Broj,una-sana_canton,Ž,11026.0
2004,Broj,posavina_canton,Ž,59.0
2004,Broj,tuzla_canton,Ž,16062.0
2004,Broj,zenica-doboj_canton,Ž,43134.0
2004,Broj,bosnian-podrinje_canton,Ž,
2004,Broj,central_bosnia_canton,Ž,7842.0
2004,Broj,herzegovina-neretva_canton,Ž,13663.0
2004,Broj,west_herzegovina_canton,Ž,773.0
2004,Broj,sarajevo_canton,Ž,36374.0
2004,Broj,canton_10,Ž,1360.0
2005,Broj,federation_of_bih,Oba spola,249848.0
2005,Broj,una-sana_canton,Oba spola,17657.0
2005,Broj,posavina_canton,Oba spola,120.0
2005,Broj,tuzla_canton,Oba spola,31339.0
2005,Broj,zenica-doboj_canton,Oba spola,71895.0
2005,Broj,bosnian-podrinje_canton,Oba spola,
2005,Broj,central_bosnia_canton,Oba spola,16422.0
2005,Broj,herzegovina-neretva_canton,Oba spola,19460.0
2005,Broj,west_herzegovina_canton,Oba spola,1894.0
2005,Broj,sarajevo_canton,Oba spola,88769.0
2005,Broj,canton_10,Oba spola,2292.0
2005,Broj,federation_of_bih,M,126173.0
2005,Broj,una-sana_canton,M,5530.0
2005,Broj,posavina_canton,M,51.0
2005,Broj,tuzla_canton,M,13199.0
2005,Broj,zenica-doboj_canton,M,36270.0
2005,Broj,bosnian-podrinje_canton,M,
2005,Broj,central_bosnia_canton,M,7964.0
2005,Broj,herzegovina-neretva_canton,M,8200.0
2005,Broj,west_herzegovina_canton,M,1097.0
2005,Broj,sarajevo_canton,M,52885.0
2005,Broj,canton_10,M,977.0
2005,Broj,federation_of_bih,Ž,123675.0
2005,Broj,una-sana_canton,Ž,12127.0
2005,Broj,posavina_canton,Ž,69.0
2005,Broj,tuzla_canton,Ž,18140.0
2005,Broj,zenica-doboj_canton,Ž,35625.0
2005,Broj,bosnian-podrinje_canton,Ž,
2005,Broj,central_bosnia_canton,Ž,8458.0
2005,Broj,herzegovina-neretva_canton,Ž,11260.0
2005,Broj,west_herzegovina_canton,Ž,797.0
2005,Broj,sarajevo_canton,Ž,35884.0
2005,Broj,canton_10,Ž,1315.0
2006,Broj,federation_of_bih,Oba spola,333918.0
2006,Broj,una-sana_canton,Oba spola,21373.0
2006,Broj,posavina_canton,Oba spola,136.0
2006,Broj,tuzla_canton,Oba spola,48970.0
2006,Broj,zenica-doboj_canton,Oba spola,100693.0
2006,Broj,bosnian-podrinje_canton,Oba spola,
2006,Broj,central_bosnia_canton,Oba spola,18658.0
