Year,UNIT_MEASURE,Administrativna oblast,type_of_school,Spol,Value
2017,Broj,Zeničko-dobojski kanton,Umjetničke škole,Oba spola,
2017,Broj,Zeničko-dobojski kanton,Vjerske škole,Oba spola,
2017,Broj,Zeničko-dobojski kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2018,Broj,Zeničko-dobojski kanton,Gimnazija,Oba spola,
2018,Broj,Zeničko-dobojski kanton,Tehničke škole,Oba spola,
2018,Broj,Zeničko-dobojski kanton,Stručne škole,Oba spola,
2018,Broj,Zeničko-dobojski kanton,Umjetničke škole,Oba spola,
2018,Broj,Zeničko-dobojski kanton,Vjerske škole,Oba spola,
2018,Broj,Zeničko-dobojski kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2019,Broj,Zeničko-dobojski kanton,Gimnazija,Oba spola,
2019,Broj,Zeničko-dobojski kanton,Tehničke škole,Oba spola,
2019,Broj,Zeničko-dobojski kanton,Stručne škole,Oba spola,
2019,Broj,Zeničko-dobojski kanton,Umjetničke škole,Oba spola,
2019,Broj,Zeničko-dobojski kanton,Vjerske škole,Oba spola,
2019,Broj,Zeničko-dobojski kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2020,Broj,Zeničko-dobojski kanton,Gimnazija,Oba spola,
2020,Broj,Zeničko-dobojski kanton,Tehničke škole,Oba spola,
2020,Broj,Zeničko-dobojski kanton,Stručne škole,Oba spola,
2020,Broj,Zeničko-dobojski kanton,Umjetničke škole,Oba spola,
2020,Broj,Zeničko-dobojski kanton,Vjerske škole,Oba spola,
2020,Broj,Zeničko-dobojski kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2016,Broj,Bosansko-podrinjski kanton,Gimnazija,Oba spola,
2016,Broj,Bosansko-podrinjski kanton,Tehničke škole,Oba spola,
2016,Broj,Bosansko-podrinjski kanton,Stručne škole,Oba spola,
2016,Broj,Bosansko-podrinjski kanton,Umjetničke škole,Oba spola,
2016,Broj,Bosansko-podrinjski kanton,Vjerske škole,Oba spola,
2016,Broj,Bosansko-podrinjski kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2017,Broj,Bosansko-podrinjski kanton,Gimnazija,Oba spola,
2017,Broj,Bosansko-podrinjski kanton,Tehničke škole,Oba spola,
2017,Broj,Bosansko-podrinjski kanton,Stručne škole,Oba spola,
2017,Broj,Bosansko-podrinjski kanton,Umjetničke škole,Oba spola,
2017,Broj,Bosansko-podrinjski kanton,Vjerske škole,Oba spola,
2017,Broj,Bosansko-podrinjski kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2018,Broj,Bosansko-podrinjski kanton,Gimnazija,Oba spola,
2018,Broj,Bosansko-podrinjski kanton,Tehničke škole,Oba spola,
2018,Broj,Bosansko-podrinjski kanton,Stručne škole,Oba spola,
