Year,UNIT_MEASURE,Administrativna jedinica,Value
2018,Broj,Posavska županija,117
2018,Broj,Tuzlanska županija,2879
2018,Broj,Zeničko-dobojska županija,2456
2018,Broj,Bosansko-podrinjska županija,120
2018,Broj,Srednjobosanska županija,1406
2018,Broj,Hercegovačko-neretvanska županija,1071
2018,Broj,Zapadno-hercegovačka županija,405
2018,Broj,Sarajevska županija,2523
2018,Broj,Županija 10,242
2019,Broj,Federacija Bosne i Hercegovine,12266
2019,Broj,Unsko-sanska županija,1865
2019,Broj,Posavska županija,112
2019,Broj,Tuzlanska županija,2642
2019,Broj,Zeničko-dobojska županija,2207
2019,Broj,Bosansko-podrinjska županija,125
2019,Broj,Srednjobosanska županija,1325
2019,Broj,Hercegovačko-neretvanska županija,1001
2019,Broj,Zapadno-hercegovačka županija,376
2019,Broj,Sarajevska županija,2382
2019,Broj,Županija 10,231
2020,Broj,Federacija Bosne i Hercegovine,10224
2020,Broj,Unsko-sanska županija,1391
2020,Broj,Posavska županija,78
2020,Broj,Tuzlanska županija,2120
2020,Broj,Zeničko-dobojska županija,1979
2020,Broj,Bosansko-podrinjska županija,125
2020,Broj,Srednjobosanska županija,1077
2020,Broj,Hercegovačko-neretvanska županija,864
2020,Broj,Zapadno-hercegovačka županija,354
2020,Broj,Sarajevska županija,2029
2020,Broj,Županija 10,207
2021,Broj,Federacija Bosne i Hercegovine,11503
2021,Broj,Unsko-sanska županija,1771
2021,Broj,Posavska županija,118
2021,Broj,Tuzlanska županija,2307
2021,Broj,Zeničko-dobojska županija,2162
2021,Broj,Bosansko-podrinjska županija,106
2021,Broj,Srednjobosanska županija,1215
2021,Broj,Hercegovačko-neretvanska županija,939
2021,Broj,Zapadno-hercegovačka županija,411
2021,Broj,Sarajevska županija,2229
2021,Broj,Županija 10,245
2022,Broj,Federacija Bosne i Hercegovine,11038
2022,Broj,Unsko-sanska županija,1526
2022,Broj,Posavska županija,93
2022,Broj,Tuzlanska županija,2221
2022,Broj,Zeničko-dobojska županija,2051
2022,Broj,Bosansko-podrinjska županija,157
2022,Broj,Srednjobosanska županija,1145
2022,Broj,Hercegovačko-neretvanska županija,912
2022,Broj,Zapadno-hercegovačka županija,430
2022,Broj,Sarajevska županija,2282
2022,Broj,Županija 10,221
2023,Broj,Federacija Bosne i Hercegovine,10740
2023,Broj,Unsko-sanska županija,1445
2023,Broj,Posavska županija,99
2023,Broj,Tuzlanska županija,2045
2023,Broj,Zeničko-dobojska županija,2012
2023,Broj,Bosansko-podrinjska županija,122
2023,Broj,Srednjobosanska županija,1215
2023,Broj,Hercegovačko-neretvanska županija,960
2023,Broj,Zapadno-hercegovačka županija,411
2023,Broj,Sarajevska županija,2221
2023,Broj,Županija 10,210
