Year,UNIT_MEASURE,Oпштина,Literacy,Пол,Value
2013,Број,Сапна,illiterate,Ж,484
2013,Број,Сребреник,illiterate,Ж,1388
2013,Број,stari_grad_sarajevo,illiterate,Ж,392
2013,Број,Столац,illiterate,Ж,232
2013,Број,Широки Бријег,illiterate,Ж,385
2013,Број,Теочак,illiterate,Ж,241
2013,Број,Тешањ,illiterate,Ж,1053
2013,Број,Томиславград,illiterate,Ж,579
2013,Број,Травник,illiterate,Ж,1191
2013,Број,trnovo-fbih,illiterate,Ж,135
2013,Број,Тузла,illiterate,Ж,1992
2013,Број,Усора,illiterate,Ж,151
2013,Број,Вареш,illiterate,Ж,175
2013,Број,Велика Кладуша,illiterate,Ж,1348
2013,Број,Високо,illiterate,Ж,865
2013,Број,Витез,illiterate,Ж,402
2013,Број,vogosca,illiterate,Ж,489
2013,Број,Завидовићи,illiterate,Ж,885
2013,Број,Зеница,illiterate,Ж,1597
2013,Број,Жепче,illiterate,Ж,591
2013,Број,Живинице,illiterate,Ж,1798
2013,Број,Бановићи,Непознато,M,85
2013,Број,Бихаћ,Непознато,M,162
2013,Број,Босанска Крупа,Непознато,M,113
2013,Број,Босански Петровац,Непознато,M,50
2013,Број,Босанско Грахово,Непознато,M,7
2013,Број,Бреза,Непознато,M,14
2013,Број,Бугојно,Непознато,M,170
2013,Број,Бусовача,Непознато,M,85
2013,Број,Бужим,Непознато,M,76
2013,Број,Цазин,Непознато,M,251
2013,Број,centar_sarajevo,Непознато,M,55
2013,Број,Чапљина,Непознато,M,130
2013,Број,Челић,Непознато,M,48
2013,Број,Читлук,Непознато,M,117
2013,Број,doboj-istok,Непознато,M,23
2013,Број,doboj-jug,Непознато,M,13
2013,Број,Добретићи,Непознато,M,8
2013,Број,domaljevac-samac,Непознато,M,27
2013,Број,Доњи Вакуф,Непознато,M,66
2013,Број,Дрвар,Непознато,M,16
2013,Број,foca-fbih,Непознато,M,3
2013,Број,Фојница,Непознато,M,131
2013,Број,Гламоч,Непознато,M,22
2013,Број,Горажде,Непознато,M,45
2013,Број,gornji_vakuf-uskoplje,Непознато,M,144
