Year,UNIT_MEASURE,Administrativna jedinica,Пол,Value
2013,Број,Posavski kanton,Оба пола,3
2013,Број,Tuzlanski kanton,Оба пола,21
2013,Број,Zeničko-dobojski kanton,Оба пола,24
2013,Број,Bosansko-podrinjski kanton,Оба пола,2
2013,Број,Srednjobosanski kanton,Оба пола,12
2013,Број,Hercegovačko-neretvanski kanton,Оба пола,22
2013,Број,Zapadno-hercegovački kanton,Оба пола,12
2013,Број,Kanton Sarajevo,Оба пола,40
2013,Број,Kanton 10,Оба пола,6
2013,Број,Federacija Bosne i Hercegovine,M,6229
2013,Број,Unsko-sanski kanton,M,587
2013,Број,Posavski kanton,M,74
2013,Број,Tuzlanski kanton,M,1054
2013,Број,Zeničko-dobojski kanton,M,711
2013,Број,Bosansko-podrinjski kanton,M,91
2013,Број,Srednjobosanski kanton,M,290
2013,Број,Hercegovačko-neretvanski kanton,M,780
2013,Број,Zapadno-hercegovački kanton,M,424
2013,Број,Kanton Sarajevo,M,2028
2013,Број,Kanton 10,M,190
2013,Број,Federacija Bosne i Hercegovine,Ж,5579
2013,Број,Unsko-sanski kanton,Ж,533
2013,Број,Posavski kanton,Ж,68
2013,Број,Tuzlanski kanton,Ж,858
2013,Број,Zeničko-dobojski kanton,Ж,687
2013,Број,Bosansko-podrinjski kanton,Ж,80
2013,Број,Srednjobosanski kanton,Ж,318
2013,Број,Hercegovačko-neretvanski kanton,Ж,739
2013,Број,Zapadno-hercegovački kanton,Ж,371
2013,Број,Kanton Sarajevo,Ж,1745
2013,Број,Kanton 10,Ж,180
2014,Број,Federacija Bosne i Hercegovine,Оба пола,12737
2014,Број,Unsko-sanski kanton,Оба пола,1244
2014,Број,Posavski kanton,Оба пола,149
2014,Број,Tuzlanski kanton,Оба пола,2033
2014,Број,Zeničko-dobojski kanton,Оба пола,1406
2014,Број,Bosansko-podrinjski kanton,Оба пола,139
2014,Број,Srednjobosanski kanton,Оба пола,821
2014,Број,Hercegovačko-neretvanski kanton,Оба пола,1794
2014,Број,Zapadno-hercegovački kanton,Оба пола,789
2014,Број,Kanton Sarajevo,Оба пола,4003
2014,Број,Kanton 10,Оба пола,359
2014,Број,Federacija Bosne i Hercegovine,M,6632
2014,Број,Unsko-sanski kanton,M,651
2014,Број,Posavski kanton,M,74
2014,Број,Tuzlanski kanton,M,1108
2014,Број,Zeničko-dobojski kanton,M,731
2014,Број,Bosansko-podrinjski kanton,M,64
2014,Број,Srednjobosanski kanton,M,420
2014,Број,Hercegovačko-neretvanski kanton,M,914
2014,Број,Zapadno-hercegovački kanton,M,421
2014,Број,Kanton Sarajevo,M,2070
2014,Број,Kanton 10,M,179
2014,Број,Federacija Bosne i Hercegovine,Ж,6105
2014,Број,Unsko-sanski kanton,Ж,593
2014,Број,Posavski kanton,Ж,75
2014,Број,Tuzlanski kanton,Ж,925
2014,Број,Zeničko-dobojski kanton,Ж,675
2014,Број,Bosansko-podrinjski kanton,Ж,75
2014,Број,Srednjobosanski kanton,Ж,401
2014,Број,Hercegovačko-neretvanski kanton,Ж,880
2014,Број,Zapadno-hercegovački kanton,Ж,368
2014,Број,Kanton Sarajevo,Ж,1933
2014,Број,Kanton 10,Ж,180
2015,Број,Federacija Bosne i Hercegovine,Оба пола,13268
2015,Број,Unsko-sanski kanton,Оба пола,1311
2015,Број,Posavski kanton,Оба пола,161
2015,Број,Tuzlanski kanton,Оба пола,2213
2015,Број,Zeničko-dobojski kanton,Оба пола,1594
2015,Број,Bosansko-podrinjski kanton,Оба пола,141
2015,Број,Srednjobosanski kanton,Оба пола,889
2015,Број,Hercegovačko-neretvanski kanton,Оба пола,1975
2015,Број,Zapadno-hercegovački kanton,Оба пола,738
2015,Број,Kanton Sarajevo,Оба пола,3856
2015,Број,Kanton 10,Оба пола,390
2015,Број,Federacija Bosne i Hercegovine,M,6906
2015,Број,Unsko-sanski kanton,M,695
2015,Број,Posavski kanton,M,81
2015,Број,Tuzlanski kanton,M,1187
2015,Број,Zeničko-dobojski kanton,M,835
2015,Број,Bosansko-podrinjski kanton,M,67
2015,Број,Srednjobosanski kanton,M,447
2015,Број,Hercegovačko-neretvanski kanton,M,999
2015,Број,Zapadno-hercegovački kanton,M,365
2015,Број,Kanton Sarajevo,M,2037
2015,Број,Kanton 10,M,193
2015,Број,Federacija Bosne i Hercegovine,Ж,6362
2015,Број,Unsko-sanski kanton,Ж,616
2015,Број,Posavski kanton,Ж,80
2015,Број,Tuzlanski kanton,Ж,1026
2015,Број,Zeničko-dobojski kanton,Ж,759
2015,Број,Bosansko-podrinjski kanton,Ж,74
2015,Број,Srednjobosanski kanton,Ж,442
2015,Број,Hercegovačko-neretvanski kanton,Ж,976
2015,Број,Zapadno-hercegovački kanton,Ж,373
2015,Број,Kanton Sarajevo,Ж,1819
2015,Број,Kanton 10,Ж,197
2016,Број,Federacija Bosne i Hercegovine,Оба пола,14405
2016,Број,Unsko-sanski kanton,Оба пола,1351
2016,Број,Posavski kanton,Оба пола,160
2016,Број,Tuzlanski kanton,Оба пола,2337
2016,Број,Zeničko-dobojski kanton,Оба пола,1893
2016,Број,Bosansko-podrinjski kanton,Оба пола,146
2016,Број,Srednjobosanski kanton,Оба пола,970
2016,Број,Hercegovačko-neretvanski kanton,Оба пола,2100
2016,Број,Zapadno-hercegovački kanton,Оба пола,851
2016,Број,Kanton Sarajevo,Оба пола,4206
2016,Број,Kanton 10,Оба пола,391
2016,Број,Federacija Bosne i Hercegovine,M,7604
2016,Број,Unsko-sanski kanton,M,743
2016,Број,Posavski kanton,M,83
2016,Број,Tuzlanski kanton,M,1252
2016,Број,Zeničko-dobojski kanton,M,968
2016,Број,Bosansko-podrinjski kanton,M,68
2016,Број,Srednjobosanski kanton,M,495
2016,Број,Hercegovačko-neretvanski kanton,M,1071
2016,Број,Zapadno-hercegovački kanton,M,437
2016,Број,Kanton Sarajevo,M,2298
2016,Број,Kanton 10,M,189
2016,Број,Federacija Bosne i Hercegovine,Ж,6801
2016,Број,Unsko-sanski kanton,Ж,608
2016,Број,Posavski kanton,Ж,77
2016,Број,Tuzlanski kanton,Ж,1085
2016,Број,Zeničko-dobojski kanton,Ж,925
2016,Број,Bosansko-podrinjski kanton,Ж,78
2016,Број,Srednjobosanski kanton,Ж,475
2016,Број,Hercegovačko-neretvanski kanton,Ж,1029
2016,Број,Zapadno-hercegovački kanton,Ж,414
2016,Број,Kanton Sarajevo,Ж,1908
2016,Број,Kanton 10,Ж,202
2017,Број,Federacija Bosne i Hercegovine,Оба пола,15093
2017,Број,Unsko-sanski kanton,Оба пола,1398
2017,Број,Posavski kanton,Оба пола,158
2017,Број,Tuzlanski kanton,Оба пола,2484
2017,Број,Zeničko-dobojski kanton,Оба пола,2017
2017,Број,Bosansko-podrinjski kanton,Оба пола,155
2017,Број,Srednjobosanski kanton,Оба пола,1034
2017,Број,Hercegovačko-neretvanski kanton,Оба пола,2317
2017,Број,Zapadno-hercegovački kanton,Оба пола,901
2017,Број,Kanton Sarajevo,Оба пола,4221
2017,Број,Kanton 10,Оба пола,408
2017,Број,Federacija Bosne i Hercegovine,M,7850
2017,Број,Unsko-sanski kanton,M,768
2017,Број,Posavski kanton,M,84
2017,Број,Tuzlanski kanton,M,1289
2017,Број,Zeničko-dobojski kanton,M,998
2017,Број,Bosansko-podrinjski kanton,M,84
2017,Број,Srednjobosanski kanton,M,559
2017,Број,Hercegovačko-neretvanski kanton,M,1137
2017,Број,Zapadno-hercegovački kanton,M,444
2017,Број,Kanton Sarajevo,M,2284
2017,Број,Kanton 10,M,203
2017,Број,Federacija Bosne i Hercegovine,Ж,7243
2017,Број,Unsko-sanski kanton,Ж,630
2017,Број,Posavski kanton,Ж,74
2017,Број,Tuzlanski kanton,Ж,1195
2017,Број,Zeničko-dobojski kanton,Ж,1019
2017,Број,Bosansko-podrinjski kanton,Ж,71
2017,Број,Srednjobosanski kanton,Ж,475
2017,Број,Hercegovačko-neretvanski kanton,Ж,1180
2017,Број,Zapadno-hercegovački kanton,Ж,457
2017,Број,Kanton Sarajevo,Ж,1937
2017,Број,Kanton 10,Ж,205
2018,Број,Federacija Bosne i Hercegovine,Оба пола,15722
2018,Број,Unsko-sanski kanton,Оба пола,1428
2018,Број,Posavski kanton,Оба пола,165
2018,Број,Tuzlanski kanton,Оба пола,2492
2018,Број,Zeničko-dobojski kanton,Оба пола,2255
2018,Број,Bosansko-podrinjski kanton,Оба пола,165
2018,Број,Srednjobosanski kanton,Оба пола,1094
2018,Број,Hercegovačko-neretvanski kanton,Оба пола,2519
2018,Број,Zapadno-hercegovački kanton,Оба пола,991
2018,Број,Kanton Sarajevo,Оба пола,4204
2018,Број,Kanton 10,Оба пола,409
2018,Број,Federacija Bosne i Hercegovine,M,8175
2018,Број,Unsko-sanski kanton,M,806
2018,Број,Posavski kanton,M,76
2018,Број,Tuzlanski kanton,M,1278
2018,Број,Zeničko-dobojski kanton,M,1126
2018,Број,Bosansko-podrinjski kanton,M,90
2018,Број,Srednjobosanski kanton,M,533
2018,Број,Hercegovačko-neretvanski kanton,M,1270
2018,Број,Zapadno-hercegovački kanton,M,477
2018,Број,Kanton Sarajevo,M,2311
2018,Број,Kanton 10,M,208
2018,Број,Federacija Bosne i Hercegovine,Ж,7547
2018,Број,Unsko-sanski kanton,Ж,622
2018,Број,Posavski kanton,Ж,89
2018,Број,Tuzlanski kanton,Ж,1214
2018,Број,Zeničko-dobojski kanton,Ж,1129
2018,Број,Bosansko-podrinjski kanton,Ж,75
2018,Број,Srednjobosanski kanton,Ж,561
2018,Број,Hercegovačko-neretvanski kanton,Ж,1249
2018,Број,Zapadno-hercegovački kanton,Ж,514
2018,Број,Kanton Sarajevo,Ж,1893
2018,Број,Kanton 10,Ж,201
