Year,UNIT_MEASURE,Municipality,Household size,Value
2013,Number,Konjic,8+,45
2013,Number,Kresevo,8+,4
2013,Number,Kupres-FBiH,8+,24
2013,Number,Livno,8+,468
2013,Number,Lukavac,8+,42
2013,Number,Ljubuski,8+,363
2013,Number,Maglaj,8+,74
2013,Number,Mostar,8+,342
2013,Number,Neum,8+,38
2013,Number,Sarajevo-Novi Grad,8+,215
2013,Number,Novi Travnik,8+,93
2013,Number,Sarajevo-Novo Sarajevo,8+,72
2013,Number,Odzak,8+,140
2013,Number,Olovo,8+,8
2013,Number,Orasje,8+,95
2013,Number,Pale-FBiH,8+,2
2013,Number,Posusje,8+,266
2013,Number,Prozor,8+,188
2013,Number,Ravno,8+,23
2013,Number,Sanski Most,8+,407
2013,Number,Sapna,8+,76
2013,Number,Srebrenik,8+,86
2013,Number,Sarajevo-Stari Grad,8+,55
2013,Number,Stolac,8+,154
2013,Number,Siroki Brijeg,8+,247
2013,Number,Teocak,8+,49
2013,Number,Tesanj,8+,75
2013,Number,Tomislavgrad,8+,439
2013,Number,Travnik,8+,202
2013,Number,Trnovo-FBiH,8+,4
2013,Number,Tuzla,8+,97
2013,Number,Usora,8+,49
2013,Number,Vares,8+,7
2013,Number,Velika Kladusa,8+,297
2013,Number,Visoko,8+,84
2013,Number,Vitez,8+,48
2013,Number,Sarajevo-Vogosca,8+,48
2013,Number,Zavidovici,8+,60
2013,Number,Zenica,8+,165
2013,Number,Zepce,8+,172
2013,Number,Zivinice,8+,107
