Year,UNIT_MEASURE,Administrativna jedinica,Spol,Value
2017,Broj,Zeničko-dobojska županija,Ž,2736
2018,Broj,Zeničko-dobojska županija,Ž,2369
2019,Broj,Zeničko-dobojska županija,Ž,1776
2020,Broj,Zeničko-dobojska županija,Ž,1704
2021,Broj,Zeničko-dobojska županija,Ž,1743
2022,Broj,Zeničko-dobojska županija,Ž,1689
2010,Broj,Bosansko-podrinjska županija,Oba spola,360
2011,Broj,Bosansko-podrinjska županija,Oba spola,476
2012,Broj,Bosansko-podrinjska županija,Oba spola,374
2013,Broj,Bosansko-podrinjska županija,Oba spola,169
2014,Broj,Bosansko-podrinjska županija,Oba spola,319
2015,Broj,Bosansko-podrinjska županija,Oba spola,276
2016,Broj,Bosansko-podrinjska županija,Oba spola,238
2017,Broj,Bosansko-podrinjska županija,Oba spola,223
2018,Broj,Bosansko-podrinjska županija,Oba spola,207
2019,Broj,Bosansko-podrinjska županija,Oba spola,220
2020,Broj,Bosansko-podrinjska županija,Oba spola,209
2021,Broj,Bosansko-podrinjska županija,Oba spola,188
2022,Broj,Bosansko-podrinjska županija,Oba spola,174
2010,Broj,Bosansko-podrinjska županija,M,200
2011,Broj,Bosansko-podrinjska županija,M,261
2012,Broj,Bosansko-podrinjska županija,M,198
2013,Broj,Bosansko-podrinjska županija,M,90
2014,Broj,Bosansko-podrinjska županija,M,173
2015,Broj,Bosansko-podrinjska županija,M,129
2016,Broj,Bosansko-podrinjska županija,M,113
2017,Broj,Bosansko-podrinjska županija,M,121
2018,Broj,Bosansko-podrinjska županija,M,102
2019,Broj,Bosansko-podrinjska županija,M,122
2020,Broj,Bosansko-podrinjska županija,M,113
2021,Broj,Bosansko-podrinjska županija,M,96
2022,Broj,Bosansko-podrinjska županija,M,83
2010,Broj,Bosansko-podrinjska županija,Ž,160
2011,Broj,Bosansko-podrinjska županija,Ž,215
2012,Broj,Bosansko-podrinjska županija,Ž,176
2013,Broj,Bosansko-podrinjska županija,Ž,79
2014,Broj,Bosansko-podrinjska županija,Ž,146
2015,Broj,Bosansko-podrinjska županija,Ž,147
2016,Broj,Bosansko-podrinjska županija,Ž,125
2017,Broj,Bosansko-podrinjska županija,Ž,102
2018,Broj,Bosansko-podrinjska županija,Ž,105
2019,Broj,Bosansko-podrinjska županija,Ž,98
2020,Broj,Bosansko-podrinjska županija,Ž,96
2021,Broj,Bosansko-podrinjska županija,Ž,92
2022,Broj,Bosansko-podrinjska županija,Ž,91
2010,Broj,Srednjobosanska županija,Oba spola,4168
2011,Broj,Srednjobosanska županija,Oba spola,4223
2012,Broj,Srednjobosanska županija,Oba spola,3697
2013,Broj,Srednjobosanska županija,Oba spola,3404
2014,Broj,Srednjobosanska županija,Oba spola,3013
2015,Broj,Srednjobosanska županija,Oba spola,3076
2016,Broj,Srednjobosanska županija,Oba spola,2758
2017,Broj,Srednjobosanska županija,Oba spola,2881
2018,Broj,Srednjobosanska županija,Oba spola,967
2019,Broj,Srednjobosanska županija,Oba spola,2706
2020,Broj,Srednjobosanska županija,Oba spola,2506
2021,Broj,Srednjobosanska županija,Oba spola,2404
2022,Broj,Srednjobosanska županija,Oba spola,2295
2010,Broj,Srednjobosanska županija,M,2092
2011,Broj,Srednjobosanska županija,M,2184
2012,Broj,Srednjobosanska županija,M,1953
2013,Broj,Srednjobosanska županija,M,1702
2014,Broj,Srednjobosanska županija,M,1485
2015,Broj,Srednjobosanska županija,M,1538
2016,Broj,Srednjobosanska županija,M,1503
2017,Broj,Srednjobosanska županija,M,1458
2018,Broj,Srednjobosanska županija,M,487
2019,Broj,Srednjobosanska županija,M,1421
2020,Broj,Srednjobosanska županija,M,1279
2021,Broj,Srednjobosanska županija,M,1218
