Year,UNIT_MEASURE,Административна јединица,Пол,Value
2014,Број,Унско-сански кантон,Ж,4
2015,Број,Унско-сански кантон,Ж,6
2016,Број,Унско-сански кантон,Ж,14
2017,Број,Унско-сански кантон,Ж,11
2018,Број,Унско-сански кантон,Ж,6
2019,Број,Унско-сански кантон,Ж,13
2020,Број,Унско-сански кантон,Ж,9
2021,Број,Унско-сански кантон,Ж,11
2022,Број,Унско-сански кантон,Ж,8
2013,Број,Тузлански кантон,Оба пола,6
2014,Број,Тузлански кантон,Оба пола,58
2015,Број,Тузлански кантон,Оба пола,125
2016,Број,Тузлански кантон,Оба пола,113
2017,Број,Тузлански кантон,Оба пола,74
2018,Број,Тузлански кантон,Оба пола,110
2019,Број,Тузлански кантон,Оба пола,104
2020,Број,Тузлански кантон,Оба пола,64
2021,Број,Тузлански кантон,Оба пола,95
2022,Број,Тузлански кантон,Оба пола,109
2013,Број,Тузлански кантон,M,5
2014,Број,Тузлански кантон,M,28
2015,Број,Тузлански кантон,M,61
2016,Број,Тузлански кантон,M,60
2017,Број,Тузлански кантон,M,43
2018,Број,Тузлански кантон,M,61
2019,Број,Тузлански кантон,M,44
2020,Број,Тузлански кантон,M,29
2021,Број,Тузлански кантон,M,50
2022,Број,Тузлански кантон,M,41
2013,Број,Тузлански кантон,Ж,1
2014,Број,Тузлански кантон,Ж,30
2015,Број,Тузлански кантон,Ж,64
2016,Број,Тузлански кантон,Ж,53
2017,Број,Тузлански кантон,Ж,31
2018,Број,Тузлански кантон,Ж,49
2019,Број,Тузлански кантон,Ж,60
2020,Број,Тузлански кантон,Ж,35
2021,Број,Тузлански кантон,Ж,45
2022,Број,Тузлански кантон,Ж,68
2012,Број,Зеничко-добојски кантон,Оба пола,2
2013,Број,Зеничко-добојски кантон,Оба пола,11
2014,Број,Зеничко-добојски кантон,Оба пола,6
2015,Број,Зеничко-добојски кантон,Оба пола,10
2016,Број,Зеничко-добојски кантон,Оба пола,20
2017,Број,Зеничко-добојски кантон,Оба пола,38
2018,Број,Зеничко-добојски кантон,Оба пола,45
2019,Број,Зеничко-добојски кантон,Оба пола,34
2020,Број,Зеничко-добојски кантон,Оба пола,48
2021,Број,Зеничко-добојски кантон,Оба пола,25
2022,Број,Зеничко-добојски кантон,Оба пола,34
2012,Број,Зеничко-добојски кантон,M,2
2013,Број,Зеничко-добојски кантон,M,3
2014,Број,Зеничко-добојски кантон,M,3
2015,Број,Зеничко-добојски кантон,M,4
2016,Број,Зеничко-добојски кантон,M,9
2017,Број,Зеничко-добојски кантон,M,19
2018,Број,Зеничко-добојски кантон,M,18
2019,Број,Зеничко-добојски кантон,M,2
2020,Број,Зеничко-добојски кантон,M,14
2021,Број,Зеничко-добојски кантон,M,13
2022,Број,Зеничко-добојски кантон,M,7
2013,Број,Зеничко-добојски кантон,Ж,8
2014,Број,Зеничко-добојски кантон,Ж,3
2015,Број,Зеничко-добојски кантон,Ж,6
2016,Број,Зеничко-добојски кантон,Ж,11
2017,Број,Зеничко-добојски кантон,Ж,19
2018,Број,Зеничко-добојски кантон,Ж,27
2019,Број,Зеничко-добојски кантон,Ж,32
2020,Број,Зеничко-добојски кантон,Ж,34
2021,Број,Зеничко-добојски кантон,Ж,12
2022,Број,Зеничко-добојски кантон,Ж,27
2011,Број,Средњобосански кантон,Оба пола,6
2013,Број,Средњобосански кантон,Оба пола,65
2014,Број,Средњобосански кантон,Оба пола,38
2015,Број,Средњобосански кантон,Оба пола,61
2016,Број,Средњобосански кантон,Оба пола,100
2017,Број,Средњобосански кантон,Оба пола,113
2018,Број,Средњобосански кантон,Оба пола,157
2019,Број,Средњобосански кантон,Оба пола,205
2020,Број,Средњобосански кантон,Оба пола,177
2021,Број,Средњобосански кантон,Оба пола,181
2022,Број,Средњобосански кантон,Оба пола,291
2011,Број,Средњобосански кантон,M,4
2013,Број,Средњобосански кантон,M,52
2014,Број,Средњобосански кантон,M,19
2015,Број,Средњобосански кантон,M,27
2016,Број,Средњобосански кантон,M,45
2017,Број,Средњобосански кантон,M,59
2018,Број,Средњобосански кантон,M,99
2019,Број,Средњобосански кантон,M,110
2020,Број,Средњобосански кантон,M,102
2021,Број,Средњобосански кантон,M,106
2022,Број,Средњобосански кантон,M,140
2011,Број,Средњобосански кантон,Ж,2
2013,Број,Средњобосански кантон,Ж,13
2014,Број,Средњобосански кантон,Ж,19
2015,Број,Средњобосански кантон,Ж,34
2016,Број,Средњобосански кантон,Ж,55
2017,Број,Средњобосански кантон,Ж,54
2018,Број,Средњобосански кантон,Ж,58
2019,Број,Средњобосански кантон,Ж,95
2020,Број,Средњобосански кантон,Ж,75
2021,Број,Средњобосански кантон,Ж,75
2022,Број,Средњобосански кантон,Ж,151
2010,Број,Херцеговачко-неретвански кантон,Оба пола,224
2011,Број,Херцеговачко-неретвански кантон,Оба пола,350
2012,Број,Херцеговачко-неретвански кантон,Оба пола,422
2013,Број,Херцеговачко-неретвански кантон,Оба пола,607
2014,Број,Херцеговачко-неретвански кантон,Оба пола,847
2015,Број,Херцеговачко-неретвански кантон,Оба пола,797
2016,Број,Херцеговачко-неретвански кантон,Оба пола,820
2017,Број,Херцеговачко-неретвански кантон,Оба пола,962
2018,Број,Херцеговачко-неретвански кантон,Оба пола,822
2019,Број,Херцеговачко-неретвански кантон,Оба пола,963
2020,Број,Херцеговачко-неретвански кантон,Оба пола,786
2021,Број,Херцеговачко-неретвански кантон,Оба пола,1208
2022,Број,Херцеговачко-неретвански кантон,Оба пола,902
2010,Број,Херцеговачко-неретвански кантон,M,59
2011,Број,Херцеговачко-неретвански кантон,M,87
2012,Број,Херцеговачко-неретвански кантон,M,125
2013,Број,Херцеговачко-неретвански кантон,M,147
2014,Број,Херцеговачко-неретвански кантон,M,240
2015,Број,Херцеговачко-неретвански кантон,M,240
2016,Број,Херцеговачко-неретвански кантон,M,275
2017,Број,Херцеговачко-неретвански кантон,M,276
2018,Број,Херцеговачко-неретвански кантон,M,256
2019,Број,Херцеговачко-неретвански кантон,M,320
2020,Број,Херцеговачко-неретвански кантон,M,219
2021,Број,Херцеговачко-неретвански кантон,M,359
2022,Број,Херцеговачко-неретвански кантон,M,304
2010,Број,Херцеговачко-неретвански кантон,Ж,165
2011,Број,Херцеговачко-неретвански кантон,Ж,263
2012,Број,Херцеговачко-неретвански кантон,Ж,297
2013,Број,Херцеговачко-неретвански кантон,Ж,460
2014,Број,Херцеговачко-неретвански кантон,Ж,607
2015,Број,Херцеговачко-неретвански кантон,Ж,557
2016,Број,Херцеговачко-неретвански кантон,Ж,545
2017,Број,Херцеговачко-неретвански кантон,Ж,686
2018,Број,Херцеговачко-неретвански кантон,Ж,566
2019,Број,Херцеговачко-неретвански кантон,Ж,643
2020,Број,Херцеговачко-неретвански кантон,Ж,567
2021,Број,Херцеговачко-неретвански кантон,Ж,849
2022,Број,Херцеговачко-неретвански кантон,Ж,598
2022,Број,Западнохерцеговчки кантон,Оба пола,2
2022,Број,Западнохерцеговчки кантон,M,1
2022,Број,Западнохерцеговчки кантон,Ж,1
2010,Број,Кантон Сарајево,Оба пола,297
2011,Број,Кантон Сарајево,Оба пола,741
2012,Број,Кантон Сарајево,Оба пола,1171
2013,Број,Кантон Сарајево,Оба пола,1626
2014,Број,Кантон Сарајево,Оба пола,1383
2015,Број,Кантон Сарајево,Оба пола,1542
2016,Број,Кантон Сарајево,Оба пола,1837
2017,Број,Кантон Сарајево,Оба пола,1686
2018,Број,Кантон Сарајево,Оба пола,1462
2019,Број,Кантон Сарајево,Оба пола,1478
2020,Број,Кантон Сарајево,Оба пола,1628
2021,Број,Кантон Сарајево,Оба пола,1589
2022,Број,Кантон Сарајево,Оба пола,1446
2010,Број,Кантон Сарајево,M,136
2011,Број,Кантон Сарајево,M,292
2012,Број,Кантон Сарајево,M,430
2013,Број,Кантон Сарајево,M,654
2014,Број,Кантон Сарајево,M,534
2015,Број,Кантон Сарајево,M,612
2016,Број,Кантон Сарајево,M,644
2017,Број,Кантон Сарајево,M,610
2018,Број,Кантон Сарајево,M,523
2019,Број,Кантон Сарајево,M,531
2020,Број,Кантон Сарајево,M,580
2021,Број,Кантон Сарајево,M,529
2022,Број,Кантон Сарајево,M,496
2010,Број,Кантон Сарајево,Ж,161
2011,Број,Кантон Сарајево,Ж,449
2012,Број,Кантон Сарајево,Ж,741
2013,Број,Кантон Сарајево,Ж,972
2014,Број,Кантон Сарајево,Ж,849
2015,Број,Кантон Сарајево,Ж,930
2016,Број,Кантон Сарајево,Ж,1193
2017,Број,Кантон Сарајево,Ж,1076
2018,Број,Кантон Сарајево,Ж,939
2019,Број,Кантон Сарајево,Ж,947
2020,Број,Кантон Сарајево,Ж,1048
2021,Број,Кантон Сарајево,Ж,1060
2022,Број,Кантон Сарајево,Ж,950
