Year,UNIT_MEASURE,Administrative Area,Type of education,Sex,Value
2016,Number,Tuzla Canton,Masters,Both sexes,
2016,Number,Tuzla Canton,Masters,M,
2016,Number,Tuzla Canton,Masters,F,
2017,Number,Tuzla Canton,Masters,Both sexes,
2017,Number,Tuzla Canton,Masters,M,
2017,Number,Tuzla Canton,Masters,F,
2018,Number,Tuzla Canton,Masters,Both sexes,
2018,Number,Tuzla Canton,Masters,M,
2018,Number,Tuzla Canton,Masters,F,
2019,Number,Tuzla Canton,Masters,Both sexes,
2019,Number,Tuzla Canton,Masters,M,
2019,Number,Tuzla Canton,Masters,F,
2020,Number,Tuzla Canton,Masters,Both sexes,
2020,Number,Tuzla Canton,Masters,M,
2020,Number,Tuzla Canton,Masters,F,
2016,Number,Tuzla Canton,Specialists,Both sexes,
2016,Number,Tuzla Canton,Specialists,M,
2016,Number,Tuzla Canton,Specialists,F,
2017,Number,Tuzla Canton,Specialists,Both sexes,
2017,Number,Tuzla Canton,Specialists,M,
2017,Number,Tuzla Canton,Specialists,F,
2018,Number,Tuzla Canton,Specialists,Both sexes,
2018,Number,Tuzla Canton,Specialists,M,
2018,Number,Tuzla Canton,Specialists,F,
2019,Number,Tuzla Canton,Specialists,Both sexes,
2019,Number,Tuzla Canton,Specialists,M,
2019,Number,Tuzla Canton,Specialists,F,
2020,Number,Tuzla Canton,Specialists,Both sexes,
2020,Number,Tuzla Canton,Specialists,M,
2020,Number,Tuzla Canton,Specialists,F,
2016,Number,Una-Sana Canton,Masters of science,Both sexes,
2016,Number,Una-Sana Canton,Masters of science,M,
2016,Number,Una-Sana Canton,Masters of science,F,
2017,Number,Una-Sana Canton,Masters of science,Both sexes,
2017,Number,Una-Sana Canton,Masters of science,M,
2017,Number,Una-Sana Canton,Masters of science,F,
2018,Number,Una-Sana Canton,Masters of science,Both sexes,
2018,Number,Una-Sana Canton,Masters of science,M,
2018,Number,Una-Sana Canton,Masters of science,F,
2019,Number,Una-Sana Canton,Masters of science,Both sexes,
2019,Number,Una-Sana Canton,Masters of science,M,
2019,Number,Una-Sana Canton,Masters of science,F,
2020,Number,Una-Sana Canton,Masters of science,Both sexes,
2020,Number,Una-Sana Canton,Masters of science,M,
2020,Number,Una-Sana Canton,Masters of science,F,
2016,Number,Una-Sana Canton,Masters,Both sexes,
2016,Number,Una-Sana Canton,Masters,M,
2016,Number,Una-Sana Canton,Masters,F,
2017,Number,Una-Sana Canton,Masters,Both sexes,
2017,Number,Una-Sana Canton,Masters,M,
2017,Number,Una-Sana Canton,Masters,F,
2018,Number,Una-Sana Canton,Masters,Both sexes,
2018,Number,Una-Sana Canton,Masters,M,
2018,Number,Una-Sana Canton,Masters,F,
2019,Number,Una-Sana Canton,Masters,Both sexes,
2019,Number,Una-Sana Canton,Masters,M,
2019,Number,Una-Sana Canton,Masters,F,
2020,Number,Una-Sana Canton,Masters,Both sexes,
2020,Number,Una-Sana Canton,Masters,M,
2020,Number,Una-Sana Canton,Masters,F,
2016,Number,Una-Sana Canton,Specialists,Both sexes,
2016,Number,Una-Sana Canton,Specialists,M,
2016,Number,Una-Sana Canton,Specialists,F,
2017,Number,Una-Sana Canton,Specialists,Both sexes,
2017,Number,Una-Sana Canton,Specialists,M,
2017,Number,Una-Sana Canton,Specialists,F,
2018,Number,Una-Sana Canton,Specialists,Both sexes,
2018,Number,Una-Sana Canton,Specialists,M,
2018,Number,Una-Sana Canton,Specialists,F,
2019,Number,Una-Sana Canton,Specialists,Both sexes,
2019,Number,Una-Sana Canton,Specialists,M,
