Year,UNIT_MEASURE,Administrativna oblast,Spol,Value
2015,Broj,herzegovina-neretva_canton,Ž,
2016,Broj,herzegovina-neretva_canton,Ž,
2017,Broj,herzegovina-neretva_canton,Ž,
2018,Broj,herzegovina-neretva_canton,Ž,
2019,Broj,herzegovina-neretva_canton,Ž,
2010,Broj,west_herzegovina_canton,Oba spola,
2011,Broj,west_herzegovina_canton,Oba spola,
2012,Broj,west_herzegovina_canton,Oba spola,
2013,Broj,west_herzegovina_canton,Oba spola,
2014,Broj,west_herzegovina_canton,Oba spola,
2015,Broj,west_herzegovina_canton,Oba spola,
2016,Broj,west_herzegovina_canton,Oba spola,
2017,Broj,west_herzegovina_canton,Oba spola,
2018,Broj,west_herzegovina_canton,Oba spola,
2019,Broj,west_herzegovina_canton,Oba spola,
2010,Broj,west_herzegovina_canton,M,
2011,Broj,west_herzegovina_canton,M,
2012,Broj,west_herzegovina_canton,M,
2013,Broj,west_herzegovina_canton,M,
2014,Broj,west_herzegovina_canton,M,
2015,Broj,west_herzegovina_canton,M,
2016,Broj,west_herzegovina_canton,M,
2017,Broj,west_herzegovina_canton,M,
2018,Broj,west_herzegovina_canton,M,
2019,Broj,west_herzegovina_canton,M,
2010,Broj,west_herzegovina_canton,Ž,
2011,Broj,west_herzegovina_canton,Ž,
2012,Broj,west_herzegovina_canton,Ž,
2013,Broj,west_herzegovina_canton,Ž,
2014,Broj,west_herzegovina_canton,Ž,
2015,Broj,west_herzegovina_canton,Ž,
2016,Broj,west_herzegovina_canton,Ž,
2017,Broj,west_herzegovina_canton,Ž,
2018,Broj,west_herzegovina_canton,Ž,
2019,Broj,west_herzegovina_canton,Ž,
2010,Broj,sarajevo_canton,Oba spola,
2011,Broj,sarajevo_canton,Oba spola,
2012,Broj,sarajevo_canton,Oba spola,
2013,Broj,sarajevo_canton,Oba spola,
2014,Broj,sarajevo_canton,Oba spola,
2015,Broj,sarajevo_canton,Oba spola,
2016,Broj,sarajevo_canton,Oba spola,
2017,Broj,sarajevo_canton,Oba spola,
2018,Broj,sarajevo_canton,Oba spola,
2019,Broj,sarajevo_canton,Oba spola,
2010,Broj,sarajevo_canton,M,
2011,Broj,sarajevo_canton,M,
2012,Broj,sarajevo_canton,M,
2013,Broj,sarajevo_canton,M,
2014,Broj,sarajevo_canton,M,
2015,Broj,sarajevo_canton,M,
2016,Broj,sarajevo_canton,M,
2017,Broj,sarajevo_canton,M,
2018,Broj,sarajevo_canton,M,
2019,Broj,sarajevo_canton,M,
2010,Broj,sarajevo_canton,Ž,
2011,Broj,sarajevo_canton,Ž,
2012,Broj,sarajevo_canton,Ž,
2013,Broj,sarajevo_canton,Ž,
2014,Broj,sarajevo_canton,Ž,
2015,Broj,sarajevo_canton,Ž,
2016,Broj,sarajevo_canton,Ž,
2017,Broj,sarajevo_canton,Ž,
2018,Broj,sarajevo_canton,Ž,
2019,Broj,sarajevo_canton,Ž,
2010,Broj,canton_10,Oba spola,
2011,Broj,canton_10,Oba spola,
2012,Broj,canton_10,Oba spola,
2013,Broj,canton_10,Oba spola,
2014,Broj,canton_10,Oba spola,
2015,Broj,canton_10,Oba spola,
2016,Broj,canton_10,Oba spola,
2017,Broj,canton_10,Oba spola,
2018,Broj,canton_10,Oba spola,
2019,Broj,canton_10,Oba spola,
2010,Broj,canton_10,M,
2011,Broj,canton_10,M,
2012,Broj,canton_10,M,
2013,Broj,canton_10,M,
2014,Broj,canton_10,M,
2015,Broj,canton_10,M,
2016,Broj,canton_10,M,
2017,Broj,canton_10,M,
2018,Broj,canton_10,M,
2019,Broj,canton_10,M,
2010,Broj,canton_10,Ž,
2011,Broj,canton_10,Ž,
2012,Broj,canton_10,Ž,
2013,Broj,canton_10,Ž,
2014,Broj,canton_10,Ž,
2015,Broj,canton_10,Ž,
2016,Broj,canton_10,Ž,
2017,Broj,canton_10,Ž,
2018,Broj,canton_10,Ž,
2019,Broj,canton_10,Ž,
