Year,UNIT_MEASURE,ADMIN_AREA,SEX,Disabilities,Value
2013,NUMBER,trnovo-fbih,F,_T,113
2013,NUMBER,tuzla,F,_T,7478
2013,NUMBER,usora,F,_T,251
2013,NUMBER,vares,F,_T,664
2013,NUMBER,velika_kladusa,F,_T,1983
2013,NUMBER,visoko,F,_T,1673
2013,NUMBER,vitez,F,_T,1141
2013,NUMBER,vogosca,F,_T,1361
2013,NUMBER,zavidovici,F,_T,1937
2013,NUMBER,zenica,F,_T,4879
2013,NUMBER,zepce,F,_T,1240
2013,NUMBER,zivinice,F,_T,3333
2013,NUMBER,banovici,_T,eyesight,750
2013,NUMBER,bihac,_T,eyesight,2073
2013,NUMBER,bosanska_krupa,_T,eyesight,1158
2013,NUMBER,bosanski_petrovac,_T,eyesight,254
2013,NUMBER,bosansko_grahovo,_T,eyesight,156
2013,NUMBER,breza,_T,eyesight,493
2013,NUMBER,bugojno,_T,eyesight,950
2013,NUMBER,busovaca,_T,eyesight,538
2013,NUMBER,buzim,_T,eyesight,465
2013,NUMBER,cazin,_T,eyesight,1906
2013,NUMBER,centar_sarajevo,_T,eyesight,1787
2013,NUMBER,capljina,_T,eyesight,736
2013,NUMBER,celic,_T,eyesight,553
2013,NUMBER,citluk,_T,eyesight,406
2013,NUMBER,doboj-istok,_T,eyesight,372
2013,NUMBER,doboj-jug,_T,eyesight,145
2013,NUMBER,dobretici,_T,eyesight,62
2013,NUMBER,domaljevac-samac,_T,eyesight,223
2013,NUMBER,donji_vakuf,_T,eyesight,503
2013,NUMBER,drvar,_T,eyesight,497
2013,NUMBER,foca-fbih,_T,eyesight,81
2013,NUMBER,fojnica,_T,eyesight,555
2013,NUMBER,glamoc,_T,eyesight,241
2013,NUMBER,gorazde,_T,eyesight,959
2013,NUMBER,gornji_vakuf-uskoplje,_T,eyesight,567
2013,NUMBER,gracanica,_T,eyesight,1400
2013,NUMBER,gradacac,_T,eyesight,1192
2013,NUMBER,grude,_T,eyesight,346
2013,NUMBER,hadzici,_T,eyesight,917
2013,NUMBER,ilidza,_T,eyesight,2009
2013,NUMBER,ilijas,_T,eyesight,724
2013,NUMBER,jablanica,_T,eyesight,271
2013,NUMBER,jajce,_T,eyesight,912
2013,NUMBER,kakanj,_T,eyesight,994
2013,NUMBER,kalesija,_T,eyesight,1405
2013,NUMBER,kiseljak,_T,eyesight,624
2013,NUMBER,kladanj,_T,eyesight,426
2013,NUMBER,kljuc,_T,eyesight,388
2013,NUMBER,konjic,_T,eyesight,838
2013,NUMBER,kresevo,_T,eyesight,176
2013,NUMBER,kupres-fbih,_T,eyesight,151
2013,NUMBER,livno,_T,eyesight,622
2013,NUMBER,lukavac,_T,eyesight,2247
2013,NUMBER,ljubuski,_T,eyesight,652
2013,NUMBER,maglaj,_T,eyesight,936
2013,NUMBER,mostar,_T,eyesight,2733
2013,NUMBER,neum,_T,eyesight,113
2013,NUMBER,novi_grad_sarajevo,_T,eyesight,4078
2013,NUMBER,novi_travnik,_T,eyesight,804
2013,NUMBER,novo_sarajevo,_T,eyesight,1803
2013,NUMBER,odzak,_T,eyesight,466
2013,NUMBER,olovo,_T,eyesight,439
2013,NUMBER,orasje,_T,eyesight,697
2013,NUMBER,pale-fbih,_T,eyesight,56
2013,NUMBER,posusje,_T,eyesight,356
2013,NUMBER,prozor,_T,eyesight,258
2013,NUMBER,ravno,_T,eyesight,42
2013,NUMBER,sanski_most,_T,eyesight,880
2013,NUMBER,sapna,_T,eyesight,226
2013,NUMBER,srebrenik,_T,eyesight,1779
2013,NUMBER,stari_grad_sarajevo,_T,eyesight,1538
2013,NUMBER,stolac,_T,eyesight,367
2013,NUMBER,siroki_brijeg,_T,eyesight,458
2013,NUMBER,teocak,_T,eyesight,211
2013,NUMBER,tesanj,_T,eyesight,1318
2013,NUMBER,tomislavgrad,_T,eyesight,365
2013,NUMBER,travnik,_T,eyesight,1696
2013,NUMBER,trnovo-fbih,_T,eyesight,74
2013,NUMBER,tuzla,_T,eyesight,5508
2013,NUMBER,usora,_T,eyesight,149
2013,NUMBER,vares,_T,eyesight,532
2013,NUMBER,velika_kladusa,_T,eyesight,1787
2013,NUMBER,visoko,_T,eyesight,1089
2013,NUMBER,vitez,_T,eyesight,971
2013,NUMBER,vogosca,_T,eyesight,1049
2013,NUMBER,zavidovici,_T,eyesight,1475
2013,NUMBER,zenica,_T,eyesight,3706
2013,NUMBER,zepce,_T,eyesight,974
2013,NUMBER,zivinice,_T,eyesight,2756
2013,NUMBER,banovici,M,eyesight,275
2013,NUMBER,bihac,M,eyesight,850
2013,NUMBER,bosanska_krupa,M,eyesight,509
2013,NUMBER,bosanski_petrovac,M,eyesight,108
2013,NUMBER,bosansko_grahovo,M,eyesight,62
2013,NUMBER,breza,M,eyesight,212
2013,NUMBER,bugojno,M,eyesight,414
2013,NUMBER,busovaca,M,eyesight,252
2013,NUMBER,buzim,M,eyesight,236
2013,NUMBER,cazin,M,eyesight,891
2013,NUMBER,centar_sarajevo,M,eyesight,671
2013,NUMBER,capljina,M,eyesight,341
2013,NUMBER,celic,M,eyesight,219
2013,NUMBER,citluk,M,eyesight,174
2013,NUMBER,doboj-istok,M,eyesight,182
2013,NUMBER,doboj-jug,M,eyesight,69
2013,NUMBER,dobretici,M,eyesight,28
2013,NUMBER,domaljevac-samac,M,eyesight,101
2013,NUMBER,donji_vakuf,M,eyesight,225
2013,NUMBER,drvar,M,eyesight,186
2013,NUMBER,foca-fbih,M,eyesight,41
2013,NUMBER,fojnica,M,eyesight,239
2013,NUMBER,glamoc,M,eyesight,93
2013,NUMBER,gorazde,M,eyesight,421
2013,NUMBER,gornji_vakuf-uskoplje,M,eyesight,239
2013,NUMBER,gracanica,M,eyesight,582
2013,NUMBER,gradacac,M,eyesight,497
2013,NUMBER,grude,M,eyesight,130
2013,NUMBER,hadzici,M,eyesight,394
2013,NUMBER,ilidza,M,eyesight,812
2013,NUMBER,ilijas,M,eyesight,281
2013,NUMBER,jablanica,M,eyesight,118
2013,NUMBER,jajce,M,eyesight,388
2013,NUMBER,kakanj,M,eyesight,406
2013,NUMBER,kalesija,M,eyesight,613
2013,NUMBER,kiseljak,M,eyesight,272
2013,NUMBER,kladanj,M,eyesight,175
2013,NUMBER,kljuc,M,eyesight,155
2013,NUMBER,konjic,M,eyesight,348
2013,NUMBER,kresevo,M,eyesight,75
2013,NUMBER,kupres-fbih,M,eyesight,59
2013,NUMBER,livno,M,eyesight,279
2013,NUMBER,lukavac,M,eyesight,884
2013,NUMBER,ljubuski,M,eyesight,254
2013,NUMBER,maglaj,M,eyesight,364
2013,NUMBER,mostar,M,eyesight,1129
2013,NUMBER,neum,M,eyesight,50
2013,NUMBER,novi_grad_sarajevo,M,eyesight,1587
2013,NUMBER,novi_travnik,M,eyesight,350
2013,NUMBER,novo_sarajevo,M,eyesight,657
2013,NUMBER,odzak,M,eyesight,194
2013,NUMBER,olovo,M,eyesight,168
2013,NUMBER,orasje,M,eyesight,297
2013,NUMBER,pale-fbih,M,eyesight,23
2013,NUMBER,posusje,M,eyesight,175
2013,NUMBER,prozor,M,eyesight,122
2013,NUMBER,ravno,M,eyesight,17
2013,NUMBER,sanski_most,M,eyesight,373
2013,NUMBER,sapna,M,eyesight,102
2013,NUMBER,srebrenik,M,eyesight,697
2013,NUMBER,stari_grad_sarajevo,M,eyesight,579
2013,NUMBER,stolac,M,eyesight,158
2013,NUMBER,siroki_brijeg,M,eyesight,180
2013,NUMBER,teocak,M,eyesight,95
2013,NUMBER,tesanj,M,eyesight,549
2013,NUMBER,tomislavgrad,M,eyesight,167
2013,NUMBER,travnik,M,eyesight,731
2013,NUMBER,trnovo-fbih,M,eyesight,32
2013,NUMBER,tuzla,M,eyesight,2096
2013,NUMBER,usora,M,eyesight,55
2013,NUMBER,vares,M,eyesight,206
