Year,UNIT_MEASURE,Administrative Area,Type of school,Sex,Value
2019,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,F,20
2020,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,F,24
2021,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,F,21
2022,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,F,26
2016,Number,Tuzla Canton,High schools for students with disabilities,F,1
2017,Number,Tuzla Canton,High schools for students with disabilities,F,1
2018,Number,Tuzla Canton,High schools for students with disabilities,F,1
2019,Number,Tuzla Canton,High schools for students with disabilities,F,2
2020,Number,Tuzla Canton,High schools for students with disabilities,F,3
2016,Number,Zenica-Doboj Canton,High schools for students with disabilities,F,6
2017,Number,Zenica-Doboj Canton,High schools for students with disabilities,F,6
2018,Number,Zenica-Doboj Canton,High schools for students with disabilities,F,6
2019,Number,Zenica-Doboj Canton,High schools for students with disabilities,F,0
2020,Number,Zenica-Doboj Canton,High schools for students with disabilities,F,8
2021,Number,Zenica-Doboj Canton,High schools for students with disabilities,F,12
2022,Number,Zenica-Doboj Canton,High schools for students with disabilities,F,5
2016,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,F,2
2017,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,F,9
2018,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,F,5
2019,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,F,4
2020,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,F,4
2021,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,F,0
2022,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,F,1
2016,Number,West Herzegovina Canton,High schools for students with disabilities,F,2
2017,Number,West Herzegovina Canton,High schools for students with disabilities,F,0
2018,Number,West Herzegovina Canton,High schools for students with disabilities,F,2
2019,Number,West Herzegovina Canton,High schools for students with disabilities,F,0
2020,Number,West Herzegovina Canton,High schools for students with disabilities,F,1
2021,Number,West Herzegovina Canton,High schools for students with disabilities,F,0
2022,Number,West Herzegovina Canton,High schools for students with disabilities,F,1
2016,Number,Sarajevo Canton,High schools for students with disabilities,F,20
2017,Number,Sarajevo Canton,High schools for students with disabilities,F,10
2018,Number,Sarajevo Canton,High schools for students with disabilities,F,7
2019,Number,Sarajevo Canton,High schools for students with disabilities,F,14
2020,Number,Sarajevo Canton,High schools for students with disabilities,F,5
2021,Number,Sarajevo Canton,High schools for students with disabilities,F,8
2022,Number,Sarajevo Canton,High schools for students with disabilities,F,19
2016,Number,Canton 10,High schools for students with disabilities,F,0
2017,Number,Canton 10,High schools for students with disabilities,F,0
2018,Number,Canton 10,High schools for students with disabilities,F,0
2019,Number,Canton 10,High schools for students with disabilities,F,0
2020,Number,Canton 10,High schools for students with disabilities,F,3
2021,Number,Canton 10,High schools for students with disabilities,F,1
2022,Number,Canton 10,High schools for students with disabilities,F,0
2016,Number,Federation of Bosnia and Herzegovina,Religious schools,Both sexes,491
2017,Number,Federation of Bosnia and Herzegovina,Religious schools,Both sexes,459
2018,Number,Federation of Bosnia and Herzegovina,Religious schools,Both sexes,504
2019,Number,Federation of Bosnia and Herzegovina,Religious schools,Both sexes,540
2020,Number,Federation of Bosnia and Herzegovina,Religious schools,Both sexes,507
2021,Number,Federation of Bosnia and Herzegovina,Religious schools,Both sexes,545
2022,Number,Federation of Bosnia and Herzegovina,Religious schools,Both sexes,482
2016,Number,Una-Sana Canton,Religious schools,Both sexes,63
2017,Number,Una-Sana Canton,Religious schools,Both sexes,49
2018,Number,Una-Sana Canton,Religious schools,Both sexes,63
2019,Number,Una-Sana Canton,Religious schools,Both sexes,70
2020,Number,Una-Sana Canton,Religious schools,Both sexes,55
2021,Number,Una-Sana Canton,Religious schools,Both sexes,55
2022,Number,Una-Sana Canton,Religious schools,Both sexes,52
2016,Number,Tuzla Canton,Religious schools,Both sexes,115
2017,Number,Tuzla Canton,Religious schools,Both sexes,114
2018,Number,Tuzla Canton,Religious schools,Both sexes,120
2019,Number,Tuzla Canton,Religious schools,Both sexes,125
2020,Number,Tuzla Canton,Religious schools,Both sexes,125
2021,Number,Tuzla Canton,Religious schools,Both sexes,125
2022,Number,Tuzla Canton,Religious schools,Both sexes,121
2016,Number,Zenica-Doboj Canton,Religious schools,Both sexes,56
2017,Number,Zenica-Doboj Canton,Religious schools,Both sexes,43
2018,Number,Zenica-Doboj Canton,Religious schools,Both sexes,56
2019,Number,Zenica-Doboj Canton,Religious schools,Both sexes,55
2020,Number,Zenica-Doboj Canton,Religious schools,Both sexes,46
2021,Number,Zenica-Doboj Canton,Religious schools,Both sexes,52
2022,Number,Zenica-Doboj Canton,Religious schools,Both sexes,45
2016,Number,Central Bosnia Canton,Religious schools,Both sexes,87
2017,Number,Central Bosnia Canton,Religious schools,Both sexes,81
2018,Number,Central Bosnia Canton,Religious schools,Both sexes,87
2019,Number,Central Bosnia Canton,Religious schools,Both sexes,99
2020,Number,Central Bosnia Canton,Religious schools,Both sexes,101
2021,Number,Central Bosnia Canton,Religious schools,Both sexes,125
2022,Number,Central Bosnia Canton,Religious schools,Both sexes,92
2016,Number,Herzegovina-Neretva Canton,Religious schools,Both sexes,72
2017,Number,Herzegovina-Neretva Canton,Religious schools,Both sexes,61
2018,Number,Herzegovina-Neretva Canton,Religious schools,Both sexes,54
2019,Number,Herzegovina-Neretva Canton,Religious schools,Both sexes,72
2020,Number,Herzegovina-Neretva Canton,Religious schools,Both sexes,67
2021,Number,Herzegovina-Neretva Canton,Religious schools,Both sexes,61
2022,Number,Herzegovina-Neretva Canton,Religious schools,Both sexes,54
2016,Number,Sarajevo Canton,Religious schools,Both sexes,98
2017,Number,Sarajevo Canton,Religious schools,Both sexes,111
2018,Number,Sarajevo Canton,Religious schools,Both sexes,124
2019,Number,Sarajevo Canton,Religious schools,Both sexes,119
2020,Number,Sarajevo Canton,Religious schools,Both sexes,113
2021,Number,Sarajevo Canton,Religious schools,Both sexes,127
2022,Number,Sarajevo Canton,Religious schools,Both sexes,118
2016,Number,Federation of Bosnia and Herzegovina,Religious schools,M,230
2017,Number,Federation of Bosnia and Herzegovina,Religious schools,M,224
2018,Number,Federation of Bosnia and Herzegovina,Religious schools,M,227
2019,Number,Federation of Bosnia and Herzegovina,Religious schools,M,238
2020,Number,Federation of Bosnia and Herzegovina,Religious schools,M,248
2021,Number,Federation of Bosnia and Herzegovina,Religious schools,M,249
2022,Number,Federation of Bosnia and Herzegovina,Religious schools,M,220
2016,Number,Una-Sana Canton,Religious schools,M,30
2017,Number,Una-Sana Canton,Religious schools,M,22
2018,Number,Una-Sana Canton,Religious schools,M,27
2019,Number,Una-Sana Canton,Religious schools,M,27
2020,Number,Una-Sana Canton,Religious schools,M,23
2021,Number,Una-Sana Canton,Religious schools,M,24
2022,Number,Una-Sana Canton,Religious schools,M,19
2016,Number,Tuzla Canton,Religious schools,M,64
2017,Number,Tuzla Canton,Religious schools,M,58
2018,Number,Tuzla Canton,Religious schools,M,60
2019,Number,Tuzla Canton,Religious schools,M,61
2020,Number,Tuzla Canton,Religious schools,M,61
2021,Number,Tuzla Canton,Religious schools,M,61
2022,Number,Tuzla Canton,Religious schools,M,60
2016,Number,Zenica-Doboj Canton,Religious schools,M,27
2017,Number,Zenica-Doboj Canton,Religious schools,M,21
2018,Number,Zenica-Doboj Canton,Religious schools,M,25
2019,Number,Zenica-Doboj Canton,Religious schools,M,28
2020,Number,Zenica-Doboj Canton,Religious schools,M,26
2021,Number,Zenica-Doboj Canton,Religious schools,M,26
2022,Number,Zenica-Doboj Canton,Religious schools,M,19
2016,Number,Central Bosnia Canton,Religious schools,M,30
2017,Number,Central Bosnia Canton,Religious schools,M,35
2018,Number,Central Bosnia Canton,Religious schools,M,32
2019,Number,Central Bosnia Canton,Religious schools,M,44
2020,Number,Central Bosnia Canton,Religious schools,M,47
2021,Number,Central Bosnia Canton,Religious schools,M,50
2022,Number,Central Bosnia Canton,Religious schools,M,47
2016,Number,Herzegovina-Neretva Canton,Religious schools,M,40
2017,Number,Herzegovina-Neretva Canton,Religious schools,M,34
2018,Number,Herzegovina-Neretva Canton,Religious schools,M,26
2019,Number,Herzegovina-Neretva Canton,Religious schools,M,33
2020,Number,Herzegovina-Neretva Canton,Religious schools,M,40
2021,Number,Herzegovina-Neretva Canton,Religious schools,M,35
2022,Number,Herzegovina-Neretva Canton,Religious schools,M,31
2016,Number,Sarajevo Canton,Religious schools,M,39
2017,Number,Sarajevo Canton,Religious schools,M,54
2018,Number,Sarajevo Canton,Religious schools,M,57
2019,Number,Sarajevo Canton,Religious schools,M,45
2020,Number,Sarajevo Canton,Religious schools,M,51
2021,Number,Sarajevo Canton,Religious schools,M,53
2022,Number,Sarajevo Canton,Religious schools,M,44
2016,Number,Federation of Bosnia and Herzegovina,Religious schools,F,261
2017,Number,Federation of Bosnia and Herzegovina,Religious schools,F,235
2018,Number,Federation of Bosnia and Herzegovina,Religious schools,F,277
2019,Number,Federation of Bosnia and Herzegovina,Religious schools,F,302
2020,Number,Federation of Bosnia and Herzegovina,Religious schools,F,259
2021,Number,Federation of Bosnia and Herzegovina,Religious schools,F,296
2022,Number,Federation of Bosnia and Herzegovina,Religious schools,F,262
2016,Number,Una-Sana Canton,Religious schools,F,33
2017,Number,Una-Sana Canton,Religious schools,F,27
2018,Number,Una-Sana Canton,Religious schools,F,36
2019,Number,Una-Sana Canton,Religious schools,F,43
2020,Number,Una-Sana Canton,Religious schools,F,32
2021,Number,Una-Sana Canton,Religious schools,F,31
2022,Number,Una-Sana Canton,Religious schools,F,33
2016,Number,Tuzla Canton,Religious schools,F,51
2017,Number,Tuzla Canton,Religious schools,F,56
2018,Number,Tuzla Canton,Religious schools,F,60
2019,Number,Tuzla Canton,Religious schools,F,64
2020,Number,Tuzla Canton,Religious schools,F,64
2021,Number,Tuzla Canton,Religious schools,F,64
2022,Number,Tuzla Canton,Religious schools,F,61
2016,Number,Zenica-Doboj Canton,Religious schools,F,29
2017,Number,Zenica-Doboj Canton,Religious schools,F,22
2018,Number,Zenica-Doboj Canton,Religious schools,F,31
2019,Number,Zenica-Doboj Canton,Religious schools,F,27
2020,Number,Zenica-Doboj Canton,Religious schools,F,20
2021,Number,Zenica-Doboj Canton,Religious schools,F,26
2022,Number,Zenica-Doboj Canton,Religious schools,F,26
2016,Number,Central Bosnia Canton,Religious schools,F,57
2017,Number,Central Bosnia Canton,Religious schools,F,46
2018,Number,Central Bosnia Canton,Religious schools,F,55
2019,Number,Central Bosnia Canton,Religious schools,F,55
2020,Number,Central Bosnia Canton,Religious schools,F,54
2021,Number,Central Bosnia Canton,Religious schools,F,75
2022,Number,Central Bosnia Canton,Religious schools,F,45
2016,Number,Herzegovina-Neretva Canton,Religious schools,F,32
2017,Number,Herzegovina-Neretva Canton,Religious schools,F,27
2018,Number,Herzegovina-Neretva Canton,Religious schools,F,28
2019,Number,Herzegovina-Neretva Canton,Religious schools,F,39
2020,Number,Herzegovina-Neretva Canton,Religious schools,F,27
2021,Number,Herzegovina-Neretva Canton,Religious schools,F,26
2022,Number,Herzegovina-Neretva Canton,Religious schools,F,23
2016,Number,Sarajevo Canton,Religious schools,F,59
2017,Number,Sarajevo Canton,Religious schools,F,57
2018,Number,Sarajevo Canton,Religious schools,F,67
2019,Number,Sarajevo Canton,Religious schools,F,74
2020,Number,Sarajevo Canton,Religious schools,F,62
2021,Number,Sarajevo Canton,Religious schools,F,74
2022,Number,Sarajevo Canton,Religious schools,F,74
2016,Number,Federation of Bosnia and Herzegovina,Technical high schools,Both sexes,11723
2017,Number,Federation of Bosnia and Herzegovina,Technical high schools,Both sexes,8944
2018,Number,Federation of Bosnia and Herzegovina,Technical high schools,Both sexes,10266
2019,Number,Federation of Bosnia and Herzegovina,Technical high schools,Both sexes,10551
2020,Number,Federation of Bosnia and Herzegovina,Technical high schools,Both sexes,9859
2021,Number,Federation of Bosnia and Herzegovina,Technical high schools,Both sexes,9303
2022,Number,Federation of Bosnia and Herzegovina,Technical high schools,Both sexes,7858
2016,Number,Una-Sana Canton,Technical high schools,Both sexes,1295
2017,Number,Una-Sana Canton,Technical high schools,Both sexes,880
2018,Number,Una-Sana Canton,Technical high schools,Both sexes,1421
2019,Number,Una-Sana Canton,Technical high schools,Both sexes,1091
2020,Number,Una-Sana Canton,Technical high schools,Both sexes,919
2021,Number,Una-Sana Canton,Technical high schools,Both sexes,926
2022,Number,Una-Sana Canton,Technical high schools,Both sexes,895
2016,Number,Posavina Canton,Technical high schools,Both sexes,244
2017,Number,Posavina Canton,Technical high schools,Both sexes,223
2018,Number,Posavina Canton,Technical high schools,Both sexes,237
2019,Number,Posavina Canton,Technical high schools,Both sexes,145
2020,Number,Posavina Canton,Technical high schools,Both sexes,173
2021,Number,Posavina Canton,Technical high schools,Both sexes,126
2022,Number,Posavina Canton,Technical high schools,Both sexes,138
2016,Number,Tuzla Canton,Technical high schools,Both sexes,2460
2017,Number,Tuzla Canton,Technical high schools,Both sexes,1954
2018,Number,Tuzla Canton,Technical high schools,Both sexes,1997
2019,Number,Tuzla Canton,Technical high schools,Both sexes,2370
2020,Number,Tuzla Canton,Technical high schools,Both sexes,2097
2021,Number,Tuzla Canton,Technical high schools,Both sexes,1903
2022,Number,Tuzla Canton,Technical high schools,Both sexes,1879
2016,Number,Zenica-Doboj Canton,Technical high schools,Both sexes,1864
2017,Number,Zenica-Doboj Canton,Technical high schools,Both sexes,1341
2018,Number,Zenica-Doboj Canton,Technical high schools,Both sexes,1558
