Year,UNIT_MEASURE,Административно подручје,Пол,Value
2014,Број,una-sana_canton,Ж,
2015,Број,una-sana_canton,Ж,
2016,Број,una-sana_canton,Ж,
2017,Број,una-sana_canton,Ж,
2018,Број,una-sana_canton,Ж,
2010,Број,posavina_canton,Оба пола,
2011,Број,posavina_canton,Оба пола,
2012,Број,posavina_canton,Оба пола,
2013,Број,posavina_canton,Оба пола,
2014,Број,posavina_canton,Оба пола,
2015,Број,posavina_canton,Оба пола,
2016,Број,posavina_canton,Оба пола,
2017,Број,posavina_canton,Оба пола,
2018,Број,posavina_canton,Оба пола,
2010,Број,posavina_canton,M,
2011,Број,posavina_canton,M,
2012,Број,posavina_canton,M,
2013,Број,posavina_canton,M,
2014,Број,posavina_canton,M,
2015,Број,posavina_canton,M,
2016,Број,posavina_canton,M,
2017,Број,posavina_canton,M,
2018,Број,posavina_canton,M,
2010,Број,posavina_canton,Ж,
2011,Број,posavina_canton,Ж,
2012,Број,posavina_canton,Ж,
2013,Број,posavina_canton,Ж,
2014,Број,posavina_canton,Ж,
2015,Број,posavina_canton,Ж,
2016,Број,posavina_canton,Ж,
2017,Број,posavina_canton,Ж,
2018,Број,posavina_canton,Ж,
2010,Број,tuzla_canton,Оба пола,
2011,Број,tuzla_canton,Оба пола,
2012,Број,tuzla_canton,Оба пола,
2013,Број,tuzla_canton,Оба пола,
2014,Број,tuzla_canton,Оба пола,
2015,Број,tuzla_canton,Оба пола,
2016,Број,tuzla_canton,Оба пола,
2017,Број,tuzla_canton,Оба пола,
2018,Број,tuzla_canton,Оба пола,
2010,Број,tuzla_canton,M,
2011,Број,tuzla_canton,M,
2012,Број,tuzla_canton,M,
2013,Број,tuzla_canton,M,
2014,Број,tuzla_canton,M,
2015,Број,tuzla_canton,M,
2016,Број,tuzla_canton,M,
2017,Број,tuzla_canton,M,
2018,Број,tuzla_canton,M,
2010,Број,tuzla_canton,Ж,
2011,Број,tuzla_canton,Ж,
2012,Број,tuzla_canton,Ж,
2013,Број,tuzla_canton,Ж,
2014,Број,tuzla_canton,Ж,
2015,Број,tuzla_canton,Ж,
2016,Број,tuzla_canton,Ж,
2017,Број,tuzla_canton,Ж,
2018,Број,tuzla_canton,Ж,
2010,Број,zenica-doboj_canton,Оба пола,
2011,Број,zenica-doboj_canton,Оба пола,
2012,Број,zenica-doboj_canton,Оба пола,
2013,Број,zenica-doboj_canton,Оба пола,
2014,Број,zenica-doboj_canton,Оба пола,
2015,Број,zenica-doboj_canton,Оба пола,
2016,Број,zenica-doboj_canton,Оба пола,
2017,Број,zenica-doboj_canton,Оба пола,
2018,Број,zenica-doboj_canton,Оба пола,
2010,Број,zenica-doboj_canton,M,
2011,Број,zenica-doboj_canton,M,
2012,Број,zenica-doboj_canton,M,
2013,Број,zenica-doboj_canton,M,
2014,Број,zenica-doboj_canton,M,
2015,Број,zenica-doboj_canton,M,
2016,Број,zenica-doboj_canton,M,
2017,Број,zenica-doboj_canton,M,
2018,Број,zenica-doboj_canton,M,
2010,Број,zenica-doboj_canton,Ж,
2011,Број,zenica-doboj_canton,Ж,
2012,Број,zenica-doboj_canton,Ж,
2013,Број,zenica-doboj_canton,Ж,
2014,Број,zenica-doboj_canton,Ж,
2015,Број,zenica-doboj_canton,Ж,
2016,Број,zenica-doboj_canton,Ж,
2017,Број,zenica-doboj_canton,Ж,
2018,Број,zenica-doboj_canton,Ж,
2010,Број,bosnian-podrinje_canton,Оба пола,
2011,Број,bosnian-podrinje_canton,Оба пола,
2012,Број,bosnian-podrinje_canton,Оба пола,
2013,Број,bosnian-podrinje_canton,Оба пола,
2014,Број,bosnian-podrinje_canton,Оба пола,
2015,Број,bosnian-podrinje_canton,Оба пола,
2016,Број,bosnian-podrinje_canton,Оба пола,
2017,Број,bosnian-podrinje_canton,Оба пола,
2018,Број,bosnian-podrinje_canton,Оба пола,
2010,Број,bosnian-podrinje_canton,M,
2011,Број,bosnian-podrinje_canton,M,
2012,Број,bosnian-podrinje_canton,M,
2013,Број,bosnian-podrinje_canton,M,
2014,Број,bosnian-podrinje_canton,M,
2015,Број,bosnian-podrinje_canton,M,
2016,Број,bosnian-podrinje_canton,M,
2017,Број,bosnian-podrinje_canton,M,
2018,Број,bosnian-podrinje_canton,M,
2010,Број,bosnian-podrinje_canton,Ж,
2011,Број,bosnian-podrinje_canton,Ж,
2012,Број,bosnian-podrinje_canton,Ж,
2013,Број,bosnian-podrinje_canton,Ж,
2014,Број,bosnian-podrinje_canton,Ж,
2015,Број,bosnian-podrinje_canton,Ж,
2016,Број,bosnian-podrinje_canton,Ж,
2017,Број,bosnian-podrinje_canton,Ж,
2018,Број,bosnian-podrinje_canton,Ж,
2010,Број,central_bosnia_canton,Оба пола,
2011,Број,central_bosnia_canton,Оба пола,
2012,Број,central_bosnia_canton,Оба пола,
2013,Број,central_bosnia_canton,Оба пола,
2014,Број,central_bosnia_canton,Оба пола,
2015,Број,central_bosnia_canton,Оба пола,
2016,Број,central_bosnia_canton,Оба пола,
2017,Број,central_bosnia_canton,Оба пола,
2018,Број,central_bosnia_canton,Оба пола,
2010,Број,central_bosnia_canton,M,
