Year,UNIT_MEASURE,Administrative Area,Type of school,Value
2018,Number,Central Bosnia Canton,Technical high schools,4590
2018,Number,Central Bosnia Canton,Vocational high schools,1606
2018,Number,Central Bosnia Canton,Art schools,83
2018,Number,Central Bosnia Canton,Religious schools,427
2019,Number,Central Bosnia Canton,Gymnasium,1416
2019,Number,Central Bosnia Canton,Technical high schools,4549
2019,Number,Central Bosnia Canton,Vocational high schools,1403
2019,Number,Central Bosnia Canton,Art schools,73
2019,Number,Central Bosnia Canton,Religious schools,437
2020,Number,Central Bosnia Canton,Gymnasium,1254
2020,Number,Central Bosnia Canton,Technical high schools,4716
2020,Number,Central Bosnia Canton,Vocational high schools,1382
2020,Number,Central Bosnia Canton,Art schools,70
2020,Number,Central Bosnia Canton,Religious schools,447
2021,Number,Central Bosnia Canton,Gymnasium,1098
2021,Number,Central Bosnia Canton,Technical high schools,4818
2021,Number,Central Bosnia Canton,Vocational high schools,1677
2021,Number,Central Bosnia Canton,Art schools,74
2021,Number,Central Bosnia Canton,Religious schools,430
2022,Number,Central Bosnia Canton,Gymnasium,1174
2022,Number,Central Bosnia Canton,Technical high schools,5678
2022,Number,Central Bosnia Canton,Vocational high schools,1496
2022,Number,Central Bosnia Canton,Art schools,84
2022,Number,Central Bosnia Canton,Religious schools,435
2023,Number,Central Bosnia Canton,Gymnasium,1164
2023,Number,Central Bosnia Canton,Technical high schools,5552
2023,Number,Central Bosnia Canton,Vocational high schools,1522
2023,Number,Central Bosnia Canton,Art schools,73
2023,Number,Central Bosnia Canton,Religious schools,438
2016,Number,Herzegovina-Neretva Canton,Gymnasium,2616
2016,Number,Herzegovina-Neretva Canton,Technical high schools,4329
2016,Number,Herzegovina-Neretva Canton,Vocational high schools,1210
2016,Number,Herzegovina-Neretva Canton,Art schools,154
2016,Number,Herzegovina-Neretva Canton,Religious schools,260
2016,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,45
2017,Number,Herzegovina-Neretva Canton,Gymnasium,2425
2017,Number,Herzegovina-Neretva Canton,Technical high schools,4035
2017,Number,Herzegovina-Neretva Canton,Vocational high schools,1216
2017,Number,Herzegovina-Neretva Canton,Art schools,108
2017,Number,Herzegovina-Neretva Canton,Religious schools,265
2017,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,40
2018,Number,Herzegovina-Neretva Canton,Gymnasium,2167
2018,Number,Herzegovina-Neretva Canton,Technical high schools,3875
2018,Number,Herzegovina-Neretva Canton,Vocational high schools,1129
2018,Number,Herzegovina-Neretva Canton,Art schools,150
2018,Number,Herzegovina-Neretva Canton,Religious schools,264
2018,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,29
2019,Number,Herzegovina-Neretva Canton,Gymnasium,1908
2019,Number,Herzegovina-Neretva Canton,Technical high schools,3968
2019,Number,Herzegovina-Neretva Canton,Vocational high schools,1026
2019,Number,Herzegovina-Neretva Canton,Art schools,145
2019,Number,Herzegovina-Neretva Canton,Religious schools,248
