Year,UNIT_MEASURE,Administrativna jedinica,Spol,Value
2011,Broj,Tuzlanska županija,M,698
2012,Broj,Tuzlanska županija,M,738
2013,Broj,Tuzlanska županija,M,732
2014,Broj,Tuzlanska županija,M,682
2015,Broj,Tuzlanska županija,M,595
2016,Broj,Tuzlanska županija,M,581
2017,Broj,Tuzlanska županija,M,540
2018,Broj,Tuzlanska županija,M,539
2019,Broj,Tuzlanska županija,M,569
2020,Broj,Tuzlanska županija,M,525
2021,Broj,Tuzlanska županija,M,485
2022,Broj,Tuzlanska županija,M,464
2010,Broj,Tuzlanska županija,Ž,1292
2011,Broj,Tuzlanska županija,Ž,1334
2012,Broj,Tuzlanska županija,Ž,1308
2013,Broj,Tuzlanska županija,Ž,1318
2014,Broj,Tuzlanska županija,Ž,1261
2015,Broj,Tuzlanska županija,Ž,1178
2016,Broj,Tuzlanska županija,Ž,967
2017,Broj,Tuzlanska županija,Ž,901
2018,Broj,Tuzlanska županija,Ž,910
2019,Broj,Tuzlanska županija,Ž,1087
2020,Broj,Tuzlanska županija,Ž,971
2021,Broj,Tuzlanska županija,Ž,919
2022,Broj,Tuzlanska županija,Ž,882
2010,Broj,Zeničko-dobojska županija,Oba spola,235
2011,Broj,Zeničko-dobojska županija,Oba spola,348
2012,Broj,Zeničko-dobojska županija,Oba spola,596
2013,Broj,Zeničko-dobojska županija,Oba spola,567
2014,Broj,Zeničko-dobojska županija,Oba spola,271
2015,Broj,Zeničko-dobojska županija,Oba spola,412
2016,Broj,Zeničko-dobojska županija,Oba spola,445
2017,Broj,Zeničko-dobojska županija,Oba spola,508
2018,Broj,Zeničko-dobojska županija,Oba spola,519
2019,Broj,Zeničko-dobojska županija,Oba spola,472
2020,Broj,Zeničko-dobojska županija,Oba spola,454
2021,Broj,Zeničko-dobojska županija,Oba spola,443
2022,Broj,Zeničko-dobojska županija,Oba spola,398
2010,Broj,Zeničko-dobojska županija,M,85
2011,Broj,Zeničko-dobojska županija,M,107
2012,Broj,Zeničko-dobojska županija,M,161
2013,Broj,Zeničko-dobojska županija,M,170
2014,Broj,Zeničko-dobojska županija,M,95
2015,Broj,Zeničko-dobojska županija,M,111
2016,Broj,Zeničko-dobojska županija,M,153
2017,Broj,Zeničko-dobojska županija,M,159
2018,Broj,Zeničko-dobojska županija,M,189
2019,Broj,Zeničko-dobojska županija,M,148
2020,Broj,Zeničko-dobojska županija,M,133
2021,Broj,Zeničko-dobojska županija,M,156
2022,Broj,Zeničko-dobojska županija,M,97
2010,Broj,Zeničko-dobojska županija,Ž,150
2011,Broj,Zeničko-dobojska županija,Ž,241
2012,Broj,Zeničko-dobojska županija,Ž,435
2013,Broj,Zeničko-dobojska županija,Ž,397
2014,Broj,Zeničko-dobojska županija,Ž,176
2015,Broj,Zeničko-dobojska županija,Ž,301
2016,Broj,Zeničko-dobojska županija,Ž,292
2017,Broj,Zeničko-dobojska županija,Ž,349
2018,Broj,Zeničko-dobojska županija,Ž,330
2019,Broj,Zeničko-dobojska županija,Ž,324
2020,Broj,Zeničko-dobojska županija,Ž,321
2021,Broj,Zeničko-dobojska županija,Ž,287
2022,Broj,Zeničko-dobojska županija,Ž,301
2017,Broj,Bosansko-podrinjska županija,Oba spola,5
2018,Broj,Bosansko-podrinjska županija,Oba spola,15
2019,Broj,Bosansko-podrinjska županija,Oba spola,3
2020,Broj,Bosansko-podrinjska županija,Oba spola,11
2021,Broj,Bosansko-podrinjska županija,Oba spola,33
2022,Broj,Bosansko-podrinjska županija,Oba spola,6
2017,Broj,Bosansko-podrinjska županija,M,4
2018,Broj,Bosansko-podrinjska županija,M,3
2019,Broj,Bosansko-podrinjska županija,M,3
2020,Broj,Bosansko-podrinjska županija,M,7
2021,Broj,Bosansko-podrinjska županija,M,10
2022,Broj,Bosansko-podrinjska županija,M,2
2017,Broj,Bosansko-podrinjska županija,Ž,1
2018,Broj,Bosansko-podrinjska županija,Ž,12
2020,Broj,Bosansko-podrinjska županija,Ž,4
2021,Broj,Bosansko-podrinjska županija,Ž,23
2022,Broj,Bosansko-podrinjska županija,Ž,4
2011,Broj,Srednjobosanska županija,Oba spola,135
2012,Broj,Srednjobosanska županija,Oba spola,472
2013,Broj,Srednjobosanska županija,Oba spola,910
2014,Broj,Srednjobosanska županija,Oba spola,867
2015,Broj,Srednjobosanska županija,Oba spola,1044
2016,Broj,Srednjobosanska županija,Oba spola,1188
2017,Broj,Srednjobosanska županija,Oba spola,1479
2018,Broj,Srednjobosanska županija,Oba spola,1244
2019,Broj,Srednjobosanska županija,Oba spola,1482
2020,Broj,Srednjobosanska županija,Oba spola,1461
2021,Broj,Srednjobosanska županija,Oba spola,1390
2022,Broj,Srednjobosanska županija,Oba spola,1546
2011,Broj,Srednjobosanska županija,M,64
2012,Broj,Srednjobosanska županija,M,279
2013,Broj,Srednjobosanska županija,M,478
2014,Broj,Srednjobosanska županija,M,484
2015,Broj,Srednjobosanska županija,M,547
2016,Broj,Srednjobosanska županija,M,732
2017,Broj,Srednjobosanska županija,M,932
2018,Broj,Srednjobosanska županija,M,769
2019,Broj,Srednjobosanska županija,M,925
2020,Broj,Srednjobosanska županija,M,842
2021,Broj,Srednjobosanska županija,M,801
2022,Broj,Srednjobosanska županija,M,835
2011,Broj,Srednjobosanska županija,Ž,71
2012,Broj,Srednjobosanska županija,Ž,193
2013,Broj,Srednjobosanska županija,Ž,432
2014,Broj,Srednjobosanska županija,Ž,383
2015,Broj,Srednjobosanska županija,Ž,497
2016,Broj,Srednjobosanska županija,Ž,456
2017,Broj,Srednjobosanska županija,Ž,547
2018,Broj,Srednjobosanska županija,Ž,475
2019,Broj,Srednjobosanska županija,Ž,557
2020,Broj,Srednjobosanska županija,Ž,619
2021,Broj,Srednjobosanska županija,Ž,589
2022,Broj,Srednjobosanska županija,Ž,711
2010,Broj,Hercegovačko-neretvanska županija,Oba spola,2138
2011,Broj,Hercegovačko-neretvanska županija,Oba spola,2421
2012,Broj,Hercegovačko-neretvanska županija,Oba spola,2422
