Year,UNIT_MEASURE,Administrativna jedinica,Spol,Najviša završena škola,Value
2013,Broj,Sarajevska županija,M,Nepotpuno osnovno obrazovanje,2568
2013,Broj,Sarajevska županija,M,Osnovna škola,19427
2013,Broj,Sarajevska županija,M,Srednja škola,99295
2013,Broj,Sarajevska županija,M,Specijalizacija poslije srednje škole,1938
2013,Broj,Sarajevska županija,M,Viša škola i prvi stepen fakulteta,7875
2013,Broj,Sarajevska županija,M,Visoka škola / fakultet / akademija / sveučilište,30178
2013,Broj,Županija 10,M,Ukupno,36209
2013,Broj,Županija 10,M,Bez obrazovanja,580
2013,Broj,Županija 10,M,Nepotpuno osnovno obrazovanje,2571
2013,Broj,Županija 10,M,Osnovna škola,6634
2013,Broj,Županija 10,M,Srednja škola,20611
2013,Broj,Županija 10,M,Specijalizacija poslije srednje škole,198
2013,Broj,Županija 10,M,Viša škola i prvi stepen fakulteta,1702
2013,Broj,Županija 10,M,Visoka škola / fakultet / akademija / sveučilište,3913
2013,Broj,Federacija Bosne i Hercegovine,Ž,Ukupno,957422
2013,Broj,Federacija Bosne i Hercegovine,Ž,Bez obrazovanja,69089
2013,Broj,Federacija Bosne i Hercegovine,Ž,Nepotpuno osnovno obrazovanje,121486
2013,Broj,Federacija Bosne i Hercegovine,Ž,Osnovna škola,235110
2013,Broj,Federacija Bosne i Hercegovine,Ž,Srednja škola,405039
2013,Broj,Federacija Bosne i Hercegovine,Ž,Specijalizacija poslije srednje škole,2249
2013,Broj,Federacija Bosne i Hercegovine,Ž,Viša škola i prvi stepen fakulteta,26200
2013,Broj,Federacija Bosne i Hercegovine,Ž,Visoka škola / fakultet / akademija / sveučilište,98249
2013,Broj,Unsko-sanska županija,Ž,Ukupno,114518
2013,Broj,Unsko-sanska županija,Ž,Bez obrazovanja,10671
2013,Broj,Unsko-sanska županija,Ž,Nepotpuno osnovno obrazovanje,15187
2013,Broj,Unsko-sanska županija,Ž,Osnovna škola,35894
2013,Broj,Unsko-sanska županija,Ž,Srednja škola,42150
2013,Broj,Unsko-sanska županija,Ž,Specijalizacija poslije srednje škole,244
2013,Broj,Unsko-sanska županija,Ž,Viša škola i prvi stepen fakulteta,3201
2013,Broj,Unsko-sanska županija,Ž,Visoka škola / fakultet / akademija / sveučilište,7171
2013,Broj,Posavska županija,Ž,Ukupno,18762
2013,Broj,Posavska županija,Ž,Bez obrazovanja,1510
2013,Broj,Posavska županija,Ž,Nepotpuno osnovno obrazovanje,3286
2013,Broj,Posavska županija,Ž,Osnovna škola,4649
2013,Broj,Posavska županija,Ž,Srednja škola,7637
2013,Broj,Posavska županija,Ž,Specijalizacija poslije srednje škole,54
2013,Broj,Posavska županija,Ž,Viša škola i prvi stepen fakulteta,429
2013,Broj,Posavska županija,Ž,Visoka škola / fakultet / akademija / sveučilište,1197
2013,Broj,Tuzlanska županija,Ž,Ukupno,193689
2013,Broj,Tuzlanska županija,Ž,Bez obrazovanja,16146
2013,Broj,Tuzlanska županija,Ž,Nepotpuno osnovno obrazovanje,30621
2013,Broj,Tuzlanska županija,Ž,Osnovna škola,51141
2013,Broj,Tuzlanska županija,Ž,Srednja škola,78306
2013,Broj,Tuzlanska županija,Ž,Specijalizacija poslije srednje škole,367
2013,Broj,Tuzlanska županija,Ž,Viša škola i prvi stepen fakulteta,3077
2013,Broj,Tuzlanska županija,Ž,Visoka škola / fakultet / akademija / sveučilište,14031
2013,Broj,Zeničko-dobojska županija,Ž,Ukupno,154153
2013,Broj,Zeničko-dobojska županija,Ž,Bez obrazovanja,11104
2013,Broj,Zeničko-dobojska županija,Ž,Nepotpuno osnovno obrazovanje,23417
2013,Broj,Zeničko-dobojska županija,Ž,Osnovna škola,43263
2013,Broj,Zeničko-dobojska županija,Ž,Srednja škola,62410
2013,Broj,Zeničko-dobojska županija,Ž,Specijalizacija poslije srednje škole,440
2013,Broj,Zeničko-dobojska županija,Ž,Viša škola i prvi stepen fakulteta,3141
2013,Broj,Zeničko-dobojska županija,Ž,Visoka škola / fakultet / akademija / sveučilište,10378
2013,Broj,Bosansko-podrinjska županija,Ž,Ukupno,10567
2013,Broj,Bosansko-podrinjska županija,Ž,Bez obrazovanja,974
2013,Broj,Bosansko-podrinjska županija,Ž,Nepotpuno osnovno obrazovanje,1300
2013,Broj,Bosansko-podrinjska županija,Ž,Osnovna škola,3047
2013,Broj,Bosansko-podrinjska županija,Ž,Srednja škola,4213
2013,Broj,Bosansko-podrinjska županija,Ž,Specijalizacija poslije srednje škole,30
2013,Broj,Bosansko-podrinjska županija,Ž,Viša škola i prvi stepen fakulteta,166
2013,Broj,Bosansko-podrinjska županija,Ž,Visoka škola / fakultet / akademija / sveučilište,837
2013,Broj,Srednjobosanska županija,Ž,Ukupno,106469
2013,Broj,Srednjobosanska županija,Ž,Bez obrazovanja,8977
2013,Broj,Srednjobosanska županija,Ž,Nepotpuno osnovno obrazovanje,16622
2013,Broj,Srednjobosanska županija,Ž,Osnovna škola,28299
2013,Broj,Srednjobosanska županija,Ž,Srednja škola,43466
2013,Broj,Srednjobosanska županija,Ž,Specijalizacija poslije srednje škole,189
2013,Broj,Srednjobosanska županija,Ž,Viša škola i prvi stepen fakulteta,2300
2013,Broj,Srednjobosanska županija,Ž,Visoka škola / fakultet / akademija / sveučilište,6616
2013,Broj,Hercegovačko-neretvanska županija,Ž,Ukupno,96219
2013,Broj,Hercegovačko-neretvanska županija,Ž,Bez obrazovanja,5742
2013,Broj,Hercegovačko-neretvanska županija,Ž,Nepotpuno osnovno obrazovanje,9991
2013,Broj,Hercegovačko-neretvanska županija,Ž,Osnovna škola,19610
2013,Broj,Hercegovačko-neretvanska županija,Ž,Srednja škola,44167
2013,Broj,Hercegovačko-neretvanska županija,Ž,Specijalizacija poslije srednje škole,249
2013,Broj,Hercegovačko-neretvanska županija,Ž,Viša škola i prvi stepen fakulteta,3797
2013,Broj,Hercegovačko-neretvanska županija,Ž,Visoka škola / fakultet / akademija / sveučilište,12663
2013,Broj,Zapadno-hercegovačka županija,Ž,Ukupno,39369
2013,Broj,Zapadno-hercegovačka županija,Ž,Bez obrazovanja,2510
2013,Broj,Zapadno-hercegovačka županija,Ž,Nepotpuno osnovno obrazovanje,4195
2013,Broj,Zapadno-hercegovačka županija,Ž,Osnovna škola,6518
2013,Broj,Zapadno-hercegovačka županija,Ž,Srednja škola,19340
2013,Broj,Zapadno-hercegovačka županija,Ž,Specijalizacija poslije srednje škole,130
2013,Broj,Zapadno-hercegovačka županija,Ž,Viša škola i prvi stepen fakulteta,1798
2013,Broj,Zapadno-hercegovačka županija,Ž,Visoka škola / fakultet / akademija / sveučilište,4878
2013,Broj,Sarajevska županija,Ž,Ukupno,187635
2013,Broj,Sarajevska županija,Ž,Bez obrazovanja,8349
2013,Broj,Sarajevska županija,Ž,Nepotpuno osnovno obrazovanje,12101
2013,Broj,Sarajevska županija,Ž,Osnovna škola,35528
2013,Broj,Sarajevska županija,Ž,Srednja škola,87633
2013,Broj,Sarajevska županija,Ž,Specijalizacija poslije srednje škole,447
2013,Broj,Sarajevska županija,Ž,Viša škola i prvi stepen fakulteta,6841
2013,Broj,Sarajevska županija,Ž,Visoka škola / fakultet / akademija / sveučilište,36736
2013,Broj,Županija 10,Ž,Ukupno,36041
2013,Broj,Županija 10,Ž,Bez obrazovanja,3106
2013,Broj,Županija 10,Ž,Nepotpuno osnovno obrazovanje,4766
2013,Broj,Županija 10,Ž,Osnovna škola,7161
2013,Broj,Županija 10,Ž,Srednja škola,15717
2013,Broj,Županija 10,Ž,Specijalizacija poslije srednje škole,99
2013,Broj,Županija 10,Ž,Viša škola i prvi stepen fakulteta,1450
2013,Broj,Županija 10,Ž,Visoka škola / fakultet / akademija / sveučilište,3742
