Year,UNIT_MEASURE,Općina,Spol,Vrsta poteškoće,Value
2013,Broj,Vitez,Oba spola,"Vid, iako nosi naočare",971
2013,Broj,Sarajevo-Vogošća,Oba spola,"Vid, iako nosi naočare",1049
2013,Broj,Zavidovići,Oba spola,"Vid, iako nosi naočare",1475
2013,Broj,Zenica,Oba spola,"Vid, iako nosi naočare",3706
2013,Broj,Žepče,Oba spola,"Vid, iako nosi naočare",974
2013,Broj,Živinice,Oba spola,"Vid, iako nosi naočare",2756
2013,Broj,Banovići,M,"Vid, iako nosi naočare",275
2013,Broj,Bihać,M,"Vid, iako nosi naočare",850
2013,Broj,Bosanska Krupa,M,"Vid, iako nosi naočare",509
2013,Broj,Bosanski Petrovac,M,"Vid, iako nosi naočare",108
2013,Broj,Bosansko Grahovo,M,"Vid, iako nosi naočare",62
2013,Broj,Breza,M,"Vid, iako nosi naočare",212
2013,Broj,Bugojno,M,"Vid, iako nosi naočare",414
2013,Broj,Busovača,M,"Vid, iako nosi naočare",252
2013,Broj,Bužim,M,"Vid, iako nosi naočare",236
2013,Broj,Cazin,M,"Vid, iako nosi naočare",891
2013,Broj,Sarajevo-Centar,M,"Vid, iako nosi naočare",671
2013,Broj,Čapljina,M,"Vid, iako nosi naočare",341
2013,Broj,Čelić,M,"Vid, iako nosi naočare",219
2013,Broj,Čitluk,M,"Vid, iako nosi naočare",174
2013,Broj,Doboj-Istok,M,"Vid, iako nosi naočare",182
2013,Broj,Doboj-Jug,M,"Vid, iako nosi naočare",69
2013,Broj,Dobretići,M,"Vid, iako nosi naočare",28
2013,Broj,Domaljevac-Šamac,M,"Vid, iako nosi naočare",101
2013,Broj,Donji Vakuf,M,"Vid, iako nosi naočare",225
2013,Broj,Drvar,M,"Vid, iako nosi naočare",186
2013,Broj,Foča-FBiH,M,"Vid, iako nosi naočare",41
2013,Broj,Fojnica,M,"Vid, iako nosi naočare",239
2013,Broj,Glamoč,M,"Vid, iako nosi naočare",93
2013,Broj,Goražde,M,"Vid, iako nosi naočare",421
2013,Broj,Gornji Vakuf-Uskoplje,M,"Vid, iako nosi naočare",239
2013,Broj,Gračanica,M,"Vid, iako nosi naočare",582
2013,Broj,Gradačac,M,"Vid, iako nosi naočare",497
2013,Broj,Grude,M,"Vid, iako nosi naočare",130
2013,Broj,Sarajevo-Hadžići,M,"Vid, iako nosi naočare",394
2013,Broj,Sarajevo-Ilidža,M,"Vid, iako nosi naočare",812
2013,Broj,Sarajevo-Ilijaš,M,"Vid, iako nosi naočare",281
2013,Broj,Jablanica,M,"Vid, iako nosi naočare",118
2013,Broj,Jajce,M,"Vid, iako nosi naočare",388
2013,Broj,Kakanj,M,"Vid, iako nosi naočare",406
2013,Broj,Kalesija,M,"Vid, iako nosi naočare",613
2013,Broj,Kiseljak,M,"Vid, iako nosi naočare",272
2013,Broj,Kladanj,M,"Vid, iako nosi naočare",175
2013,Broj,Ključ,M,"Vid, iako nosi naočare",155
2013,Broj,Konjic,M,"Vid, iako nosi naočare",348
2013,Broj,Kreševo,M,"Vid, iako nosi naočare",75
2013,Broj,Kupres-FBiH,M,"Vid, iako nosi naočare",59
2013,Broj,Livno,M,"Vid, iako nosi naočare",279
2013,Broj,Lukavac,M,"Vid, iako nosi naočare",884
2013,Broj,Ljubuški,M,"Vid, iako nosi naočare",254
2013,Broj,Maglaj,M,"Vid, iako nosi naočare",364
2013,Broj,Mostar,M,"Vid, iako nosi naočare",1129
2013,Broj,Neum,M,"Vid, iako nosi naočare",50
2013,Broj,Sarajevo-Novi Grad,M,"Vid, iako nosi naočare",1587
2013,Broj,Novi Travnik,M,"Vid, iako nosi naočare",350
2013,Broj,Sarajevo-Novo Sarajevo,M,"Vid, iako nosi naočare",657
2013,Broj,Odžak,M,"Vid, iako nosi naočare",194
2013,Broj,Olovo,M,"Vid, iako nosi naočare",168
2013,Broj,Orašje,M,"Vid, iako nosi naočare",297
2013,Broj,Pale-FBiH,M,"Vid, iako nosi naočare",23
2013,Broj,Posušje,M,"Vid, iako nosi naočare",175
2013,Broj,Prozor,M,"Vid, iako nosi naočare",122
2013,Broj,Ravno,M,"Vid, iako nosi naočare",17
2013,Broj,Sanski Most,M,"Vid, iako nosi naočare",373
2013,Broj,Sapna,M,"Vid, iako nosi naočare",102
2013,Broj,Srebrenik,M,"Vid, iako nosi naočare",697
2013,Broj,Sarajevo-Stari Grad,M,"Vid, iako nosi naočare",579
2013,Broj,Stolac,M,"Vid, iako nosi naočare",158
