Year,UNIT_MEASURE,Administrativna jedinica,Brojnost kućanstava,Value
2023,Broj,Neum,Ukupno,1394
2023,Broj,Prozor,Ukupno,3653
2023,Broj,Ravno,Ukupno,929
2023,Broj,Stolac,Ukupno,3884
2023,Broj,Zapadno-hercegovačka županija,Ukupno,25078
2023,Broj,Grude,Ukupno,4502
2023,Broj,Ljubuški,Ukupno,7444
2023,Broj,Posušje,Ukupno,5153
2023,Broj,Široki Brijeg,Ukupno,7979
2023,Broj,Sarajevska županija,Ukupno,148860
2023,Broj,Sarajevo-Centar,Ukupno,21482
2023,Broj,Sarajevo-Hadžići,Ukupno,7530
2023,Broj,Sarajevo-Ilidža,Ukupno,22295
2023,Broj,Sarajevo-Ilijaš,Ukupno,6383
2023,Broj,Sarajevo-Novi Grad,Ukupno,42274
2023,Broj,Sarajevo-Novo Sarajevo,Ukupno,25688
2023,Broj,Sarajevo-Stari Grad,Ukupno,13750
2023,Broj,Trnovo-FBiH,Ukupno,647
2023,Broj,Sarajevo-Vogošća,Ukupno,8811
2023,Broj,Županija 10,Ukupno,23755
2023,Broj,Bosansko Grahovo,Ukupno,1038
2023,Broj,Drvar,Ukupno,3033
2023,Broj,Glamoč,Ukupno,1437
2023,Broj,kupres,Ukupno,1488
2023,Broj,Livno,Ukupno,9028
2023,Broj,Tomislavgrad,Ukupno,7731
2023,Broj,Federacija Bosne i Hercegovine,1,125942
2023,Broj,Unsko-sanska županija,1,11192
2023,Broj,Bihać,1,3136
2023,Broj,Bosanska Krupa,1,1176
2023,Broj,Bosanski Petrovac,1,759
2023,Broj,Bužim,1,290
2023,Broj,Cazin,1,1558
2023,Broj,Ključ,1,788
2023,Broj,Sanski Most,1,1809
2023,Broj,Velika Kladuša,1,1676
2023,Broj,Posavska županija,1,2537
2023,Broj,Domaljevac-Šamac,1,207
2023,Broj,Odžak,1,1124
2023,Broj,Orašje,1,1206
2023,Broj,Tuzlanska županija,1,25880
2023,Broj,Banovići,1,1063
2023,Broj,Čelić,1,517
2023,Broj,Doboj-Istok,1,410
2023,Broj,Gračanica,1,2276
2023,Broj,Gradačac,1,1672
2023,Broj,Kalesija,1,1146
2023,Broj,Kladanj,1,528
2023,Broj,Lukavac,1,3319
2023,Broj,Sapna,1,366
2023,Broj,Srebrenik,1,2075
2023,Broj,Teočak,1,251
2023,Broj,Tuzla,1,9810
2023,Broj,Živinice,1,2447
2023,Broj,Zeničko-dobojska županija,1,20383
2023,Broj,Breza,1,937
2023,Broj,Doboj-Jug,1,166
2023,Broj,Kakanj,1,1922
2023,Broj,Maglaj,1,1351
2023,Broj,Olovo,1,584
2023,Broj,Tešanj,1,1819
2023,Broj,Usora,1,298
2023,Broj,Vareš,1,1016
2023,Broj,Visoko,1,1952
2023,Broj,Zavidovići,1,1917
2023,Broj,Zenica,1,7253
2023,Broj,Žepče,1,1168
2023,Broj,Bosansko-podrinjska županija,1,1937
2023,Broj,Foča-FBiH,1,225
2023,Broj,Goražde,1,1599
2023,Broj,Pale-FBiH,1,113
2023,Broj,Srednjobosanska županija,1,12274
2023,Broj,Bugojno,1,1438
2023,Broj,Busovača,1,885
2023,Broj,Dobretići,1,73
2023,Broj,Donji Vakuf,1,569
2023,Broj,Fojnica,1,721
2023,Broj,Gornji Vakuf-Uskoplje,1,675
2023,Broj,Jajce,1,1281
2023,Broj,Kiseljak,1,1199
2023,Broj,Kreševo,1,439
2023,Broj,Novi Travnik,1,1080
2023,Broj,Travnik,1,2579
2023,Broj,Vitez,1,1335
2023,Broj,Hercegovačko-neretvanska županija,1,11555
2023,Broj,Čapljina,1,1420
2023,Broj,Čitluk,1,591
2023,Broj,Mostar,1,6277
2023,Broj,Jablanica,1,448
2023,Broj,Konjic,1,1518
2023,Broj,Neum,1,242
2023,Broj,Prozor,1,434
2023,Broj,Ravno,1,137
2023,Broj,Stolac,1,488
2023,Broj,Zapadno-hercegovačka županija,1,3477
2023,Broj,Grude,1,668
2023,Broj,Ljubuški,1,1127
2023,Broj,Posušje,1,581
2023,Broj,Široki Brijeg,1,1101
2023,Broj,Sarajevska županija,1,32661
2023,Broj,Sarajevo-Centar,1,5731
2023,Broj,Sarajevo-Hadžići,1,1198
2023,Broj,Sarajevo-Ilidža,1,4040
2023,Broj,Sarajevo-Ilijaš,1,1017
2023,Broj,Sarajevo-Novi Grad,1,8666
2023,Broj,Sarajevo-Novo Sarajevo,1,6987
2023,Broj,Sarajevo-Stari Grad,1,3401
2023,Broj,Trnovo-FBiH,1,196
2023,Broj,Sarajevo-Vogošća,1,1425
2023,Broj,Županija 10,1,4046
2023,Broj,Bosansko Grahovo,1,352
2023,Broj,Drvar,1,1018
2023,Broj,Glamoč,1,404
2023,Broj,kupres,1,223
2023,Broj,Livno,1,1215
2023,Broj,Tomislavgrad,1,834
2023,Broj,Federacija Bosne i Hercegovine,2,167372
2023,Broj,Unsko-sanska županija,2,15317
2023,Broj,Bihać,2,4422
2023,Broj,Bosanska Krupa,2,1645
2023,Broj,Bosanski Petrovac,2,794
2023,Broj,Bužim,2,469
2023,Broj,Cazin,2,2366
2023,Broj,Ključ,2,1032
2023,Broj,Sanski Most,2,2315
2023,Broj,Velika Kladuša,2,2274
2023,Broj,Posavska županija,2,2808
2023,Broj,Domaljevac-Šamac,2,230
2023,Broj,Odžak,2,1281
2023,Broj,Orašje,2,1297
2023,Broj,Tuzlanska županija,2,37907
2023,Broj,Banovići,2,1878
2023,Broj,Čelić,2,718
2023,Broj,Doboj-Istok,2,746
2023,Broj,Gračanica,2,3828
2023,Broj,Gradačac,2,2571
2023,Broj,Kalesija,2,1939
2023,Broj,Kladanj,2,816
2023,Broj,Lukavac,2,4793
2023,Broj,Sapna,2,559
2023,Broj,Srebrenik,2,3340
2023,Broj,Teočak,2,325
2023,Broj,Tuzla,2,12230
2023,Broj,Živinice,2,4164
2023,Broj,Zeničko-dobojska županija,2,29234
2023,Broj,Breza,2,1337
2023,Broj,Doboj-Jug,2,281
2023,Broj,Kakanj,2,2844
