Year,UNIT_MEASURE,Općina,Vitalna statistika,Value
2013,Broj,Neum,Dvoje djece,420
2013,Broj,Sarajevo-Novi Grad,Dvoje djece,19695
2013,Broj,Novi Travnik,Dvoje djece,2665
2013,Broj,Sarajevo-Novo Sarajevo,Dvoje djece,10864
2013,Broj,Odžak,Dvoje djece,2750
2013,Broj,Olovo,Dvoje djece,1433
2013,Broj,Orašje,Dvoje djece,2252
2013,Broj,Pale-FBiH,Dvoje djece,120
2013,Broj,Posušje,Dvoje djece,1144
2013,Broj,Prozor,Dvoje djece,963
2013,Broj,Ravno,Dvoje djece,380
2013,Broj,Sanski Most,Dvoje djece,5604
2013,Broj,Sapna,Dvoje djece,1252
2013,Broj,Srebrenik,Dvoje djece,6408
2013,Broj,Sarajevo-Stari Grad,Dvoje djece,6147
2013,Broj,Stolac,Dvoje djece,1441
2013,Broj,Široki Brijeg,Dvoje djece,2439
2013,Broj,Teočak,Dvoje djece,962
2013,Broj,Tešanj,Dvoje djece,5994
2013,Broj,Tomislavgrad,Dvoje djece,2226
2013,Broj,Travnik,Dvoje djece,6351
2013,Broj,Trnovo-FBiH,Dvoje djece,272
2013,Broj,Tuzla,Dvoje djece,20193
2013,Broj,Usora,Dvoje djece,802
2013,Broj,Vareš,Dvoje djece,1407
2013,Broj,Velika Kladuša,Dvoje djece,4053
2013,Broj,Visoko,Dvoje djece,6277
2013,Broj,Vitez,Dvoje djece,2923
2013,Broj,Sarajevo-Vogošća,Dvoje djece,4293
2013,Broj,Zavidovići,Dvoje djece,5195
2013,Broj,Zenica,Dvoje djece,16230
2013,Broj,Žepče,Dvoje djece,3010
2013,Broj,Živinice,Dvoje djece,8890
2013,Broj,Banovići,Troje djece,1175
2013,Broj,Bihać,Troje djece,3481
2013,Broj,Bosanska Krupa,Troje djece,1698
2013,Broj,Bosanski Petrovac,Troje djece,506
2013,Broj,Bosansko Grahovo,Troje djece,200
2013,Broj,Breza,Troje djece,674
2013,Broj,Bugojno,Troje djece,2269
2013,Broj,Busovača,Troje djece,1281
2013,Broj,Bužim,Troje djece,1132
2013,Broj,Cazin,Troje djece,3984
2013,Broj,Sarajevo-Centar,Troje djece,2228
2013,Broj,Čapljina,Troje djece,2266
2013,Broj,Čelić,Troje djece,776
2013,Broj,Čitluk,Troje djece,1462
2013,Broj,Doboj-Istok,Troje djece,673
2013,Broj,Doboj-Jug,Troje djece,285
2013,Broj,Dobretići,Troje djece,86
2013,Broj,Domaljevac-Šamac,Troje djece,350
2013,Broj,Donji Vakuf,Troje djece,1024
2013,Broj,Drvar,Troje djece,465
2013,Broj,Foča-FBiH,Troje djece,158
2013,Broj,Fojnica,Troje djece,848
2013,Broj,Glamoč,Troje djece,363
2013,Broj,Goražde,Troje djece,1424
2013,Broj,Gornji Vakuf-Uskoplje,Troje djece,1504
2013,Broj,Gračanica,Troje djece,2763
2013,Broj,Gradačac,Troje djece,2626
2013,Broj,Grude,Troje djece,1375
2013,Broj,Sarajevo-Hadžići,Troje djece,1445
2013,Broj,Sarajevo-Ilidža,Troje djece,3666
2013,Broj,Sarajevo-Ilijaš,Troje djece,1253
2013,Broj,Jablanica,Troje djece,659
2013,Broj,Jajce,Troje djece,1923
2013,Broj,Kakanj,Troje djece,2545
2013,Broj,Kalesija,Troje djece,2177
2013,Broj,Kiseljak,Troje djece,1594
2013,Broj,Kladanj,Troje djece,829
2013,Broj,Ključ,Troje djece,1164
2013,Broj,Konjic,Troje djece,1794
