Year,UNIT_MEASURE,Općina,Spol,Starosna dob,Value
2013,Broj,Grude,Oba spola, 5-9,952
2013,Broj,Sarajevo-Hadžići,Oba spola, 5-9,1339
2013,Broj,Sarajevo-Ilidža,Oba spola, 5-9,3664
2013,Broj,Sarajevo-Ilijaš,Oba spola, 5-9,1128
2013,Broj,Jablanica,Oba spola, 5-9,421
2013,Broj,Jajce,Oba spola, 5-9,1534
2013,Broj,Kakanj,Oba spola, 5-9,2134
2013,Broj,Kalesija,Oba spola, 5-9,1900
2013,Broj,Kiseljak,Oba spola, 5-9,1147
2013,Broj,Kladanj,Oba spola, 5-9,602
2013,Broj,Ključ,Oba spola, 5-9,809
2013,Broj,Konjic,Oba spola, 5-9,1237
2013,Broj,Kreševo,Oba spola, 5-9,270
2013,Broj,Krupa Na Uni,Oba spola, 5-9,57
2013,Broj,Kupres-FBiH,Oba spola, 5-9,216
2013,Broj,Livno,Oba spola, 5-9,1465
2013,Broj,Lukavac,Oba spola, 5-9,1892
2013,Broj,Ljubuški,Oba spola, 5-9,1573
2013,Broj,Maglaj,Oba spola, 5-9,1178
2013,Broj,Mostar,Oba spola, 5-9,4889
2013,Broj,Neum,Oba spola, 5-9,237
2013,Broj,Sarajevo-Novi Grad,Oba spola, 5-9,6046
2013,Broj,Novi Travnik,Oba spola, 5-9,1345
2013,Broj,Sarajevo-Novo Sarajevo,Oba spola, 5-9,2736
2013,Broj,Odžak,Oba spola, 5-9,823
2013,Broj,Olovo,Oba spola, 5-9,446
2013,Broj,Orašje,Oba spola, 5-9,927
2013,Broj,Pale-FBiH,Oba spola, 5-9,42
2013,Broj,Posušje,Oba spola, 5-9,1332
2013,Broj,Prozor,Oba spola, 5-9,821
2013,Broj,Ravno,Oba spola, 5-9,136
2013,Broj,Sanski Most,Oba spola, 5-9,1975
2013,Broj,Sapna,Oba spola, 5-9,729
2013,Broj,Srebrenik,Oba spola, 5-9,2201
2013,Broj,Sarajevo-Stari Grad,Oba spola, 5-9,1593
2013,Broj,Stolac,Oba spola, 5-9,676
2013,Broj,Široki Brijeg,Oba spola, 5-9,1662
2013,Broj,Teočak,Oba spola, 5-9,403
2013,Broj,Tešanj,Oba spola, 5-9,2610
2013,Broj,Tomislavgrad,Oba spola, 5-9,1719
2013,Broj,Travnik,Oba spola, 5-9,2975
2013,Broj,Trnovo-FBiH,Oba spola, 5-9,41
2013,Broj,Tuzla,Oba spola, 5-9,4709
2013,Broj,Usora,Oba spola, 5-9,271
2013,Broj,Vareš,Oba spola, 5-9,310
2013,Broj,Velika Kladuša,Oba spola, 5-9,2831
2013,Broj,Visoko,Oba spola, 5-9,2331
2013,Broj,Vitez,Oba spola, 5-9,1479
2013,Broj,Sarajevo-Vogošća,Oba spola, 5-9,1455
2013,Broj,Zavidovići,Oba spola, 5-9,1997
2013,Broj,Zenica,Oba spola, 5-9,5641
2013,Broj,Žepče,Oba spola, 5-9,1743
2013,Broj,Živinice,Oba spola, 5-9,3178
2013,Broj,Banovići,Oba spola, 10-14,1221
2013,Broj,Bihać,Oba spola, 10-14,3393
2013,Broj,Bosanska Krupa,Oba spola, 10-14,1612
2013,Broj,Bosanski Petrovac,Oba spola, 10-14,388
2013,Broj,Bosansko Grahovo,Oba spola, 10-14,67
2013,Broj,Breza,Oba spola, 10-14,700
2013,Broj,Bugojno,Oba spola, 10-14,1874
2013,Broj,Busovača,Oba spola, 10-14,1137
2013,Broj,Bužim,Oba spola, 10-14,1469
2013,Broj,Cazin,Oba spola, 10-14,4356
2013,Broj,Sarajevo-Centar,Oba spola, 10-14,2392
2013,Broj,Čapljina,Oba spola, 10-14,1627
2013,Broj,Čelić,Oba spola, 10-14,687
2013,Broj,Čitluk,Oba spola, 10-14,1290
2013,Broj,Doboj-Istok,Oba spola, 10-14,607
2013,Broj,Doboj-Jug,Oba spola, 10-14,259
2013,Broj,Dobretići,Oba spola, 10-14,56
2013,Broj,Domaljevac-Šamac,Oba spola, 10-14,272
2013,Broj,Donji Vakuf,Oba spola, 10-14,958
2013,Broj,Drvar,Oba spola, 10-14,268
2013,Broj,Foča-FBiH,Oba spola, 10-14,85
2013,Broj,Fojnica,Oba spola, 10-14,738
2013,Broj,Glamoč,Oba spola, 10-14,177
2013,Broj,Goražde,Oba spola, 10-14,1086
2013,Broj,Gornji Vakuf-Uskoplje,Oba spola, 10-14,1350
2013,Broj,Gračanica,Oba spola, 10-14,2542
2013,Broj,Gradačac,Oba spola, 10-14,2398
2013,Broj,Grude,Oba spola, 10-14,1096
2013,Broj,Sarajevo-Hadžići,Oba spola, 10-14,1385
2013,Broj,Sarajevo-Ilidža,Oba spola, 10-14,3675
2013,Broj,Sarajevo-Ilijaš,Oba spola, 10-14,1112
2013,Broj,Jablanica,Oba spola, 10-14,471
2013,Broj,Jajce,Oba spola, 10-14,1651
2013,Broj,Kakanj,Oba spola, 10-14,2211
2013,Broj,Kalesija,Oba spola, 10-14,2073
2013,Broj,Kiseljak,Oba spola, 10-14,1284
2013,Broj,Kladanj,Oba spola, 10-14,712
2013,Broj,Ključ,Oba spola, 10-14,986
2013,Broj,Konjic,Oba spola, 10-14,1390
2013,Broj,Kreševo,Oba spola, 10-14,294
2013,Broj,Krupa Na Uni,Oba spola, 10-14,76
2013,Broj,Kupres-FBiH,Oba spola, 10-14,315
2013,Broj,Livno,Oba spola, 10-14,1790
2013,Broj,Lukavac,Oba spola, 10-14,2162
2013,Broj,Ljubuški,Oba spola, 10-14,1850
2013,Broj,Maglaj,Oba spola, 10-14,1302
2013,Broj,Mostar,Oba spola, 10-14,5481
2013,Broj,Neum,Oba spola, 10-14,282
2013,Broj,Sarajevo-Novi Grad,Oba spola, 10-14,5961
2013,Broj,Novi Travnik,Oba spola, 10-14,1491
2013,Broj,Sarajevo-Novo Sarajevo,Oba spola, 10-14,2837
2013,Broj,Odžak,Oba spola, 10-14,1036
2013,Broj,Olovo,Oba spola, 10-14,496
2013,Broj,Orašje,Oba spola, 10-14,1158
2013,Broj,Pale-FBiH,Oba spola, 10-14,59
2013,Broj,Posušje,Oba spola, 10-14,1447
2013,Broj,Prozor,Oba spola, 10-14,974
2013,Broj,Ravno,Oba spola, 10-14,155
2013,Broj,Sanski Most,Oba spola, 10-14,2473
2013,Broj,Sapna,Oba spola, 10-14,722
2013,Broj,Srebrenik,Oba spola, 10-14,2308
2013,Broj,Sarajevo-Stari Grad,Oba spola, 10-14,1781
2013,Broj,Stolac,Oba spola, 10-14,906
2013,Broj,Široki Brijeg,Oba spola, 10-14,1923
2013,Broj,Teočak,Oba spola, 10-14,446
2013,Broj,Tešanj,Oba spola, 10-14,2826
2013,Broj,Tomislavgrad,Oba spola, 10-14,1968
2013,Broj,Travnik,Oba spola, 10-14,3346
2013,Broj,Trnovo-FBiH,Oba spola, 10-14,49
2013,Broj,Tuzla,Oba spola, 10-14,4816
2013,Broj,Usora,Oba spola, 10-14,349
2013,Broj,Vareš,Oba spola, 10-14,379
2013,Broj,Velika Kladuša,Oba spola, 10-14,2773
2013,Broj,Visoko,Oba spola, 10-14,2324
2013,Broj,Vitez,Oba spola, 10-14,1751
2013,Broj,Sarajevo-Vogošća,Oba spola, 10-14,1354
2013,Broj,Zavidovići,Oba spola, 10-14,2073
2013,Broj,Zenica,Oba spola, 10-14,6044
2013,Broj,Žepče,Oba spola, 10-14,1964
2013,Broj,Živinice,Oba spola, 10-14,3333
2013,Broj,Banovići,Oba spola,15-19,1687
2013,Broj,Bihać,Oba spola,15-19,4434
2013,Broj,Bosanska Krupa,Oba spola,15-19,2034
2013,Broj,Bosanski Petrovac,Oba spola,15-19,440
2013,Broj,Bosansko Grahovo,Oba spola,15-19,63
2013,Broj,Breza,Oba spola,15-19,889
2013,Broj,Bugojno,Oba spola,15-19,2480
2013,Broj,Busovača,Oba spola,15-19,1408
2013,Broj,Bužim,Oba spola,15-19,1893
2013,Broj,Cazin,Oba spola,15-19,4948
2013,Broj,Sarajevo-Centar,Oba spola,15-19,3158
2013,Broj,Čapljina,Oba spola,15-19,1991
2013,Broj,Čelić,Oba spola,15-19,817
2013,Broj,Čitluk,Oba spola,15-19,1427
2013,Broj,Doboj-Istok,Oba spola,15-19,751
2013,Broj,Doboj-Jug,Oba spola,15-19,328
2013,Broj,Dobretići,Oba spola,15-19,51
2013,Broj,Domaljevac-Šamac,Oba spola,15-19,356
2013,Broj,Donji Vakuf,Oba spola,15-19,1299
2013,Broj,Drvar,Oba spola,15-19,320
2013,Broj,Foča-FBiH,Oba spola,15-19,121
2013,Broj,Fojnica,Oba spola,15-19,904
2013,Broj,Glamoč,Oba spola,15-19,188
2013,Broj,Goražde,Oba spola,15-19,1543
2013,Broj,Gornji Vakuf-Uskoplje,Oba spola,15-19,1694
2013,Broj,Gračanica,Oba spola,15-19,3313
2013,Broj,Gradačac,Oba spola,15-19,3118
2013,Broj,Grude,Oba spola,15-19,1264
2013,Broj,Sarajevo-Hadžići,Oba spola,15-19,1818
2013,Broj,Sarajevo-Ilidža,Oba spola,15-19,4839
2013,Broj,Sarajevo-Ilijaš,Oba spola,15-19,1440
2013,Broj,Jablanica,Oba spola,15-19,681
2013,Broj,Jajce,Oba spola,15-19,1878
2013,Broj,Kakanj,Oba spola,15-19,2929
2013,Broj,Kalesija,Oba spola,15-19,2670
2013,Broj,Kiseljak,Oba spola,15-19,1539
2013,Broj,Kladanj,Oba spola,15-19,1020
2013,Broj,Ključ,Oba spola,15-19,1256
2013,Broj,Konjic,Oba spola,15-19,1851
2013,Broj,Kreševo,Oba spola,15-19,365
2013,Broj,Krupa Na Uni,Oba spola,15-19,102
2013,Broj,Kupres-FBiH,Oba spola,15-19,367
2013,Broj,Livno,Oba spola,15-19,2423
2013,Broj,Lukavac,Oba spola,15-19,3047
2013,Broj,Ljubuški,Oba spola,15-19,2082
2013,Broj,Maglaj,Oba spola,15-19,1745
2013,Broj,Mostar,Oba spola,15-19,7793
2013,Broj,Neum,Oba spola,15-19,344
2013,Broj,Sarajevo-Novi Grad,Oba spola,15-19,7216
2013,Broj,Novi Travnik,Oba spola,15-19,2000
2013,Broj,Sarajevo-Novo Sarajevo,Oba spola,15-19,3701
2013,Broj,Odžak,Oba spola,15-19,1253
2013,Broj,Olovo,Oba spola,15-19,745
2013,Broj,Orašje,Oba spola,15-19,1407
2013,Broj,Pale-FBiH,Oba spola,15-19,74
2013,Broj,Posušje,Oba spola,15-19,1702
2013,Broj,Prozor,Oba spola,15-19,1134
2013,Broj,Ravno,Oba spola,15-19,193
2013,Broj,Sanski Most,Oba spola,15-19,3121
2013,Broj,Sapna,Oba spola,15-19,1061
2013,Broj,Srebrenik,Oba spola,15-19,2934
