Year,UNIT_MEASURE,Administrativna jedinica,Vrsta škole,Spol,Value
2017,Broj,Bosansko-podrinjska županija,Gimnazija,Ž,
2017,Broj,Bosansko-podrinjska županija,Tehničke škole,Ž,
2017,Broj,Bosansko-podrinjska županija,Stručne škole,Ž,
2017,Broj,Bosansko-podrinjska županija,Umjetničke škole,Ž,
2017,Broj,Bosansko-podrinjska županija,Vjerske škole,Ž,
2017,Broj,Bosansko-podrinjska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2018,Broj,Bosansko-podrinjska županija,Gimnazija,Ž,
2018,Broj,Bosansko-podrinjska županija,Tehničke škole,Ž,
2018,Broj,Bosansko-podrinjska županija,Stručne škole,Ž,
2018,Broj,Bosansko-podrinjska županija,Umjetničke škole,Ž,
2018,Broj,Bosansko-podrinjska županija,Vjerske škole,Ž,
2018,Broj,Bosansko-podrinjska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2019,Broj,Bosansko-podrinjska županija,Gimnazija,Ž,
2019,Broj,Bosansko-podrinjska županija,Tehničke škole,Ž,
2019,Broj,Bosansko-podrinjska županija,Stručne škole,Ž,
2019,Broj,Bosansko-podrinjska županija,Umjetničke škole,Ž,
2019,Broj,Bosansko-podrinjska županija,Vjerske škole,Ž,
2019,Broj,Bosansko-podrinjska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2020,Broj,Bosansko-podrinjska županija,Gimnazija,Ž,
2020,Broj,Bosansko-podrinjska županija,Tehničke škole,Ž,
2020,Broj,Bosansko-podrinjska županija,Stručne škole,Ž,
2020,Broj,Bosansko-podrinjska županija,Umjetničke škole,Ž,
2020,Broj,Bosansko-podrinjska županija,Vjerske škole,Ž,
2020,Broj,Bosansko-podrinjska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2016,Broj,Srednjobosanska županija,Gimnazija,Ž,
2016,Broj,Srednjobosanska županija,Tehničke škole,Ž,
2016,Broj,Srednjobosanska županija,Stručne škole,Ž,
2016,Broj,Srednjobosanska županija,Umjetničke škole,Ž,
2016,Broj,Srednjobosanska županija,Vjerske škole,Ž,
2016,Broj,Srednjobosanska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2017,Broj,Srednjobosanska županija,Gimnazija,Ž,
2017,Broj,Srednjobosanska županija,Tehničke škole,Ž,
2017,Broj,Srednjobosanska županija,Stručne škole,Ž,
2017,Broj,Srednjobosanska županija,Umjetničke škole,Ž,
2017,Broj,Srednjobosanska županija,Vjerske škole,Ž,
2017,Broj,Srednjobosanska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2018,Broj,Srednjobosanska županija,Gimnazija,Ž,
2018,Broj,Srednjobosanska županija,Tehničke škole,Ž,
2018,Broj,Srednjobosanska županija,Stručne škole,Ž,
2018,Broj,Srednjobosanska županija,Umjetničke škole,Ž,
2018,Broj,Srednjobosanska županija,Vjerske škole,Ž,
2018,Broj,Srednjobosanska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2019,Broj,Srednjobosanska županija,Gimnazija,Ž,
2019,Broj,Srednjobosanska županija,Tehničke škole,Ž,
2019,Broj,Srednjobosanska županija,Stručne škole,Ž,
2019,Broj,Srednjobosanska županija,Umjetničke škole,Ž,
2019,Broj,Srednjobosanska županija,Vjerske škole,Ž,
2019,Broj,Srednjobosanska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2020,Broj,Srednjobosanska županija,Gimnazija,Ž,
2020,Broj,Srednjobosanska županija,Tehničke škole,Ž,
2020,Broj,Srednjobosanska županija,Stručne škole,Ž,
2020,Broj,Srednjobosanska županija,Umjetničke škole,Ž,
2020,Broj,Srednjobosanska županija,Vjerske škole,Ž,
2020,Broj,Srednjobosanska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2016,Broj,Hercegovačko-neretvanska županija,Gimnazija,Ž,
2016,Broj,Hercegovačko-neretvanska županija,Tehničke škole,Ž,
2016,Broj,Hercegovačko-neretvanska županija,Stručne škole,Ž,
2016,Broj,Hercegovačko-neretvanska županija,Umjetničke škole,Ž,
2016,Broj,Hercegovačko-neretvanska županija,Vjerske škole,Ž,
2016,Broj,Hercegovačko-neretvanska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2017,Broj,Hercegovačko-neretvanska županija,Gimnazija,Ž,
2017,Broj,Hercegovačko-neretvanska županija,Tehničke škole,Ž,
2017,Broj,Hercegovačko-neretvanska županija,Stručne škole,Ž,
2017,Broj,Hercegovačko-neretvanska županija,Umjetničke škole,Ž,
2017,Broj,Hercegovačko-neretvanska županija,Vjerske škole,Ž,
2017,Broj,Hercegovačko-neretvanska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2018,Broj,Hercegovačko-neretvanska županija,Gimnazija,Ž,
2018,Broj,Hercegovačko-neretvanska županija,Tehničke škole,Ž,
2018,Broj,Hercegovačko-neretvanska županija,Stručne škole,Ž,
2018,Broj,Hercegovačko-neretvanska županija,Umjetničke škole,Ž,
2018,Broj,Hercegovačko-neretvanska županija,Vjerske škole,Ž,
2018,Broj,Hercegovačko-neretvanska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2019,Broj,Hercegovačko-neretvanska županija,Gimnazija,Ž,
2019,Broj,Hercegovačko-neretvanska županija,Tehničke škole,Ž,
2019,Broj,Hercegovačko-neretvanska županija,Stručne škole,Ž,
2019,Broj,Hercegovačko-neretvanska županija,Umjetničke škole,Ž,
2019,Broj,Hercegovačko-neretvanska županija,Vjerske škole,Ž,
2019,Broj,Hercegovačko-neretvanska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2020,Broj,Hercegovačko-neretvanska županija,Gimnazija,Ž,
2020,Broj,Hercegovačko-neretvanska županija,Tehničke škole,Ž,
2020,Broj,Hercegovačko-neretvanska županija,Stručne škole,Ž,
2020,Broj,Hercegovačko-neretvanska županija,Umjetničke škole,Ž,
2020,Broj,Hercegovačko-neretvanska županija,Vjerske škole,Ž,
2020,Broj,Hercegovačko-neretvanska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2016,Broj,Zapadno-hercegovačka županija,Gimnazija,Ž,
2016,Broj,Zapadno-hercegovačka županija,Tehničke škole,Ž,
2016,Broj,Zapadno-hercegovačka županija,Stručne škole,Ž,
2016,Broj,Zapadno-hercegovačka županija,Umjetničke škole,Ž,
2016,Broj,Zapadno-hercegovačka županija,Vjerske škole,Ž,
2016,Broj,Zapadno-hercegovačka županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2017,Broj,Zapadno-hercegovačka županija,Gimnazija,Ž,
2017,Broj,Zapadno-hercegovačka županija,Tehničke škole,Ž,
2017,Broj,Zapadno-hercegovačka županija,Stručne škole,Ž,
2017,Broj,Zapadno-hercegovačka županija,Umjetničke škole,Ž,
2017,Broj,Zapadno-hercegovačka županija,Vjerske škole,Ž,
2017,Broj,Zapadno-hercegovačka županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2018,Broj,Zapadno-hercegovačka županija,Gimnazija,Ž,
2018,Broj,Zapadno-hercegovačka županija,Tehničke škole,Ž,
2018,Broj,Zapadno-hercegovačka županija,Stručne škole,Ž,
2018,Broj,Zapadno-hercegovačka županija,Umjetničke škole,Ž,
2018,Broj,Zapadno-hercegovačka županija,Vjerske škole,Ž,
2018,Broj,Zapadno-hercegovačka županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2019,Broj,Zapadno-hercegovačka županija,Gimnazija,Ž,
2019,Broj,Zapadno-hercegovačka županija,Tehničke škole,Ž,
2019,Broj,Zapadno-hercegovačka županija,Stručne škole,Ž,
2019,Broj,Zapadno-hercegovačka županija,Umjetničke škole,Ž,
2019,Broj,Zapadno-hercegovačka županija,Vjerske škole,Ž,
2019,Broj,Zapadno-hercegovačka županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2020,Broj,Zapadno-hercegovačka županija,Gimnazija,Ž,
2020,Broj,Zapadno-hercegovačka županija,Tehničke škole,Ž,
2020,Broj,Zapadno-hercegovačka županija,Stručne škole,Ž,
2020,Broj,Zapadno-hercegovačka županija,Umjetničke škole,Ž,
2020,Broj,Zapadno-hercegovačka županija,Vjerske škole,Ž,
2020,Broj,Zapadno-hercegovačka županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2016,Broj,Sarajevska županija,Gimnazija,Ž,
2016,Broj,Sarajevska županija,Tehničke škole,Ž,
2016,Broj,Sarajevska županija,Stručne škole,Ž,
2016,Broj,Sarajevska županija,Umjetničke škole,Ž,
2016,Broj,Sarajevska županija,Vjerske škole,Ž,
2016,Broj,Sarajevska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2017,Broj,Sarajevska županija,Gimnazija,Ž,
2017,Broj,Sarajevska županija,Tehničke škole,Ž,
2017,Broj,Sarajevska županija,Stručne škole,Ž,
2017,Broj,Sarajevska županija,Umjetničke škole,Ž,
2017,Broj,Sarajevska županija,Vjerske škole,Ž,
2017,Broj,Sarajevska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2018,Broj,Sarajevska županija,Gimnazija,Ž,
2018,Broj,Sarajevska županija,Tehničke škole,Ž,
2018,Broj,Sarajevska županija,Stručne škole,Ž,
2018,Broj,Sarajevska županija,Umjetničke škole,Ž,
2018,Broj,Sarajevska županija,Vjerske škole,Ž,
2018,Broj,Sarajevska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2019,Broj,Sarajevska županija,Gimnazija,Ž,
2019,Broj,Sarajevska županija,Tehničke škole,Ž,
2019,Broj,Sarajevska županija,Stručne škole,Ž,
2019,Broj,Sarajevska županija,Umjetničke škole,Ž,
2019,Broj,Sarajevska županija,Vjerske škole,Ž,
2019,Broj,Sarajevska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2020,Broj,Sarajevska županija,Gimnazija,Ž,
2020,Broj,Sarajevska županija,Tehničke škole,Ž,
2020,Broj,Sarajevska županija,Stručne škole,Ž,
2020,Broj,Sarajevska županija,Umjetničke škole,Ž,
2020,Broj,Sarajevska županija,Vjerske škole,Ž,
2020,Broj,Sarajevska županija,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2016,Broj,Županija 10,Gimnazija,Ž,
2016,Broj,Županija 10,Tehničke škole,Ž,
2016,Broj,Županija 10,Stručne škole,Ž,
2016,Broj,Županija 10,Umjetničke škole,Ž,
2016,Broj,Županija 10,Vjerske škole,Ž,
2016,Broj,Županija 10,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2017,Broj,Županija 10,Gimnazija,Ž,
2017,Broj,Županija 10,Tehničke škole,Ž,
2017,Broj,Županija 10,Stručne škole,Ž,
2017,Broj,Županija 10,Umjetničke škole,Ž,
2017,Broj,Županija 10,Vjerske škole,Ž,
2017,Broj,Županija 10,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2018,Broj,Županija 10,Gimnazija,Ž,
2018,Broj,Županija 10,Tehničke škole,Ž,
2018,Broj,Županija 10,Stručne škole,Ž,
2018,Broj,Županija 10,Umjetničke škole,Ž,
2018,Broj,Županija 10,Vjerske škole,Ž,
2018,Broj,Županija 10,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2019,Broj,Županija 10,Gimnazija,Ž,
2019,Broj,Županija 10,Tehničke škole,Ž,
2019,Broj,Županija 10,Stručne škole,Ž,
2019,Broj,Županija 10,Umjetničke škole,Ž,
2019,Broj,Županija 10,Vjerske škole,Ž,
2019,Broj,Županija 10,Srednje škole za djecu s poteškoćama u razvitku,Ž,
2020,Broj,Županija 10,Gimnazija,Ž,
2020,Broj,Županija 10,Tehničke škole,Ž,
2020,Broj,Županija 10,Stručne škole,Ž,
2020,Broj,Županija 10,Umjetničke škole,Ž,
2020,Broj,Županija 10,Vjerske škole,Ž,
2020,Broj,Županija 10,Srednje škole za djecu s poteškoćama u razvitku,Ž,
