Year,UNIT_MEASURE,Admin_Area,Пол,Value
2006,Број,central_bosnia_canton,Ж,10239.0
2006,Број,herzegovina-neretva_canton,Ж,10586.0
2006,Број,west_herzegovina_canton,Ж,885.0
2006,Број,sarajevo_canton,Ж,43752.0
2006,Број,canton_10,Ж,1636.0
2007,Број,federation_of_bih,Оба пола,334660.0
2007,Број,una-sana_canton,Оба пола,17226.0
2007,Број,posavina_canton,Оба пола,1287.0
2007,Број,tuzla_canton,Оба пола,46851.0
2007,Број,zenica-doboj_canton,Оба пола,77762.0
2007,Број,bosnian-podrinje_canton,Оба пола,
2007,Број,central_bosnia_canton,Оба пола,19464.0
2007,Број,herzegovina-neretva_canton,Оба пола,21708.0
2007,Број,west_herzegovina_canton,Оба пола,2560.0
2007,Број,sarajevo_canton,Оба пола,144940.0
2007,Број,canton_10,Оба пола,2862.0
2007,Број,federation_of_bih,M,183592.0
2007,Број,una-sana_canton,M,7586.0
2007,Број,posavina_canton,M,481.0
2007,Број,tuzla_canton,M,21048.0
2007,Број,zenica-doboj_canton,M,39940.0
2007,Број,bosnian-podrinje_canton,M,
2007,Број,central_bosnia_canton,M,8681.0
2007,Број,herzegovina-neretva_canton,M,9489.0
2007,Број,west_herzegovina_canton,M,1579.0
2007,Број,sarajevo_canton,M,93705.0
2007,Број,canton_10,M,1083.0
2007,Број,federation_of_bih,Ж,151068.0
2007,Број,una-sana_canton,Ж,9640.0
2007,Број,posavina_canton,Ж,806.0
2007,Број,tuzla_canton,Ж,25803.0
2007,Број,zenica-doboj_canton,Ж,37822.0
2007,Број,bosnian-podrinje_canton,Ж,
2007,Број,central_bosnia_canton,Ж,10783.0
2007,Број,herzegovina-neretva_canton,Ж,12219.0
2007,Број,west_herzegovina_canton,Ж,981.0
2007,Број,sarajevo_canton,Ж,51235.0
2007,Број,canton_10,Ж,1779.0
2008,Број,federation_of_bih,Оба пола,340152.0
2008,Број,una-sana_canton,Оба пола,17453.0
2008,Број,posavina_canton,Оба пола,892.0
2008,Број,tuzla_canton,Оба пола,55890.0
2008,Број,zenica-doboj_canton,Оба пола,70513.0
2008,Број,bosnian-podrinje_canton,Оба пола,
2008,Број,central_bosnia_canton,Оба пола,22556.0
2008,Број,herzegovina-neretva_canton,Оба пола,15078.0
2008,Број,west_herzegovina_canton,Оба пола,2765.0
2008,Број,sarajevo_canton,Оба пола,152336.0
2008,Број,canton_10,Оба пола,2669.0
2008,Број,federation_of_bih,M,182103.0
2008,Број,una-sana_canton,M,8106.0
2008,Број,posavina_canton,M,371.0
2008,Број,tuzla_canton,M,23290.0
2008,Број,zenica-doboj_canton,M,35712.0
2008,Број,bosnian-podrinje_canton,M,
2008,Број,central_bosnia_canton,M,9089.0
2008,Број,herzegovina-neretva_canton,M,6274.0
2008,Број,west_herzegovina_canton,M,1620.0
2008,Број,sarajevo_canton,M,96671.0
2008,Број,canton_10,M,970.0
2008,Број,federation_of_bih,Ж,158049.0
2008,Број,una-sana_canton,Ж,9347.0
2008,Број,posavina_canton,Ж,521.0
2008,Број,tuzla_canton,Ж,32600.0
2008,Број,zenica-doboj_canton,Ж,34801.0
2008,Број,bosnian-podrinje_canton,Ж,
2008,Број,central_bosnia_canton,Ж,13467.0
2008,Број,herzegovina-neretva_canton,Ж,8804.0
2008,Број,west_herzegovina_canton,Ж,1145.0
2008,Број,sarajevo_canton,Ж,55665.0
