Year,UNIT-MEASURE,Административна јединица,Пол,Највиша завршена школа,Value
2013,Број,Зеничко-добојски кантон,M,Непотпуно основно образовање,7908
2013,Број,Зеничко-добојски кантон,M,Основна школа,28285
2013,Број,Зеничко-добојски кантон,M,Средња школа,94181
2013,Број,Зеничко-добојски кантон,M,Специјализација послије средње школе,3153
2013,Број,Зеничко-добојски кантон,M,Виша школа и први степен факултета,3909
2013,Број,Зеничко-добојски кантон,M,Висока школа / факултет / академија / универзитет,10465
2013,Број,Босанско-подрињски кантон,M,Укупно,9881
2013,Број,Босанско-подрињски кантон,M,Без образовања,159
2013,Број,Босанско-подрињски кантон,M,Непотпуно основно образовање,405
2013,Број,Босанско-подрињски кантон,M,Основна школа,1839
2013,Број,Босанско-подрињски кантон,M,Средња школа,5960
2013,Број,Босанско-подрињски кантон,M,Специјализација послије средње школе,175
2013,Број,Босанско-подрињски кантон,M,Виша школа и први степен факултета,352
2013,Број,Босанско-подрињски кантон,M,Висока школа / факултет / академија / универзитет,991
2013,Број,Средњобосански кантон,M,Укупно,105017
2013,Број,Средњобосански кантон,M,Без образовања,1981
2013,Број,Средњобосански кантон,M,Непотпуно основно образовање,6423
2013,Број,Средњобосански кантон,M,Основна школа,21391
2013,Број,Средњобосански кантон,M,Средња школа,64191
2013,Број,Средњобосански кантон,M,Специјализација послије средње школе,1132
2013,Број,Средњобосански кантон,M,Виша школа и први степен факултета,2919
2013,Број,Средњобосански кантон,M,Висока школа / факултет / академија / универзитет,6980
2013,Број,Херцеговачко-неретвански кантон,M,Укупно,91629
2013,Број,Херцеговачко-неретвански кантон,M,Без образовања,1047
2013,Број,Херцеговачко-неретвански кантон,M,Непотпуно основно образовање,3657
2013,Број,Херцеговачко-неретвански кантон,M,Основна школа,13686
2013,Број,Херцеговачко-неретвански кантон,M,Средња школа,57185
2013,Број,Херцеговачко-неретвански кантон,M,Специјализација послије средње школе,1098
2013,Број,Херцеговачко-неретвански кантон,M,Виша школа и први степен факултета,3975
2013,Број,Херцеговачко-неретвански кантон,M,Висока школа / факултет / академија / универзитет,10981
2013,Број,Западнохерцеговчки кантон,M,Укупно,38677
2013,Број,Западнохерцеговчки кантон,M,Без образовања,450
2013,Број,Западнохерцеговчки кантон,M,Непотпуно основно образовање,2072
2013,Број,Западнохерцеговчки кантон,M,Основна школа,6057
2013,Број,Западнохерцеговчки кантон,M,Средња школа,23646
2013,Број,Западнохерцеговчки кантон,M,Специјализација послије средње школе,257
2013,Број,Западнохерцеговчки кантон,M,Виша школа и први степен факултета,1629
2013,Број,Западнохерцеговчки кантон,M,Висока школа / факултет / академија / универзитет,4566
2013,Број,Кантон Сарајево,M,Укупно,162698
2013,Број,Кантон Сарајево,M,Без образовања,1417
2013,Број,Кантон Сарајево,M,Непотпуно основно образовање,2568
2013,Број,Кантон Сарајево,M,Основна школа,19427
2013,Број,Кантон Сарајево,M,Средња школа,99295
2013,Број,Кантон Сарајево,M,Специјализација послије средње школе,1938
