Year,UNIT_MEASURE,Admin_Area,type_of_school,Value
2016,NUMBER,central_bosnia_canton,religious_schools,378
2017,NUMBER,central_bosnia_canton,gymnasium,2021
2017,NUMBER,central_bosnia_canton,technical_high_schools,5389
2017,NUMBER,central_bosnia_canton,vocational_high_schools,2156
2017,NUMBER,central_bosnia_canton,art_schools,91
2017,NUMBER,central_bosnia_canton,religious_schools,430
2018,NUMBER,central_bosnia_canton,gymnasium,1614
2018,NUMBER,central_bosnia_canton,technical_high_schools,4590
2018,NUMBER,central_bosnia_canton,vocational_high_schools,1606
2018,NUMBER,central_bosnia_canton,art_schools,83
2018,NUMBER,central_bosnia_canton,religious_schools,427
2019,NUMBER,central_bosnia_canton,gymnasium,1416
2019,NUMBER,central_bosnia_canton,technical_high_schools,4549
2019,NUMBER,central_bosnia_canton,vocational_high_schools,1403
2019,NUMBER,central_bosnia_canton,art_schools,73
2019,NUMBER,central_bosnia_canton,religious_schools,437
2020,NUMBER,central_bosnia_canton,gymnasium,1254
2020,NUMBER,central_bosnia_canton,technical_high_schools,4716
2020,NUMBER,central_bosnia_canton,vocational_high_schools,1382
2020,NUMBER,central_bosnia_canton,art_schools,70
2020,NUMBER,central_bosnia_canton,religious_schools,447
2021,NUMBER,central_bosnia_canton,gymnasium,1098
2021,NUMBER,central_bosnia_canton,technical_high_schools,4818
2021,NUMBER,central_bosnia_canton,vocational_high_schools,1677
2021,NUMBER,central_bosnia_canton,art_schools,74
2021,NUMBER,central_bosnia_canton,religious_schools,430
2022,NUMBER,central_bosnia_canton,gymnasium,1174
2022,NUMBER,central_bosnia_canton,technical_high_schools,5678
2022,NUMBER,central_bosnia_canton,vocational_high_schools,1496
2022,NUMBER,central_bosnia_canton,art_schools,84
2022,NUMBER,central_bosnia_canton,religious_schools,435
2016,NUMBER,herzegovina-neretva_canton,gymnasium,2616
2016,NUMBER,herzegovina-neretva_canton,technical_high_schools,4329
2016,NUMBER,herzegovina-neretva_canton,vocational_high_schools,1210
2016,NUMBER,herzegovina-neretva_canton,art_schools,154
2016,NUMBER,herzegovina-neretva_canton,religious_schools,260
2016,NUMBER,herzegovina-neretva_canton,high_schools_for_students_with_disabilities,45
2017,NUMBER,herzegovina-neretva_canton,gymnasium,2425
2017,NUMBER,herzegovina-neretva_canton,technical_high_schools,4035
2017,NUMBER,herzegovina-neretva_canton,vocational_high_schools,1216
2017,NUMBER,herzegovina-neretva_canton,art_schools,108
