Year,UNIT_MEASURE,Administrative Area,Sex,Unnamed: 5,Unnamed: 6,Unnamed: 7,Value
2008,Number,Canton 10,M,,,,970.0
2008,Number,Federation of Bosnia and Herzegovina,F,,,,158049.0
2008,Number,Una-Sana Canton,F,,,,9347.0
2008,Number,Posavina Canton,F,,,,521.0
2008,Number,Tuzla Canton,F,,,,32600.0
2008,Number,Zenica-Doboj Canton,F,,,,34801.0
2008,Number,Bosnian-Podrinje Canton,F,,,,
2008,Number,Central Bosnia Canton,F,,,,13467.0
2008,Number,Herzegovina-Neretva Canton,F,,,,8804.0
2008,Number,West Herzegovina Canton,F,,,,1145.0
2008,Number,Sarajevo Canton,F,,,,55665.0
2008,Number,Canton 10,F,,,,1699.0
2009,Number,Federation of Bosnia and Herzegovina,Both sexes,,,,403628.0
2009,Number,Una-Sana Canton,Both sexes,,,,20080.0
2009,Number,Posavina Canton,Both sexes,,,,538.0
2009,Number,Tuzla Canton,Both sexes,,,,68873.0
2009,Number,Zenica-Doboj Canton,Both sexes,,,,83298.0
2009,Number,Bosnian-Podrinje Canton,Both sexes,,,,
2009,Number,Central Bosnia Canton,Both sexes,,,,22343.0
2009,Number,Herzegovina-Neretva Canton,Both sexes,,,,14039.0
2009,Number,West Herzegovina Canton,Both sexes,,,,2897.0
2009,Number,Sarajevo Canton,Both sexes,,,,188504.0
2009,Number,Canton 10,Both sexes,,,,3056.0
2009,Number,Federation of Bosnia and Herzegovina,M,,,,198035.0
2009,Number,Una-Sana Canton,M,,,,7518.0
2009,Number,Posavina Canton,M,,,,210.0
2009,Number,Tuzla Canton,M,,,,32281.0
2009,Number,Zenica-Doboj Canton,M,,,,41961.0
2009,Number,Bosnian-Podrinje Canton,M,,,,
2009,Number,Central Bosnia Canton,M,,,,9826.0
2009,Number,Herzegovina-Neretva Canton,M,,,,5819.0
2009,Number,West Herzegovina Canton,M,,,,1511.0
2009,Number,Sarajevo Canton,M,,,,97779.0
2009,Number,Canton 10,M,,,,1130.0
2009,Number,Federation of Bosnia and Herzegovina,F,,,,205593.0
2009,Number,Una-Sana Canton,F,,,,12562.0
2009,Number,Posavina Canton,F,,,,328.0
2009,Number,Tuzla Canton,F,,,,36592.0
2009,Number,Zenica-Doboj Canton,F,,,,41337.0
2009,Number,Bosnian-Podrinje Canton,F,,,,
2009,Number,Central Bosnia Canton,F,,,,12517.0
2009,Number,Herzegovina-Neretva Canton,F,,,,8220.0
2009,Number,West Herzegovina Canton,F,,,,1386.0
2009,Number,Sarajevo Canton,F,,,,90725.0
2009,Number,Canton 10,F,,,,1926.0
2010,Number,Federation of Bosnia and Herzegovina,Both sexes,,,,368808.0
2010,Number,Una-Sana Canton,Both sexes,,,,19595.0
2010,Number,Posavina Canton,Both sexes,,,,830.0
2010,Number,Tuzla Canton,Both sexes,,,,68396.0
2010,Number,Zenica-Doboj Canton,Both sexes,,,,76610.0
2010,Number,Bosnian-Podrinje Canton,Both sexes,,,,
2010,Number,Central Bosnia Canton,Both sexes,,,,17177.0
2010,Number,Herzegovina-Neretva Canton,Both sexes,,,,14923.0
2010,Number,West Herzegovina Canton,Both sexes,,,,3684.0
2010,Number,Sarajevo Canton,Both sexes,,,,164918.0
2010,Number,Canton 10,Both sexes,,,,2675.0
2010,Number,Federation of Bosnia and Herzegovina,M,,,,174999.0
2010,Number,Una-Sana Canton,M,,,,7579.0
2010,Number,Posavina Canton,M,,,,295.0
2010,Number,Tuzla Canton,M,,,,29285.0
2010,Number,Zenica-Doboj Canton,M,,,,35188.0
2010,Number,Bosnian-Podrinje Canton,M,,,,
2010,Number,Central Bosnia Canton,M,,,,7780.0
2010,Number,Herzegovina-Neretva Canton,M,,,,3427.0
2010,Number,West Herzegovina Canton,M,,,,2148.0
2010,Number,Sarajevo Canton,M,,,,88379.0
2010,Number,Canton 10,M,,,,918.0
2010,Number,Federation of Bosnia and Herzegovina,F,,,,193809.0
2010,Number,Una-Sana Canton,F,,,,12016.0
2010,Number,Posavina Canton,F,,,,535.0
2010,Number,Tuzla Canton,F,,,,39111.0
2010,Number,Zenica-Doboj Canton,F,,,,41422.0
2010,Number,Bosnian-Podrinje Canton,F,,,,
2010,Number,Central Bosnia Canton,F,,,,9397.0
2010,Number,Herzegovina-Neretva Canton,F,,,,11496.0
2010,Number,West Herzegovina Canton,F,,,,1536.0
2010,Number,Sarajevo Canton,F,,,,76539.0
2010,Number,Canton 10,F,,,,1757.0
2011,Number,Federation of Bosnia and Herzegovina,Both sexes,,,,344976.0
2011,Number,Una-Sana Canton,Both sexes,,,,21212.0
2011,Number,Posavina Canton,Both sexes,,,,228.0
2011,Number,Tuzla Canton,Both sexes,,,,79042.0
2011,Number,Zenica-Doboj Canton,Both sexes,,,,73550.0
2011,Number,Bosnian-Podrinje Canton,Both sexes,,,,
2011,Number,Central Bosnia Canton,Both sexes,,,,11560.0
2011,Number,Herzegovina-Neretva Canton,Both sexes,,,,15304.0
2011,Number,West Herzegovina Canton,Both sexes,,,,3174.0
2011,Number,Sarajevo Canton,Both sexes,,,,137012.0
2011,Number,Canton 10,Both sexes,,,,3894.0
2011,Number,Federation of Bosnia and Herzegovina,M,,,,162768.0
2011,Number,Una-Sana Canton,M,,,,8760.0
2011,Number,Posavina Canton,M,,,,93.0
2011,Number,Tuzla Canton,M,,,,31106.0
2011,Number,Zenica-Doboj Canton,M,,,,35157.0
2011,Number,Bosnian-Podrinje Canton,M,,,,
2011,Number,Central Bosnia Canton,M,,,,5787.0
2011,Number,Herzegovina-Neretva Canton,M,,,,6800.0
2011,Number,West Herzegovina Canton,M,,,,1583.0
2011,Number,Sarajevo Canton,M,,,,71509.0
2011,Number,Canton 10,M,,,,1973.0
2011,Number,Federation of Bosnia and Herzegovina,F,,,,182208.0
2011,Number,Una-Sana Canton,F,,,,12452.0
2011,Number,Posavina Canton,F,,,,135.0
2011,Number,Tuzla Canton,F,,,,47936.0
2011,Number,Zenica-Doboj Canton,F,,,,38393.0
2011,Number,Bosnian-Podrinje Canton,F,,,,
2011,Number,Central Bosnia Canton,F,,,,5773.0
2011,Number,Herzegovina-Neretva Canton,F,,,,8504.0
2011,Number,West Herzegovina Canton,F,,,,1591.0
2011,Number,Sarajevo Canton,F,,,,65503.0
2011,Number,Canton 10,F,,,,1921.0
2012,Number,Federation of Bosnia and Herzegovina,Both sexes,,,,364552.0
2012,Number,Una-Sana Canton,Both sexes,,,,18348.0
2012,Number,Posavina Canton,Both sexes,,,,350.0
2012,Number,Tuzla Canton,Both sexes,,,,87038.0
2012,Number,Zenica-Doboj Canton,Both sexes,,,,61780.0
2012,Number,Bosnian-Podrinje Canton,Both sexes,,,,
2012,Number,Central Bosnia Canton,Both sexes,,,,20320.0
2012,Number,Herzegovina-Neretva Canton,Both sexes,,,,13180.0
2012,Number,West Herzegovina Canton,Both sexes,,,,3944.0
2012,Number,Sarajevo Canton,Both sexes,,,,155065.0
2012,Number,Canton 10,Both sexes,,,,4527.0
2012,Number,Federation of Bosnia and Herzegovina,M,,,,184723.0
2012,Number,Una-Sana Canton,M,,,,7074.0
2012,Number,Posavina Canton,M,,,,170.0
2012,Number,Tuzla Canton,M,,,,40077.0
2012,Number,Zenica-Doboj Canton,M,,,,28689.0
