Year,UNIT_MEASURE,Пол,Admin Area,Витална статистика,Value
2018,Број,Оба пола,federation_of_bih,Живорођени,18899.0
2018,Број,Оба пола,una-sana_canton,Живорођени,1804.0
2018,Број,Оба пола,posavina_canton,Живорођени,151.0
2018,Број,Оба пола,tuzla_canton,Живорођени,3723.0
2018,Број,Оба пола,zenica-doboj_canton,Живорођени,3488.0
2018,Број,Оба пола,bosnian-podrinje_canton,Живорођени,240.0
2018,Број,Оба пола,central_bosnia_canton,Живорођени,2040.0
2018,Број,Оба пола,herzegovina-neretva_canton,Живорођени,1790.0
2018,Број,Оба пола,west_herzegovina_canton,Живорођени,760.0
2018,Број,Оба пола,sarajevo_canton,Живорођени,4530.0
2018,Број,Оба пола,canton_10,Живорођени,373.0
2018,Број,M,federation_of_bih,Живорођени,9742.0
2018,Број,M,una-sana_canton,Живорођени,975.0
2018,Број,M,posavina_canton,Живорођени,68.0
2018,Број,M,tuzla_canton,Живорођени,1895.0
2018,Број,M,zenica-doboj_canton,Живорођени,1760.0
2018,Број,M,bosnian-podrinje_canton,Живорођени,125.0
2018,Број,M,central_bosnia_canton,Живорођени,1059.0
2018,Број,M,herzegovina-neretva_canton,Живорођени,914.0
2018,Број,M,west_herzegovina_canton,Живорођени,397.0
2018,Број,M,sarajevo_canton,Живорођени,2340.0
2018,Број,M,canton_10,Живорођени,209.0
2018,Број,Ж,federation_of_bih,Живорођени,9157.0
2018,Број,Ж,una-sana_canton,Живорођени,829.0
2018,Број,Ж,posavina_canton,Живорођени,83.0
2018,Број,Ж,tuzla_canton,Живорођени,1828.0
2018,Број,Ж,zenica-doboj_canton,Живорођени,1728.0
2018,Број,Ж,bosnian-podrinje_canton,Живорођени,115.0
2018,Број,Ж,central_bosnia_canton,Живорођени,981.0
2018,Број,Ж,herzegovina-neretva_canton,Живорођени,876.0
2018,Број,Ж,west_herzegovina_canton,Живорођени,363.0
2018,Број,Ж,sarajevo_canton,Живорођени,2190.0
2018,Број,Ж,canton_10,Живорођени,164.0
2019,Број,Оба пола,federation_of_bih,Живорођени,18019.0
2019,Број,Оба пола,una-sana_canton,Живорођени,1735.0
2019,Број,Оба пола,posavina_canton,Живорођени,124.0
2019,Број,Оба пола,tuzla_canton,Живорођени,3636.0
2019,Број,Оба пола,zenica-doboj_canton,Живорођени,3337.0
2019,Број,Оба пола,bosnian-podrinje_canton,Живорођени,200.0
2019,Број,Оба пола,central_bosnia_canton,Живорођени,1929.0
2019,Број,Оба пола,herzegovina-neretva_canton,Живорођени,1632.0
2019,Број,Оба пола,west_herzegovina_canton,Живорођени,729.0
2019,Број,Оба пола,sarajevo_canton,Живорођени,4339.0
2019,Број,Оба пола,canton_10,Живорођени,358.0
2019,Број,M,federation_of_bih,Живорођени,9342.0
2019,Број,M,una-sana_canton,Живорођени,876.0
2019,Број,M,posavina_canton,Живорођени,68.0
2019,Број,M,tuzla_canton,Живорођени,1887.0
2019,Број,M,zenica-doboj_canton,Живорођени,1733.0
2019,Број,M,bosnian-podrinje_canton,Живорођени,100.0
2019,Број,M,central_bosnia_canton,Живорођени,1041.0
2019,Број,M,herzegovina-neretva_canton,Живорођени,823.0
2019,Број,M,west_herzegovina_canton,Живорођени,381.0
2019,Број,M,sarajevo_canton,Живорођени,2249.0
2019,Број,M,canton_10,Живорођени,184.0
2019,Број,Ж,federation_of_bih,Живорођени,8677.0
2019,Број,Ж,una-sana_canton,Живорођени,859.0
2019,Број,Ж,posavina_canton,Живорођени,56.0
2019,Број,Ж,tuzla_canton,Живорођени,1749.0
2019,Број,Ж,zenica-doboj_canton,Живорођени,1604.0
2019,Број,Ж,bosnian-podrinje_canton,Живорођени,100.0
2019,Број,Ж,central_bosnia_canton,Живорођени,888.0
2019,Број,Ж,herzegovina-neretva_canton,Живорођени,809.0
2019,Број,Ж,west_herzegovina_canton,Живорођени,348.0
2019,Број,Ж,sarajevo_canton,Живорођени,2090.0
2019,Број,Ж,canton_10,Живорођени,174.0
2020,Број,Оба пола,federation_of_bih,Живорођени,17211.0
2020,Број,Оба пола,una-sana_canton,Живорођени,1552.0
