Year,UNIT_MEASURE,Административно подручје,Пол,Value
2020,Број,zenica-doboj_canton,Ж,
2016,Број,bosnian-podrinje_canton,Оба пола,
2016,Број,bosnian-podrinje_canton,M,
2016,Број,bosnian-podrinje_canton,Ж,
2017,Број,bosnian-podrinje_canton,Оба пола,
2017,Број,bosnian-podrinje_canton,M,
2017,Број,bosnian-podrinje_canton,Ж,
2018,Број,bosnian-podrinje_canton,Оба пола,
2018,Број,bosnian-podrinje_canton,M,
2018,Број,bosnian-podrinje_canton,Ж,
2019,Број,bosnian-podrinje_canton,Оба пола,
2019,Број,bosnian-podrinje_canton,M,
2019,Број,bosnian-podrinje_canton,Ж,
2020,Број,bosnian-podrinje_canton,Оба пола,
2020,Број,bosnian-podrinje_canton,M,
2020,Број,bosnian-podrinje_canton,Ж,
2016,Број,central_bosnia_canton,Оба пола,
2016,Број,central_bosnia_canton,M,
2016,Број,central_bosnia_canton,Ж,
2017,Број,central_bosnia_canton,Оба пола,
2017,Број,central_bosnia_canton,M,
2017,Број,central_bosnia_canton,Ж,
2018,Број,central_bosnia_canton,Оба пола,
2018,Број,central_bosnia_canton,M,
2018,Број,central_bosnia_canton,Ж,
2019,Број,central_bosnia_canton,Оба пола,
2019,Број,central_bosnia_canton,M,
2019,Број,central_bosnia_canton,Ж,
2020,Број,central_bosnia_canton,Оба пола,
2020,Број,central_bosnia_canton,M,
2020,Број,central_bosnia_canton,Ж,
2016,Број,herzegovina-neretva_canton,Оба пола,
2016,Број,herzegovina-neretva_canton,M,
2016,Број,herzegovina-neretva_canton,Ж,
2017,Број,herzegovina-neretva_canton,Оба пола,
2017,Број,herzegovina-neretva_canton,M,
2017,Број,herzegovina-neretva_canton,Ж,
2018,Број,herzegovina-neretva_canton,Оба пола,
2018,Број,herzegovina-neretva_canton,M,
2018,Број,herzegovina-neretva_canton,Ж,
2019,Број,herzegovina-neretva_canton,Оба пола,
2019,Број,herzegovina-neretva_canton,M,
2019,Број,herzegovina-neretva_canton,Ж,
2020,Број,herzegovina-neretva_canton,Оба пола,
2020,Број,herzegovina-neretva_canton,M,
2020,Број,herzegovina-neretva_canton,Ж,
2016,Број,west_herzegovina_canton,Оба пола,
2016,Број,west_herzegovina_canton,M,
2016,Број,west_herzegovina_canton,Ж,
2017,Број,west_herzegovina_canton,Оба пола,
2017,Број,west_herzegovina_canton,M,
2017,Број,west_herzegovina_canton,Ж,
2018,Број,west_herzegovina_canton,Оба пола,
2018,Број,west_herzegovina_canton,M,
2018,Број,west_herzegovina_canton,Ж,
2019,Број,west_herzegovina_canton,Оба пола,
2019,Број,west_herzegovina_canton,M,
2019,Број,west_herzegovina_canton,Ж,
