Year,UNIT_MEASURE,Municipality,Пол,AGE,Value
2013,Број,kupres-fbih,Оба пола, 10-14,315
2013,Број,livno,Оба пола, 10-14,1790
2013,Број,lukavac,Оба пола, 10-14,2162
2013,Број,ljubuski,Оба пола, 10-14,1850
2013,Број,maglaj,Оба пола, 10-14,1302
2013,Број,mostar,Оба пола, 10-14,5481
2013,Број,neum,Оба пола, 10-14,282
2013,Број,novi_grad_sarajevo,Оба пола, 10-14,5961
2013,Број,novi_travnik,Оба пола, 10-14,1491
2013,Број,novo_sarajevo,Оба пола, 10-14,2837
2013,Број,odzak,Оба пола, 10-14,1036
2013,Број,olovo,Оба пола, 10-14,496
2013,Број,orasje,Оба пола, 10-14,1158
2013,Број,pale-fbih,Оба пола, 10-14,59
2013,Број,posusje,Оба пола, 10-14,1447
2013,Број,prozor,Оба пола, 10-14,974
2013,Број,ravno,Оба пола, 10-14,155
2013,Број,sanski_most,Оба пола, 10-14,2473
2013,Број,sapna,Оба пола, 10-14,722
2013,Број,srebrenik,Оба пола, 10-14,2308
2013,Број,stari_grad_sarajevo,Оба пола, 10-14,1781
2013,Број,stolac,Оба пола, 10-14,906
2013,Број,siroki_brijeg,Оба пола, 10-14,1923
2013,Број,teocak,Оба пола, 10-14,446
2013,Број,tesanj,Оба пола, 10-14,2826
2013,Број,tomislavgrad,Оба пола, 10-14,1968
2013,Број,travnik,Оба пола, 10-14,3346
2013,Број,trnovo-fbih,Оба пола, 10-14,49
2013,Број,tuzla,Оба пола, 10-14,4816
2013,Број,usora,Оба пола, 10-14,349
2013,Број,vares,Оба пола, 10-14,379
2013,Број,velika_kladusa,Оба пола, 10-14,2773
2013,Број,visoko,Оба пола, 10-14,2324
2013,Број,vitez,Оба пола, 10-14,1751
2013,Број,vogosca,Оба пола, 10-14,1354
2013,Број,zavidovici,Оба пола, 10-14,2073
2013,Број,zenica,Оба пола, 10-14,6044
2013,Број,zepce,Оба пола, 10-14,1964
2013,Број,zivinice,Оба пола, 10-14,3333
2013,Број,banovici,Оба пола,15-19,1687
2013,Број,bihac,Оба пола,15-19,4434
2013,Број,bosanska_krupa,Оба пола,15-19,2034
2013,Број,bosanski_petrovac,Оба пола,15-19,440
2013,Број,bosansko_grahovo,Оба пола,15-19,63
2013,Број,breza,Оба пола,15-19,889
2013,Број,bugojno,Оба пола,15-19,2480
2013,Број,busovaca,Оба пола,15-19,1408
2013,Број,buzim,Оба пола,15-19,1893
2013,Број,cazin,Оба пола,15-19,4948
2013,Број,centar_sarajevo,Оба пола,15-19,3158
2013,Број,capljina,Оба пола,15-19,1991
2013,Број,celic,Оба пола,15-19,817
2013,Број,citluk,Оба пола,15-19,1427
2013,Број,doboj-istok,Оба пола,15-19,751
2013,Број,doboj-jug,Оба пола,15-19,328
2013,Број,dobretici,Оба пола,15-19,51
2013,Број,domaljevac-samac,Оба пола,15-19,356
2013,Број,donji_vakuf,Оба пола,15-19,1299
2013,Број,drvar,Оба пола,15-19,320
2013,Број,foca-fbih,Оба пола,15-19,121
2013,Број,fojnica,Оба пола,15-19,904
2013,Број,glamoc,Оба пола,15-19,188
2013,Број,gorazde,Оба пола,15-19,1543
2013,Број,gornji_vakuf-uskoplje,Оба пола,15-19,1694
2013,Број,gracanica,Оба пола,15-19,3313
2013,Број,gradacac,Оба пола,15-19,3118
2013,Број,grude,Оба пола,15-19,1264
