Year,UNIT_MEASURE,Administrativna jedinica,Пол,Value
2013,Број,Srednjobosanski kanton,Оба пола,13583.0
2014,Број,Srednjobosanski kanton,Оба пола,13402.0
2015,Број,Srednjobosanski kanton,Оба пола,12333.0
2016,Број,Srednjobosanski kanton,Оба пола,11420.0
2017,Број,Srednjobosanski kanton,Оба пола,10610.0
2018,Број,Srednjobosanski kanton,Оба пола,10087.0
2019,Број,Srednjobosanski kanton,Оба пола,8320.0
2010,Број,Srednjobosanski kanton,M,
2011,Број,Srednjobosanski kanton,M,
2012,Број,Srednjobosanski kanton,M,
2013,Број,Srednjobosanski kanton,M,
2014,Број,Srednjobosanski kanton,M,
2015,Број,Srednjobosanski kanton,M,
2016,Број,Srednjobosanski kanton,M,
2017,Број,Srednjobosanski kanton,M,
2018,Број,Srednjobosanski kanton,M,
2019,Број,Srednjobosanski kanton,M,
2010,Број,Srednjobosanski kanton,Ж,
2011,Број,Srednjobosanski kanton,Ж,
2012,Број,Srednjobosanski kanton,Ж,
2013,Број,Srednjobosanski kanton,Ж,
2014,Број,Srednjobosanski kanton,Ж,
2015,Број,Srednjobosanski kanton,Ж,
2016,Број,Srednjobosanski kanton,Ж,
2017,Број,Srednjobosanski kanton,Ж,
2018,Број,Srednjobosanski kanton,Ж,
2019,Број,Srednjobosanski kanton,Ж,
2010,Број,Hercegovačko-neretvanski kanton,Оба пола,9433.0
2011,Број,Hercegovačko-neretvanski kanton,Оба пола,9924.0
2012,Број,Hercegovačko-neretvanski kanton,Оба пола,10847.0
2013,Број,Hercegovačko-neretvanski kanton,Оба пола,11385.0
2014,Број,Hercegovačko-neretvanski kanton,Оба пола,11170.0
2015,Број,Hercegovačko-neretvanski kanton,Оба пола,9621.0
2016,Број,Hercegovačko-neretvanski kanton,Оба пола,9386.0
2017,Број,Hercegovačko-neretvanski kanton,Оба пола,8614.0
2018,Број,Hercegovačko-neretvanski kanton,Оба пола,8089.0
2019,Број,Hercegovačko-neretvanski kanton,Оба пола,7614.0
2010,Број,Hercegovačko-neretvanski kanton,M,
2011,Број,Hercegovačko-neretvanski kanton,M,
2012,Број,Hercegovačko-neretvanski kanton,M,
2013,Број,Hercegovačko-neretvanski kanton,M,
2014,Број,Hercegovačko-neretvanski kanton,M,
2015,Број,Hercegovačko-neretvanski kanton,M,
2016,Број,Hercegovačko-neretvanski kanton,M,
2017,Број,Hercegovačko-neretvanski kanton,M,
2018,Број,Hercegovačko-neretvanski kanton,M,
2019,Број,Hercegovačko-neretvanski kanton,M,
2010,Број,Hercegovačko-neretvanski kanton,Ж,
2011,Број,Hercegovačko-neretvanski kanton,Ж,
2012,Број,Hercegovačko-neretvanski kanton,Ж,
2013,Број,Hercegovačko-neretvanski kanton,Ж,
2014,Број,Hercegovačko-neretvanski kanton,Ж,
2015,Број,Hercegovačko-neretvanski kanton,Ж,
2016,Број,Hercegovačko-neretvanski kanton,Ж,
2017,Број,Hercegovačko-neretvanski kanton,Ж,
2018,Број,Hercegovačko-neretvanski kanton,Ж,
2019,Број,Hercegovačko-neretvanski kanton,Ж,
2010,Број,Zapadno-hercegovački kanton,Оба пола,4002.0
2011,Број,Zapadno-hercegovački kanton,Оба пола,4115.0
2012,Број,Zapadno-hercegovački kanton,Оба пола,4250.0
2013,Број,Zapadno-hercegovački kanton,Оба пола,4406.0
2014,Број,Zapadno-hercegovački kanton,Оба пола,4494.0
2015,Број,Zapadno-hercegovački kanton,Оба пола,4419.0
