Year,UNIT_MEASURE,Admin_Area,Врста школе,Value
2020,Број,una-sana_canton,Средње стручне школе,
2020,Број,una-sana_canton,Умјетничке школе,
2020,Број,una-sana_canton,Вјерске школе,
2020,Број,una-sana_canton,Средње школе за ученике са сметњама у развоју,
2016,Број,posavina_canton,Гимназијe,
2016,Број,posavina_canton,Средње техничке школе,
2016,Број,posavina_canton,Средње стручне школе,
2016,Број,posavina_canton,Умјетничке школе,
2016,Број,posavina_canton,Вјерске школе,
2016,Број,posavina_canton,Средње школе за ученике са сметњама у развоју,
2017,Број,posavina_canton,Гимназијe,
2017,Број,posavina_canton,Средње техничке школе,
2017,Број,posavina_canton,Средње стручне школе,
2017,Број,posavina_canton,Умјетничке школе,
2017,Број,posavina_canton,Вјерске школе,
2017,Број,posavina_canton,Средње школе за ученике са сметњама у развоју,
2018,Број,posavina_canton,Гимназијe,
2018,Број,posavina_canton,Средње техничке школе,
2018,Број,posavina_canton,Средње стручне школе,
2018,Број,posavina_canton,Умјетничке школе,
2018,Број,posavina_canton,Вјерске школе,
2018,Број,posavina_canton,Средње школе за ученике са сметњама у развоју,
2019,Број,posavina_canton,Гимназијe,
2019,Број,posavina_canton,Средње техничке школе,
2019,Број,posavina_canton,Средње стручне школе,
2019,Број,posavina_canton,Умјетничке школе,
2019,Број,posavina_canton,Вјерске школе,
2019,Број,posavina_canton,Средње школе за ученике са сметњама у развоју,
2020,Број,posavina_canton,Гимназијe,
2020,Број,posavina_canton,Средње техничке школе,
2020,Број,posavina_canton,Средње стручне школе,
2020,Број,posavina_canton,Умјетничке школе,
2020,Број,posavina_canton,Вјерске школе,
2020,Број,posavina_canton,Средње школе за ученике са сметњама у развоју,
2016,Број,tuzla_canton,Гимназијe,
2016,Број,tuzla_canton,Средње техничке школе,
2016,Број,tuzla_canton,Средње стручне школе,
2016,Број,tuzla_canton,Умјетничке школе,
2016,Број,tuzla_canton,Вјерске школе,
2016,Број,tuzla_canton,Средње школе за ученике са сметњама у развоју,
2017,Број,tuzla_canton,Гимназијe,
2017,Број,tuzla_canton,Средње техничке школе,
2017,Број,tuzla_canton,Средње стручне школе,
2017,Број,tuzla_canton,Умјетничке школе,
2017,Број,tuzla_canton,Вјерске школе,
2017,Број,tuzla_canton,Средње школе за ученике са сметњама у развоју,
2018,Број,tuzla_canton,Гимназијe,
2018,Број,tuzla_canton,Средње техничке школе,
2018,Број,tuzla_canton,Средње стручне школе,
2018,Број,tuzla_canton,Умјетничке школе,
2018,Број,tuzla_canton,Вјерске школе,
2018,Број,tuzla_canton,Средње школе за ученике са сметњама у развоју,
2019,Број,tuzla_canton,Гимназијe,
2019,Број,tuzla_canton,Средње техничке школе,
2019,Број,tuzla_canton,Средње стручне школе,
2019,Број,tuzla_canton,Умјетничке школе,
2019,Број,tuzla_canton,Вјерске школе,
2019,Број,tuzla_canton,Средње школе за ученике са сметњама у развоју,
2020,Број,tuzla_canton,Гимназијe,
2020,Број,tuzla_canton,Средње техничке школе,
2020,Број,tuzla_canton,Средње стручне школе,
2020,Број,tuzla_canton,Умјетничке школе,
2020,Број,tuzla_canton,Вјерске школе,
2020,Број,tuzla_canton,Средње школе за ученике са сметњама у развоју,
2016,Број,zenica-doboj_canton,Гимназијe,
2016,Број,zenica-doboj_canton,Средње техничке школе,
2016,Број,zenica-doboj_canton,Средње стручне школе,
2016,Број,zenica-doboj_canton,Умјетничке школе,
2016,Број,zenica-doboj_canton,Вјерске школе,
2016,Број,zenica-doboj_canton,Средње школе за ученике са сметњама у развоју,
