Year,UNIT_MEASURE,Административна јединица,Пол,Value
2010,Број,Кантон Сарајево,Оба пола,90
2011,Број,Кантон Сарајево,Оба пола,79
2012,Број,Кантон Сарајево,Оба пола,240
2013,Број,Кантон Сарајево,Оба пола,317
2014,Број,Кантон Сарајево,Оба пола,325
2015,Број,Кантон Сарајево,Оба пола,471
2016,Број,Кантон Сарајево,Оба пола,434
2017,Број,Кантон Сарајево,Оба пола,447
2018,Број,Кантон Сарајево,Оба пола,431
2019,Број,Кантон Сарајево,Оба пола,484
2020,Број,Кантон Сарајево,Оба пола,648
2021,Број,Кантон Сарајево,Оба пола,602
2022,Број,Кантон Сарајево,Оба пола,639
2009,Број,Кантон Сарајево,M,17
2010,Број,Кантон Сарајево,M,44
2011,Број,Кантон Сарајево,M,40
2012,Број,Кантон Сарајево,M,139
2013,Број,Кантон Сарајево,M,198
2014,Број,Кантон Сарајево,M,172
2015,Број,Кантон Сарајево,M,264
2016,Број,Кантон Сарајево,M,227
2017,Број,Кантон Сарајево,M,256
2018,Број,Кантон Сарајево,M,225
2019,Број,Кантон Сарајево,M,231
2020,Број,Кантон Сарајево,M,343
2021,Број,Кантон Сарајево,M,300
2022,Број,Кантон Сарајево,M,319
2009,Број,Кантон Сарајево,Ж,18
2010,Број,Кантон Сарајево,Ж,46
2011,Број,Кантон Сарајево,Ж,39
2012,Број,Кантон Сарајево,Ж,101
2013,Број,Кантон Сарајево,Ж,119
2014,Број,Кантон Сарајево,Ж,153
2015,Број,Кантон Сарајево,Ж,207
2016,Број,Кантон Сарајево,Ж,207
2017,Број,Кантон Сарајево,Ж,191
2018,Број,Кантон Сарајево,Ж,206
2019,Број,Кантон Сарајево,Ж,253
2020,Број,Кантон Сарајево,Ж,305
2021,Број,Кантон Сарајево,Ж,302
2022,Број,Кантон Сарајево,Ж,320
