Year,UNIT_MEASURE,Oпштина,No_of_births,Value
2013,Број,ilidza,four_children,1168
2013,Број,ilijas,four_children,494
2013,Број,Јабланица,four_children,273
2013,Број,Јајце,four_children,902
2013,Број,Какањ,four_children,1001
2013,Број,Калесија,four_children,757
2013,Број,Кисељак,four_children,548
2013,Број,Кладањ,four_children,302
2013,Број,Кључ,four_children,536
2013,Број,Коњиц,four_children,696
2013,Број,Крешево,four_children,174
2013,Број,kupres-fbih,four_children,192
2013,Број,Ливно,four_children,1309
2013,Број,Лукавац,four_children,717
2013,Број,Љубушки,four_children,1105
2013,Број,Маглај,four_children,540
2013,Број,Мостар,four_children,2270
2013,Број,Неум,four_children,185
2013,Број,novi_grad_sarajevo,four_children,1594
2013,Број,Нови Травник,four_children,729
2013,Број,novo_sarajevo,four_children,590
2013,Број,Оџак,four_children,416
2013,Број,Олово,four_children,289
2013,Број,Орашје,four_children,590
2013,Број,pale-fbih,four_children,29
2013,Број,Посушје,four_children,888
2013,Број,Прозор,four_children,607
2013,Број,Равно,four_children,71
2013,Број,Сански Мост,four_children,978
2013,Број,Сапна,four_children,369
2013,Број,Сребреник,four_children,914
2013,Број,stari_grad_sarajevo,four_children,540
2013,Број,Столац,four_children,526
2013,Број,Широки Бријег,four_children,1198
2013,Број,Теочак,four_children,214
2013,Број,Тешањ,four_children,1038
2013,Број,Томиславград,four_children,1266
2013,Број,Травник,four_children,1619
2013,Број,trnovo-fbih,four_children,50
2013,Број,Тузла,four_children,1591
2013,Број,Усора,four_children,217
2013,Број,Вареш,four_children,200
2013,Број,Велика Кладуша,four_children,1264
2013,Број,Високо,four_children,729
2013,Број,Витез,four_children,832
2013,Број,vogosca,four_children,421
2013,Број,Завидовићи,four_children,915
2013,Број,Зеница,four_children,2415
2013,Број,Жепче,four_children,1064
2013,Број,Живинице,four_children,1303
2013,Број,Бановићи,5+_children,485
2013,Број,Бихаћ,5+_children,1523
2013,Број,Босанска Крупа,5+_children,961
2013,Број,Босански Петровац,5+_children,91
2013,Број,Босанско Грахово,5+_children,31
2013,Број,Бреза,5+_children,144
2013,Број,Бугојно,5+_children,908
2013,Број,Бусовача,5+_children,570
2013,Број,Бужим,5+_children,945
2013,Број,Цазин,5+_children,2484
2013,Број,centar_sarajevo,5+_children,335
2013,Број,Чапљина,5+_children,452
2013,Број,Челић,5+_children,336
2013,Број,Читлук,5+_children,405
2013,Број,doboj-istok,5+_children,232
2013,Број,doboj-jug,5+_children,88
2013,Број,Добретићи,5+_children,127
2013,Број,domaljevac-samac,5+_children,110
2013,Број,Доњи Вакуф,5+_children,392
2013,Број,Дрвар,5+_children,43
2013,Број,foca-fbih,5+_children,61
2013,Број,Фојница,5+_children,313
2013,Број,Гламоч,5+_children,77
2013,Број,Горажде,5+_children,371
2013,Број,gornji_vakuf-uskoplje,5+_children,803
2013,Број,Грачаница,5+_children,804
2013,Број,Градачац,5+_children,636
2013,Број,Груде,5+_children,467
2013,Број,hadzici,5+_children,388
2013,Број,ilidza,5+_children,888
2013,Број,ilijas,5+_children,466
2013,Број,Јабланица,5+_children,313
2013,Број,Јајце,5+_children,1160
2013,Број,Какањ,5+_children,1128
2013,Број,Калесија,5+_children,879
2013,Број,Кисељак,5+_children,459
2013,Број,Кладањ,5+_children,332
2013,Број,Кључ,5+_children,610
2013,Број,Коњиц,5+_children,679
2013,Број,Крешево,5+_children,117
2013,Број,kupres-fbih,5+_children,170
2013,Број,Ливно,5+_children,869
2013,Број,Лукавац,5+_children,614
2013,Број,Љубушки,5+_children,683
2013,Број,Маглај,5+_children,547
2013,Број,Мостар,5+_children,1366
2013,Број,Неум,5+_children,141
2013,Број,novi_grad_sarajevo,5+_children,1226
2013,Број,Нови Травник,5+_children,777
2013,Број,novo_sarajevo,5+_children,367
2013,Број,Оџак,5+_children,319
2013,Број,Олово,5+_children,319
2013,Број,Орашје,5+_children,598
2013,Број,pale-fbih,5+_children,33
2013,Број,Посушје,5+_children,795
2013,Број,Прозор,5+_children,776
2013,Број,Равно,5+_children,18
2013,Број,Сански Мост,5+_children,1059
2013,Број,Сапна,5+_children,361
2013,Број,Сребреник,5+_children,902
2013,Број,stari_grad_sarajevo,5+_children,323
2013,Број,Столац,5+_children,347
2013,Број,Широки Бријег,5+_children,863
2013,Број,Теочак,5+_children,180
2013,Број,Тешањ,5+_children,986
2013,Број,Томиславград,5+_children,970
2013,Број,Травник,5+_children,1485
2013,Број,trnovo-fbih,5+_children,40
2013,Број,Тузла,5+_children,1356
2013,Број,Усора,5+_children,207
2013,Број,Вареш,5+_children,216
2013,Број,Велика Кладуша,5+_children,2148
2013,Број,Високо,5+_children,615
2013,Број,Витез,5+_children,718
2013,Број,vogosca,5+_children,358
2013,Број,Завидовићи,5+_children,988
2013,Број,Зеница,5+_children,2155
2013,Број,Жепче,5+_children,1169
2013,Број,Живинице,5+_children,1342
