Year,UNIT_MEASURE,Административна јединица,Пол,Value
2017,Број,Унско-сански кантон,Ж,
2018,Број,Унско-сански кантон,Ж,
2010,Број,Посавски кантон,Оба пола,
2011,Број,Посавски кантон,Оба пола,
2012,Број,Посавски кантон,Оба пола,
2013,Број,Посавски кантон,Оба пола,
2014,Број,Посавски кантон,Оба пола,
2015,Број,Посавски кантон,Оба пола,
2016,Број,Посавски кантон,Оба пола,
2017,Број,Посавски кантон,Оба пола,
2018,Број,Посавски кантон,Оба пола,
2010,Број,Посавски кантон,M,
2011,Број,Посавски кантон,M,
2012,Број,Посавски кантон,M,
2013,Број,Посавски кантон,M,
2014,Број,Посавски кантон,M,
2015,Број,Посавски кантон,M,
2016,Број,Посавски кантон,M,
2017,Број,Посавски кантон,M,
2018,Број,Посавски кантон,M,
2010,Број,Посавски кантон,Ж,
2011,Број,Посавски кантон,Ж,
2012,Број,Посавски кантон,Ж,
2013,Број,Посавски кантон,Ж,
2014,Број,Посавски кантон,Ж,
2015,Број,Посавски кантон,Ж,
2016,Број,Посавски кантон,Ж,
2017,Број,Посавски кантон,Ж,
2018,Број,Посавски кантон,Ж,
2010,Број,Тузлански кантон,Оба пола,
2011,Број,Тузлански кантон,Оба пола,
2012,Број,Тузлански кантон,Оба пола,
2013,Број,Тузлански кантон,Оба пола,
2014,Број,Тузлански кантон,Оба пола,
2015,Број,Тузлански кантон,Оба пола,
2016,Број,Тузлански кантон,Оба пола,
2017,Број,Тузлански кантон,Оба пола,
2018,Број,Тузлански кантон,Оба пола,
2010,Број,Тузлански кантон,M,
2011,Број,Тузлански кантон,M,
2012,Број,Тузлански кантон,M,
2013,Број,Тузлански кантон,M,
2014,Број,Тузлански кантон,M,
2015,Број,Тузлански кантон,M,
2016,Број,Тузлански кантон,M,
2017,Број,Тузлански кантон,M,
2018,Број,Тузлански кантон,M,
2010,Број,Тузлански кантон,Ж,
2011,Број,Тузлански кантон,Ж,
2012,Број,Тузлански кантон,Ж,
2013,Број,Тузлански кантон,Ж,
2014,Број,Тузлански кантон,Ж,
2015,Број,Тузлански кантон,Ж,
2016,Број,Тузлански кантон,Ж,
2017,Број,Тузлански кантон,Ж,
2018,Број,Тузлански кантон,Ж,
2010,Број,Зеничко-добојски кантон,Оба пола,
2011,Број,Зеничко-добојски кантон,Оба пола,
2012,Број,Зеничко-добојски кантон,Оба пола,
2013,Број,Зеничко-добојски кантон,Оба пола,
2014,Број,Зеничко-добојски кантон,Оба пола,
2015,Број,Зеничко-добојски кантон,Оба пола,
2016,Број,Зеничко-добојски кантон,Оба пола,
2017,Број,Зеничко-добојски кантон,Оба пола,
2018,Број,Зеничко-добојски кантон,Оба пола,
2010,Број,Зеничко-добојски кантон,M,
2011,Број,Зеничко-добојски кантон,M,
2012,Број,Зеничко-добојски кантон,M,
2013,Број,Зеничко-добојски кантон,M,
2014,Број,Зеничко-добојски кантон,M,
2015,Број,Зеничко-добојски кантон,M,
2016,Број,Зеничко-добојски кантон,M,
2017,Број,Зеничко-добојски кантон,M,
2018,Број,Зеничко-добојски кантон,M,
2010,Број,Зеничко-добојски кантон,Ж,
2011,Број,Зеничко-добојски кантон,Ж,
2012,Број,Зеничко-добојски кантон,Ж,
2013,Број,Зеничко-добојски кантон,Ж,
2014,Број,Зеничко-добојски кантон,Ж,
2015,Број,Зеничко-добојски кантон,Ж,
2016,Број,Зеничко-добојски кантон,Ж,
2017,Број,Зеничко-добојски кантон,Ж,
2018,Број,Зеничко-добојски кантон,Ж,
2010,Број,Босанско-подрињски кантон,Оба пола,
2011,Број,Босанско-подрињски кантон,Оба пола,
2012,Број,Босанско-подрињски кантон,Оба пола,
2013,Број,Босанско-подрињски кантон,Оба пола,
2014,Број,Босанско-подрињски кантон,Оба пола,
2015,Број,Босанско-подрињски кантон,Оба пола,
2016,Број,Босанско-подрињски кантон,Оба пола,
2017,Број,Босанско-подрињски кантон,Оба пола,
2018,Број,Босанско-подрињски кантон,Оба пола,
2010,Број,Босанско-подрињски кантон,M,
2011,Број,Босанско-подрињски кантон,M,
2012,Број,Босанско-подрињски кантон,M,
2013,Број,Босанско-подрињски кантон,M,
2014,Број,Босанско-подрињски кантон,M,
2015,Број,Босанско-подрињски кантон,M,
2016,Број,Босанско-подрињски кантон,M,
2017,Број,Босанско-подрињски кантон,M,
2018,Број,Босанско-подрињски кантон,M,
2010,Број,Босанско-подрињски кантон,Ж,
2011,Број,Босанско-подрињски кантон,Ж,
2012,Број,Босанско-подрињски кантон,Ж,
2013,Број,Босанско-подрињски кантон,Ж,
2014,Број,Босанско-подрињски кантон,Ж,
2015,Број,Босанско-подрињски кантон,Ж,
2016,Број,Босанско-подрињски кантон,Ж,
2017,Број,Босанско-подрињски кантон,Ж,
2018,Број,Босанско-подрињски кантон,Ж,
2010,Број,Средњобосански кантон,Оба пола,
2011,Број,Средњобосански кантон,Оба пола,
2012,Број,Средњобосански кантон,Оба пола,
2013,Број,Средњобосански кантон,Оба пола,
2014,Број,Средњобосански кантон,Оба пола,
2015,Број,Средњобосански кантон,Оба пола,
2016,Број,Средњобосански кантон,Оба пола,
2017,Број,Средњобосански кантон,Оба пола,
2018,Број,Средњобосански кантон,Оба пола,
2010,Број,Средњобосански кантон,M,
2011,Број,Средњобосански кантон,M,
2012,Број,Средњобосански кантон,M,
2013,Број,Средњобосански кантон,M,
2014,Број,Средњобосански кантон,M,
2015,Број,Средњобосански кантон,M,
2016,Број,Средњобосански кантон,M,
2017,Број,Средњобосански кантон,M,
2018,Број,Средњобосански кантон,M,
2010,Број,Средњобосански кантон,Ж,
2011,Број,Средњобосански кантон,Ж,
2012,Број,Средњобосански кантон,Ж,
2013,Број,Средњобосански кантон,Ж,
2014,Број,Средњобосански кантон,Ж,
2015,Број,Средњобосански кантон,Ж,
2016,Број,Средњобосански кантон,Ж,
2017,Број,Средњобосански кантон,Ж,
2018,Број,Средњобосански кантон,Ж,
2010,Број,Херцеговачко-неретвански кантон,Оба пола,
2011,Број,Херцеговачко-неретвански кантон,Оба пола,
2012,Број,Херцеговачко-неретвански кантон,Оба пола,
2013,Број,Херцеговачко-неретвански кантон,Оба пола,
2014,Број,Херцеговачко-неретвански кантон,Оба пола,
2015,Број,Херцеговачко-неретвански кантон,Оба пола,
2016,Број,Херцеговачко-неретвански кантон,Оба пола,
