Year,UNIT_MEASURE,Municipality,Пол,Disabilities,Value
2013,Број,srebrenik,Ж,T,2163
2013,Број,stari_grad_sarajevo,Ж,T,2203
2013,Број,stolac,Ж,T,548
2013,Број,siroki_brijeg,Ж,T,752
2013,Број,teocak,Ж,T,276
2013,Број,tesanj,Ж,T,1728
2013,Број,tomislavgrad,Ж,T,576
2013,Број,travnik,Ж,T,2222
2013,Број,trnovo-fbih,Ж,T,113
2013,Број,tuzla,Ж,T,7478
2013,Број,usora,Ж,T,251
2013,Број,vares,Ж,T,664
2013,Број,velika_kladusa,Ж,T,1983
2013,Број,visoko,Ж,T,1673
2013,Број,vitez,Ж,T,1141
2013,Број,vogosca,Ж,T,1361
2013,Број,zavidovici,Ж,T,1937
2013,Број,zenica,Ж,T,4879
2013,Број,zepce,Ж,T,1240
2013,Број,zivinice,Ж,T,3333
2013,Број,banovici,Оба пола,eyesight,750
2013,Број,bihac,Оба пола,eyesight,2073
2013,Број,bosanska_krupa,Оба пола,eyesight,1158
2013,Број,bosanski_petrovac,Оба пола,eyesight,254
2013,Број,bosansko_grahovo,Оба пола,eyesight,156
2013,Број,breza,Оба пола,eyesight,493
2013,Број,bugojno,Оба пола,eyesight,950
2013,Број,busovaca,Оба пола,eyesight,538
2013,Број,buzim,Оба пола,eyesight,465
2013,Број,cazin,Оба пола,eyesight,1906
2013,Број,centar_sarajevo,Оба пола,eyesight,1787
2013,Број,capljina,Оба пола,eyesight,736
2013,Број,celic,Оба пола,eyesight,553
2013,Број,citluk,Оба пола,eyesight,406
2013,Број,doboj-istok,Оба пола,eyesight,372
2013,Број,doboj-jug,Оба пола,eyesight,145
2013,Број,dobretici,Оба пола,eyesight,62
2013,Број,domaljevac-samac,Оба пола,eyesight,223
2013,Број,donji_vakuf,Оба пола,eyesight,503
2013,Број,drvar,Оба пола,eyesight,497
2013,Број,foca-fbih,Оба пола,eyesight,81
2013,Број,fojnica,Оба пола,eyesight,555
2013,Број,glamoc,Оба пола,eyesight,241
2013,Број,gorazde,Оба пола,eyesight,959
2013,Број,gornji_vakuf-uskoplje,Оба пола,eyesight,567
2013,Број,gracanica,Оба пола,eyesight,1400
2013,Број,gradacac,Оба пола,eyesight,1192
2013,Број,grude,Оба пола,eyesight,346
2013,Број,hadzici,Оба пола,eyesight,917
2013,Број,ilidza,Оба пола,eyesight,2009
2013,Број,ilijas,Оба пола,eyesight,724
2013,Број,jablanica,Оба пола,eyesight,271
2013,Број,jajce,Оба пола,eyesight,912
2013,Број,kakanj,Оба пола,eyesight,994
2013,Број,kalesija,Оба пола,eyesight,1405
2013,Број,kiseljak,Оба пола,eyesight,624
2013,Број,kladanj,Оба пола,eyesight,426
2013,Број,kljuc,Оба пола,eyesight,388
2013,Број,konjic,Оба пола,eyesight,838
2013,Број,kresevo,Оба пола,eyesight,176
2013,Број,kupres-fbih,Оба пола,eyesight,151
2013,Број,livno,Оба пола,eyesight,622
2013,Број,lukavac,Оба пола,eyesight,2247
2013,Број,ljubuski,Оба пола,eyesight,652
2013,Број,maglaj,Оба пола,eyesight,936
2013,Број,mostar,Оба пола,eyesight,2733
2013,Број,neum,Оба пола,eyesight,113
2013,Број,novi_grad_sarajevo,Оба пола,eyesight,4078
2013,Број,novi_travnik,Оба пола,eyesight,804
2013,Број,novo_sarajevo,Оба пола,eyesight,1803
2013,Број,odzak,Оба пола,eyesight,466
2013,Број,olovo,Оба пола,eyesight,439
2013,Број,orasje,Оба пола,eyesight,697
2013,Број,pale-fbih,Оба пола,eyesight,56
2013,Број,posusje,Оба пола,eyesight,356
2013,Број,prozor,Оба пола,eyesight,258
2013,Број,ravno,Оба пола,eyesight,42
2013,Број,sanski_most,Оба пола,eyesight,880
2013,Број,sapna,Оба пола,eyesight,226
2013,Број,srebrenik,Оба пола,eyesight,1779
2013,Број,stari_grad_sarajevo,Оба пола,eyesight,1538
2013,Број,stolac,Оба пола,eyesight,367
2013,Број,siroki_brijeg,Оба пола,eyesight,458
2013,Број,teocak,Оба пола,eyesight,211
