Year,UNIT_MEASURE,Administrative area,Sex,Disabilities,Value
2013,Number,Livno,Both sexes,eyesight,622
2013,Number,Lukavac,Both sexes,eyesight,2247
2013,Number,Ljubuski,Both sexes,eyesight,652
2013,Number,Maglaj,Both sexes,eyesight,936
2013,Number,Mostar,Both sexes,eyesight,2733
2013,Number,Neum,Both sexes,eyesight,113
2013,Number,novi_grad_sarajevo,Both sexes,eyesight,4078
2013,Number,Novi Travnik,Both sexes,eyesight,804
2013,Number,novo_sarajevo,Both sexes,eyesight,1803
2013,Number,Odzak,Both sexes,eyesight,466
2013,Number,Olovo,Both sexes,eyesight,439
2013,Number,Orasje,Both sexes,eyesight,697
2013,Number,pale-fbih,Both sexes,eyesight,56
2013,Number,Posusje,Both sexes,eyesight,356
2013,Number,Prozor,Both sexes,eyesight,258
2013,Number,Ravno,Both sexes,eyesight,42
2013,Number,Sanski Most,Both sexes,eyesight,880
2013,Number,Sapna,Both sexes,eyesight,226
2013,Number,Srebrenik,Both sexes,eyesight,1779
2013,Number,stari_grad_sarajevo,Both sexes,eyesight,1538
2013,Number,Stolac,Both sexes,eyesight,367
2013,Number,Siroki Brijeg,Both sexes,eyesight,458
2013,Number,Teocak,Both sexes,eyesight,211
2013,Number,Tesanj,Both sexes,eyesight,1318
2013,Number,Tomislavgrad,Both sexes,eyesight,365
2013,Number,Travnik,Both sexes,eyesight,1696
2013,Number,trnovo-fbih,Both sexes,eyesight,74
2013,Number,Tuzla,Both sexes,eyesight,5508
2013,Number,Usora,Both sexes,eyesight,149
2013,Number,Vares,Both sexes,eyesight,532
2013,Number,Velika Kladusa,Both sexes,eyesight,1787
2013,Number,Visoko,Both sexes,eyesight,1089
2013,Number,Vitez,Both sexes,eyesight,971
2013,Number,vogosca,Both sexes,eyesight,1049
2013,Number,Zavidovici,Both sexes,eyesight,1475
2013,Number,Zenica,Both sexes,eyesight,3706
2013,Number,Zepce,Both sexes,eyesight,974
2013,Number,Zivinice,Both sexes,eyesight,2756
2013,Number,Banovici,M,eyesight,275
2013,Number,Bihac,M,eyesight,850
2013,Number,Bosanska Krupa,M,eyesight,509
2013,Number,Bosanski Petrovac,M,eyesight,108
2013,Number,Bosansko Grahovo,M,eyesight,62
2013,Number,Breza,M,eyesight,212
2013,Number,Bugojno,M,eyesight,414
2013,Number,Busovaca,M,eyesight,252
2013,Number,Buzim,M,eyesight,236
2013,Number,Cazin,M,eyesight,891
2013,Number,centar_sarajevo,M,eyesight,671
2013,Number,Capljina,M,eyesight,341
2013,Number,Celic,M,eyesight,219
2013,Number,Citluk,M,eyesight,174
2013,Number,doboj-istok,M,eyesight,182
2013,Number,doboj-jug,M,eyesight,69
2013,Number,Dobretici,M,eyesight,28
2013,Number,domaljevac-samac,M,eyesight,101
2013,Number,Donji Vakuf,M,eyesight,225
2013,Number,Drvar,M,eyesight,186
2013,Number,foca-fbih,M,eyesight,41
2013,Number,Fojnica,M,eyesight,239
2013,Number,Glamoc,M,eyesight,93
2013,Number,Gorazde,M,eyesight,421
2013,Number,gornji_vakuf-uskoplje,M,eyesight,239
2013,Number,Gracanica,M,eyesight,582
2013,Number,Gradacac,M,eyesight,497
2013,Number,Grude,M,eyesight,130
2013,Number,hadzici,M,eyesight,394
2013,Number,ilidza,M,eyesight,812
2013,Number,ilijas,M,eyesight,281
2013,Number,Jablanica,M,eyesight,118
2013,Number,Jajce,M,eyesight,388
2013,Number,Kakanj,M,eyesight,406
2013,Number,Kalesija,M,eyesight,613
2013,Number,Kiseljak,M,eyesight,272
2013,Number,Kladanj,M,eyesight,175
2013,Number,Ključ,M,eyesight,155
2013,Number,Konjic,M,eyesight,348
2013,Number,Kresevo,M,eyesight,75
2013,Number,kupres-fbih,M,eyesight,59
2013,Number,Livno,M,eyesight,279
2013,Number,Lukavac,M,eyesight,884
2013,Number,Ljubuski,M,eyesight,254
2013,Number,Maglaj,M,eyesight,364
2013,Number,Mostar,M,eyesight,1129
2013,Number,Neum,M,eyesight,50
2013,Number,novi_grad_sarajevo,M,eyesight,1587
2013,Number,Novi Travnik,M,eyesight,350
