Year,UNIT_MEASURE,Administrativna oblast,Vrsta obrazovanja,Spol,Value
2018,Broj,Bosansko-podrinjski kanton,specialists,Oba spola,
2018,Broj,Bosansko-podrinjski kanton,specialists,M,
2018,Broj,Bosansko-podrinjski kanton,specialists,Ž,
2019,Broj,Bosansko-podrinjski kanton,specialists,Oba spola,
2019,Broj,Bosansko-podrinjski kanton,specialists,M,
2019,Broj,Bosansko-podrinjski kanton,specialists,Ž,
2020,Broj,Bosansko-podrinjski kanton,specialists,Oba spola,
2020,Broj,Bosansko-podrinjski kanton,specialists,M,
2020,Broj,Bosansko-podrinjski kanton,specialists,Ž,
2016,Broj,Srednjobosanski kanton,masters_of_science,Oba spola,
2016,Broj,Srednjobosanski kanton,masters_of_science,M,
2016,Broj,Srednjobosanski kanton,masters_of_science,Ž,
2017,Broj,Srednjobosanski kanton,masters_of_science,Oba spola,
2017,Broj,Srednjobosanski kanton,masters_of_science,M,
2017,Broj,Srednjobosanski kanton,masters_of_science,Ž,
2018,Broj,Srednjobosanski kanton,masters_of_science,Oba spola,
2018,Broj,Srednjobosanski kanton,masters_of_science,M,
2018,Broj,Srednjobosanski kanton,masters_of_science,Ž,
2019,Broj,Srednjobosanski kanton,masters_of_science,Oba spola,
2019,Broj,Srednjobosanski kanton,masters_of_science,M,
2019,Broj,Srednjobosanski kanton,masters_of_science,Ž,
2020,Broj,Srednjobosanski kanton,masters_of_science,Oba spola,
2020,Broj,Srednjobosanski kanton,masters_of_science,M,
2020,Broj,Srednjobosanski kanton,masters_of_science,Ž,
2016,Broj,Srednjobosanski kanton,masters,Oba spola,
2016,Broj,Srednjobosanski kanton,masters,M,
2016,Broj,Srednjobosanski kanton,masters,Ž,
2017,Broj,Srednjobosanski kanton,masters,Oba spola,
2017,Broj,Srednjobosanski kanton,masters,M,
2017,Broj,Srednjobosanski kanton,masters,Ž,
2018,Broj,Srednjobosanski kanton,masters,Oba spola,
2018,Broj,Srednjobosanski kanton,masters,M,
2018,Broj,Srednjobosanski kanton,masters,Ž,
2019,Broj,Srednjobosanski kanton,masters,Oba spola,
2019,Broj,Srednjobosanski kanton,masters,M,
2019,Broj,Srednjobosanski kanton,masters,Ž,
2020,Broj,Srednjobosanski kanton,masters,Oba spola,
2020,Broj,Srednjobosanski kanton,masters,M,
2020,Broj,Srednjobosanski kanton,masters,Ž,
2016,Broj,Srednjobosanski kanton,specialists,Oba spola,
2016,Broj,Srednjobosanski kanton,specialists,M,
2016,Broj,Srednjobosanski kanton,specialists,Ž,
2017,Broj,Srednjobosanski kanton,specialists,Oba spola,
2017,Broj,Srednjobosanski kanton,specialists,M,
2017,Broj,Srednjobosanski kanton,specialists,Ž,
2018,Broj,Srednjobosanski kanton,specialists,Oba spola,
2018,Broj,Srednjobosanski kanton,specialists,M,
2018,Broj,Srednjobosanski kanton,specialists,Ž,
2019,Broj,Srednjobosanski kanton,specialists,Oba spola,
2019,Broj,Srednjobosanski kanton,specialists,M,
2019,Broj,Srednjobosanski kanton,specialists,Ž,
2020,Broj,Srednjobosanski kanton,specialists,Oba spola,
2020,Broj,Srednjobosanski kanton,specialists,M,
2020,Broj,Srednjobosanski kanton,specialists,Ž,
2016,Broj,Hercegovačko-neretvanski kanton,masters_of_science,Oba spola,
2016,Broj,Hercegovačko-neretvanski kanton,masters_of_science,M,
2016,Broj,Hercegovačko-neretvanski kanton,masters_of_science,Ž,
2017,Broj,Hercegovačko-neretvanski kanton,masters_of_science,Oba spola,
2017,Broj,Hercegovačko-neretvanski kanton,masters_of_science,M,
2017,Broj,Hercegovačko-neretvanski kanton,masters_of_science,Ž,
2018,Broj,Hercegovačko-neretvanski kanton,masters_of_science,Oba spola,
2018,Broj,Hercegovačko-neretvanski kanton,masters_of_science,M,
2018,Broj,Hercegovačko-neretvanski kanton,masters_of_science,Ž,
2019,Broj,Hercegovačko-neretvanski kanton,masters_of_science,Oba spola,
2019,Broj,Hercegovačko-neretvanski kanton,masters_of_science,M,
2019,Broj,Hercegovačko-neretvanski kanton,masters_of_science,Ž,
2020,Broj,Hercegovačko-neretvanski kanton,masters_of_science,Oba spola,
2020,Broj,Hercegovačko-neretvanski kanton,masters_of_science,M,
2020,Broj,Hercegovačko-neretvanski kanton,masters_of_science,Ž,
2016,Broj,Hercegovačko-neretvanski kanton,masters,Oba spola,
2016,Broj,Hercegovačko-neretvanski kanton,masters,M,
2016,Broj,Hercegovačko-neretvanski kanton,masters,Ž,
2017,Broj,Hercegovačko-neretvanski kanton,masters,Oba spola,
2017,Broj,Hercegovačko-neretvanski kanton,masters,M,
2017,Broj,Hercegovačko-neretvanski kanton,masters,Ž,
2018,Broj,Hercegovačko-neretvanski kanton,masters,Oba spola,
2018,Broj,Hercegovačko-neretvanski kanton,masters,M,
2018,Broj,Hercegovačko-neretvanski kanton,masters,Ž,
2019,Broj,Hercegovačko-neretvanski kanton,masters,Oba spola,
2019,Broj,Hercegovačko-neretvanski kanton,masters,M,
2019,Broj,Hercegovačko-neretvanski kanton,masters,Ž,
2020,Broj,Hercegovačko-neretvanski kanton,masters,Oba spola,
2020,Broj,Hercegovačko-neretvanski kanton,masters,M,
2020,Broj,Hercegovačko-neretvanski kanton,masters,Ž,
2016,Broj,Hercegovačko-neretvanski kanton,specialists,Oba spola,
2016,Broj,Hercegovačko-neretvanski kanton,specialists,M,
2016,Broj,Hercegovačko-neretvanski kanton,specialists,Ž,
2017,Broj,Hercegovačko-neretvanski kanton,specialists,Oba spola,
2017,Broj,Hercegovačko-neretvanski kanton,specialists,M,
2017,Broj,Hercegovačko-neretvanski kanton,specialists,Ž,
2018,Broj,Hercegovačko-neretvanski kanton,specialists,Oba spola,
2018,Broj,Hercegovačko-neretvanski kanton,specialists,M,
2018,Broj,Hercegovačko-neretvanski kanton,specialists,Ž,
2019,Broj,Hercegovačko-neretvanski kanton,specialists,Oba spola,
2019,Broj,Hercegovačko-neretvanski kanton,specialists,M,
2019,Broj,Hercegovačko-neretvanski kanton,specialists,Ž,
2020,Broj,Hercegovačko-neretvanski kanton,specialists,Oba spola,
2020,Broj,Hercegovačko-neretvanski kanton,specialists,M,
2020,Broj,Hercegovačko-neretvanski kanton,specialists,Ž,
2016,Broj,Kanton Sarajevo,masters_of_science,Oba spola,
2016,Broj,Kanton Sarajevo,masters_of_science,M,
2016,Broj,Kanton Sarajevo,masters_of_science,Ž,
2017,Broj,Kanton Sarajevo,masters_of_science,Oba spola,
2017,Broj,Kanton Sarajevo,masters_of_science,M,
2017,Broj,Kanton Sarajevo,masters_of_science,Ž,
2018,Broj,Kanton Sarajevo,masters_of_science,Oba spola,
2018,Broj,Kanton Sarajevo,masters_of_science,M,
2018,Broj,Kanton Sarajevo,masters_of_science,Ž,
2019,Broj,Kanton Sarajevo,masters_of_science,Oba spola,
2019,Broj,Kanton Sarajevo,masters_of_science,M,
2019,Broj,Kanton Sarajevo,masters_of_science,Ž,
2020,Broj,Kanton Sarajevo,masters_of_science,Oba spola,
2020,Broj,Kanton Sarajevo,masters_of_science,M,
2020,Broj,Kanton Sarajevo,masters_of_science,Ž,
2016,Broj,Kanton Sarajevo,masters,Oba spola,
2016,Broj,Kanton Sarajevo,masters,M,
2016,Broj,Kanton Sarajevo,masters,Ž,
2017,Broj,Kanton Sarajevo,masters,Oba spola,
2017,Broj,Kanton Sarajevo,masters,M,
2017,Broj,Kanton Sarajevo,masters,Ž,
2018,Broj,Kanton Sarajevo,masters,Oba spola,
2018,Broj,Kanton Sarajevo,masters,M,
2018,Broj,Kanton Sarajevo,masters,Ž,
2019,Broj,Kanton Sarajevo,masters,Oba spola,
2019,Broj,Kanton Sarajevo,masters,M,
2019,Broj,Kanton Sarajevo,masters,Ž,
2020,Broj,Kanton Sarajevo,masters,Oba spola,
2020,Broj,Kanton Sarajevo,masters,M,
2020,Broj,Kanton Sarajevo,masters,Ž,
2016,Broj,Kanton Sarajevo,specialists,Oba spola,
2016,Broj,Kanton Sarajevo,specialists,M,
2016,Broj,Kanton Sarajevo,specialists,Ž,
2017,Broj,Kanton Sarajevo,specialists,Oba spola,
2017,Broj,Kanton Sarajevo,specialists,M,
2017,Broj,Kanton Sarajevo,specialists,Ž,
2018,Broj,Kanton Sarajevo,specialists,Oba spola,
2018,Broj,Kanton Sarajevo,specialists,M,
2018,Broj,Kanton Sarajevo,specialists,Ž,
2019,Broj,Kanton Sarajevo,specialists,Oba spola,
2019,Broj,Kanton Sarajevo,specialists,M,
2019,Broj,Kanton Sarajevo,specialists,Ž,
2020,Broj,Kanton Sarajevo,specialists,Oba spola,
2020,Broj,Kanton Sarajevo,specialists,M,
2020,Broj,Kanton Sarajevo,specialists,Ž,
