Year,UNIT_MEASURE,Административна јединица,Врста школе,Value
2020,Број,Средњобосански кантон,Техничке школе,
2020,Број,Средњобосански кантон,Стручне школe,
2020,Број,Средњобосански кантон,Умјетничке школе,
2020,Број,Средњобосански кантон,Вјерске школе,
2020,Број,Средњобосански кантон,Средње школе за дјецу са посебним потребама,
2016,Број,Херцеговачко-неретвански кантон,Гимназија,
2016,Број,Херцеговачко-неретвански кантон,Техничке школе,
2016,Број,Херцеговачко-неретвански кантон,Стручне школe,
2016,Број,Херцеговачко-неретвански кантон,Умјетничке школе,
2016,Број,Херцеговачко-неретвански кантон,Вјерске школе,
2016,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,
2017,Број,Херцеговачко-неретвански кантон,Гимназија,
2017,Број,Херцеговачко-неретвански кантон,Техничке школе,
2017,Број,Херцеговачко-неретвански кантон,Стручне школe,
2017,Број,Херцеговачко-неретвански кантон,Умјетничке школе,
2017,Број,Херцеговачко-неретвански кантон,Вјерске школе,
2017,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,
2018,Број,Херцеговачко-неретвански кантон,Гимназија,
2018,Број,Херцеговачко-неретвански кантон,Техничке школе,
2018,Број,Херцеговачко-неретвански кантон,Стручне школe,
2018,Број,Херцеговачко-неретвански кантон,Умјетничке школе,
2018,Број,Херцеговачко-неретвански кантон,Вјерске школе,
2018,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,
2019,Број,Херцеговачко-неретвански кантон,Гимназија,
2019,Број,Херцеговачко-неретвански кантон,Техничке школе,
2019,Број,Херцеговачко-неретвански кантон,Стручне школe,
2019,Број,Херцеговачко-неретвански кантон,Умјетничке школе,
2019,Број,Херцеговачко-неретвански кантон,Вјерске школе,
2019,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,
2020,Број,Херцеговачко-неретвански кантон,Гимназија,
2020,Број,Херцеговачко-неретвански кантон,Техничке школе,
2020,Број,Херцеговачко-неретвански кантон,Стручне школe,
2020,Број,Херцеговачко-неретвански кантон,Умјетничке школе,
2020,Број,Херцеговачко-неретвански кантон,Вјерске школе,
2020,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,
2016,Број,Западнохерцеговчки кантон,Гимназија,
2016,Број,Западнохерцеговчки кантон,Техничке школе,
2016,Број,Западнохерцеговчки кантон,Стручне школe,
2016,Број,Западнохерцеговчки кантон,Умјетничке школе,
2016,Број,Западнохерцеговчки кантон,Вјерске школе,
2016,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,
2017,Број,Западнохерцеговчки кантон,Гимназија,
2017,Број,Западнохерцеговчки кантон,Техничке школе,
2017,Број,Западнохерцеговчки кантон,Стручне школe,
2017,Број,Западнохерцеговчки кантон,Умјетничке школе,
2017,Број,Западнохерцеговчки кантон,Вјерске школе,
2017,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,
2018,Број,Западнохерцеговчки кантон,Гимназија,
2018,Број,Западнохерцеговчки кантон,Техничке школе,
2018,Број,Западнохерцеговчки кантон,Стручне школe,
2018,Број,Западнохерцеговчки кантон,Умјетничке школе,
2018,Број,Западнохерцеговчки кантон,Вјерске школе,
2018,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,
2019,Број,Западнохерцеговчки кантон,Гимназија,
2019,Број,Западнохерцеговчки кантон,Техничке школе,
2019,Број,Западнохерцеговчки кантон,Стручне школe,
2019,Број,Западнохерцеговчки кантон,Умјетничке школе,
2019,Број,Западнохерцеговчки кантон,Вјерске школе,
2019,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,
2020,Број,Западнохерцеговчки кантон,Гимназија,
2020,Број,Западнохерцеговчки кантон,Техничке школе,
2020,Број,Западнохерцеговчки кантон,Стручне школe,
2020,Број,Западнохерцеговчки кантон,Умјетничке школе,
2020,Број,Западнохерцеговчки кантон,Вјерске школе,
2020,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,
2016,Број,Кантон Сарајево,Гимназија,
2016,Број,Кантон Сарајево,Техничке школе,
2016,Број,Кантон Сарајево,Стручне школe,
2016,Број,Кантон Сарајево,Умјетничке школе,
2016,Број,Кантон Сарајево,Вјерске школе,
2016,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,
2017,Број,Кантон Сарајево,Гимназија,
2017,Број,Кантон Сарајево,Техничке школе,
2017,Број,Кантон Сарајево,Стручне школe,
2017,Број,Кантон Сарајево,Умјетничке школе,
2017,Број,Кантон Сарајево,Вјерске школе,
2017,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,
2018,Број,Кантон Сарајево,Гимназија,
2018,Број,Кантон Сарајево,Техничке школе,
2018,Број,Кантон Сарајево,Стручне школe,
2018,Број,Кантон Сарајево,Умјетничке школе,
2018,Број,Кантон Сарајево,Вјерске школе,
2018,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,
2019,Број,Кантон Сарајево,Гимназија,
2019,Број,Кантон Сарајево,Техничке школе,
2019,Број,Кантон Сарајево,Стручне школe,
2019,Број,Кантон Сарајево,Умјетничке школе,
2019,Број,Кантон Сарајево,Вјерске школе,
2019,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,
2020,Број,Кантон Сарајево,Гимназија,
2020,Број,Кантон Сарајево,Техничке школе,
2020,Број,Кантон Сарајево,Стручне школe,
2020,Број,Кантон Сарајево,Умјетничке школе,
2020,Број,Кантон Сарајево,Вјерске школе,
2020,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,
2016,Број,Кантон 10,Гимназија,
2016,Број,Кантон 10,Техничке школе,
2016,Број,Кантон 10,Стручне школe,
2016,Број,Кантон 10,Умјетничке школе,
2016,Број,Кантон 10,Вјерске школе,
2016,Број,Кантон 10,Средње школе за дјецу са посебним потребама,
2017,Број,Кантон 10,Гимназија,
2017,Број,Кантон 10,Техничке школе,
2017,Број,Кантон 10,Стручне школe,
2017,Број,Кантон 10,Умјетничке школе,
2017,Број,Кантон 10,Вјерске школе,
2017,Број,Кантон 10,Средње школе за дјецу са посебним потребама,
2018,Број,Кантон 10,Гимназија,
2018,Број,Кантон 10,Техничке школе,
2018,Број,Кантон 10,Стручне школe,
2018,Број,Кантон 10,Умјетничке школе,
2018,Број,Кантон 10,Вјерске школе,
2018,Број,Кантон 10,Средње школе за дјецу са посебним потребама,
2019,Број,Кантон 10,Гимназија,
2019,Број,Кантон 10,Техничке школе,
2019,Број,Кантон 10,Стручне школe,
2019,Број,Кантон 10,Умјетничке школе,
2019,Број,Кантон 10,Вјерске школе,
2019,Број,Кантон 10,Средње школе за дјецу са посебним потребама,
2020,Број,Кантон 10,Гимназија,
2020,Број,Кантон 10,Техничке школе,
2020,Број,Кантон 10,Стручне школe,
2020,Број,Кантон 10,Умјетничке школе,
2020,Број,Кантон 10,Вјерске школе,
2020,Број,Кантон 10,Средње школе за дјецу са посебним потребама,
