Year,UNIT-MEASURE,Administrativna jedinica,Spol,Najviša završena škola,Value
2013,Broj,Tuzlanski kanton,M,Specijalizacija poslije srednje škole,2325
2013,Broj,Tuzlanski kanton,M,Viša škola i prvi stepen fakulteta,4293
2013,Broj,Tuzlanski kanton,M,Visoka škola / fakultet / akademija / univerzitet,14013
2013,Broj,Zeničko-dobojski kanton,M,Ukupno,149837
2013,Broj,Zeničko-dobojski kanton,M,Bez obrazovanja,1936
2013,Broj,Zeničko-dobojski kanton,M,Nepotpuno osnovno obrazovanje,7908
2013,Broj,Zeničko-dobojski kanton,M,Osnovna škola,28285
2013,Broj,Zeničko-dobojski kanton,M,Srednja škola,94181
2013,Broj,Zeničko-dobojski kanton,M,Specijalizacija poslije srednje škole,3153
2013,Broj,Zeničko-dobojski kanton,M,Viša škola i prvi stepen fakulteta,3909
2013,Broj,Zeničko-dobojski kanton,M,Visoka škola / fakultet / akademija / univerzitet,10465
2013,Broj,Bosansko-podrinjski kanton,M,Ukupno,9881
2013,Broj,Bosansko-podrinjski kanton,M,Bez obrazovanja,159
2013,Broj,Bosansko-podrinjski kanton,M,Nepotpuno osnovno obrazovanje,405
2013,Broj,Bosansko-podrinjski kanton,M,Osnovna škola,1839
2013,Broj,Bosansko-podrinjski kanton,M,Srednja škola,5960
2013,Broj,Bosansko-podrinjski kanton,M,Specijalizacija poslije srednje škole,175
2013,Broj,Bosansko-podrinjski kanton,M,Viša škola i prvi stepen fakulteta,352
2013,Broj,Bosansko-podrinjski kanton,M,Visoka škola / fakultet / akademija / univerzitet,991
2013,Broj,Srednjobosanski kanton,M,Ukupno,105017
2013,Broj,Srednjobosanski kanton,M,Bez obrazovanja,1981
2013,Broj,Srednjobosanski kanton,M,Nepotpuno osnovno obrazovanje,6423
2013,Broj,Srednjobosanski kanton,M,Osnovna škola,21391
2013,Broj,Srednjobosanski kanton,M,Srednja škola,64191
2013,Broj,Srednjobosanski kanton,M,Specijalizacija poslije srednje škole,1132
2013,Broj,Srednjobosanski kanton,M,Viša škola i prvi stepen fakulteta,2919
2013,Broj,Srednjobosanski kanton,M,Visoka škola / fakultet / akademija / univerzitet,6980
2013,Broj,Hercegovačko-neretvanski kanton,M,Ukupno,91629
2013,Broj,Hercegovačko-neretvanski kanton,M,Bez obrazovanja,1047
2013,Broj,Hercegovačko-neretvanski kanton,M,Nepotpuno osnovno obrazovanje,3657
2013,Broj,Hercegovačko-neretvanski kanton,M,Osnovna škola,13686
2013,Broj,Hercegovačko-neretvanski kanton,M,Srednja škola,57185
2013,Broj,Hercegovačko-neretvanski kanton,M,Specijalizacija poslije srednje škole,1098
2013,Broj,Hercegovačko-neretvanski kanton,M,Viša škola i prvi stepen fakulteta,3975
2013,Broj,Hercegovačko-neretvanski kanton,M,Visoka škola / fakultet / akademija / univerzitet,10981
2013,Broj,Zapadno-hercegovački kanton,M,Ukupno,38677
2013,Broj,Zapadno-hercegovački kanton,M,Bez obrazovanja,450
2013,Broj,Zapadno-hercegovački kanton,M,Nepotpuno osnovno obrazovanje,2072
2013,Broj,Zapadno-hercegovački kanton,M,Osnovna škola,6057
2013,Broj,Zapadno-hercegovački kanton,M,Srednja škola,23646
2013,Broj,Zapadno-hercegovački kanton,M,Specijalizacija poslije srednje škole,257
2013,Broj,Zapadno-hercegovački kanton,M,Viša škola i prvi stepen fakulteta,1629
2013,Broj,Zapadno-hercegovački kanton,M,Visoka škola / fakultet / akademija / univerzitet,4566
